topic0	stoff 0.267679333053	richtlinie 0.119755829389	kunststoff 0.0566426873077	ziffer 0.034855736893	chemikalie 0.0333510651852	verarbeiten 0.0306080501551	planer 0.0272968393606	gel 0.0263786234079	entsorgung 0.026093821251	einleitung 0.0231170573968	unentbehrlich 0.0218229125267	chemisch 0.0216105569045	gesamtkonzept 0.0172325676568	einfuhr 0.0148674392424	erörtern 0.0142688637768	spezialgebiet 0.0141560040056	umwelt 0.0128528804928	grundwissen 0.0118931531744	bündel 0.0108266659242	quecksilber 0.0106779054343	bequemlichkeit 0.00914414387647	fließband 0.00878575471853	verarbeitend 0.00816887352349	aufwind 0.00725368754673	kohlenwasserstoff 0.00697699164185
topic215	abstand 0.16424946639	schnitt 0.120743603851	eisen 0.0740215470977	gewöhnlich 0.0674894121752	senat 0.058645077253	teppich 0.0532101766039	sauerstoff 0.0334620791159	verdeckt 0.0265339751588	geringfügig 0.0213035245903	teilstück 0.0210138728182	heizkörper 0.0188206668939	narbe 0.0180844687524	angesehen 0.016182604395	kontrolliert 0.0157047627471	informatiker 0.014184287224	ermittelt 0.0139748666973	chrom 0.0134348142305	naht 0.0127871744247	metallisch 0.0110733314345	demontage 0.00956186751297	außentemperatur 0.00867384933947	brennbar 0.00822248612666	körpergefühl 0.00772221661618	korrosion 0.00766285736207	fensterscheibe 0.0074962039398
topic216	intern 0.184042292372	extern 0.164033636951	schnittstelle 0.0739301964351	festplatte 0.0575893560615	protokoll 0.0541262820626	stick 0.0460744227284	datenträger 0.040077329452	controller 0.0375752528358	hybrid 0.0246154198228	drive 0.0210796351251	usb 0.0202884983783	beiliegend 0.0173135059174	moor 0.0148394657681	kernel 0.0145854404333	preisgekrönt 0.0114747545293	basler 0.0113895528255	kalkulieren 0.0109477464644	portabl 0.0109196949686	raid 0.0107121064236	datenübertragung 0.00920873218291	komprimiert 0.00900246978591	pollen 0.0089098558419	benchmark 0.00825916859156	spore 0.00808570020235	speicherkapazität 0.00609880218702
topic217	religion 0.109807078997	religiös 0.067692639091	christlich 0.0443516602309	islam 0.0322787888968	glaube 0.0283822904378	christ 0.0270176943865	islamisch 0.0254210249489	christentum 0.0187295613802	tradition 0.0183271694616	türke 0.0169821204193	muslimisch 0.0138759331817	kultur 0.0109487633049	moschee 0.0108531357946	koran 0.0101171619202	spiritualität 0.00988090008244	muslim 0.00896233382258	buddha 0.00876092371286	spirituell 0.00862176262055	buddhismus 0.00831002731857	arabisch 0.00816639075169	buddhistisch 0.00784101921793	eucharistie 0.00723771991166	religionsunterricht 0.00716682113216	lehre 0.00670278195346	abendmahl 0.00669816015611
topic218	antrag 0.0417790172106	fall 0.0148930513639	stellungnahme 0.0132663646882	stellen 0.0125395770988	begründung 0.0118162839317	beantragen 0.010561711002	widerspruch 0.0103952331504	weit 0.00883933896768	beschluss 0.00801194380741	grund 0.00766216164249	bescheid 0.00766128670565	vorliegen 0.00743428293062	monat 0.00695977234046	zuständig 0.00681658298942	rechtlich 0.0064043742568	verstoß 0.00629875421009	prüfen 0.0055126486065	erneut 0.00531473336231	vorlegen 0.0052862448396	verbot 0.00513297423623	lassen 0.00498382033712	antragsteller 0.00486847861717	erklärung 0.00456027432326	petition 0.00447537884211	unterlage 0.00436371042869
topic219	weihnachten 0.171477348691	geschenk 0.16302248598	schenken 0.0613909999776	kürze 0.0612439698182	gästebuch 0.0510107257255	verschenken 0.0461690276874	anlass 0.0461057112753	stöbern 0.0414905003536	informativ 0.0399810923648	www 0.034422481028	liebste 0.0197752700759	kostenloser 0.0164699266909	terminkalender 0.0149522300065	geschenkidee 0.0132435162263	passende 0.0129556428813	restriktiv 0.0127000007572	herrenmannschaft 0.0113220645565	finder 0.0101665326225	kriegsgefangene 0.00886826156562	verhütung 0.00861421091164	optiker 0.00802940502431	freude 0.00695034290491	schenker 0.00689702253497	obsolet 0.00607519735551	blender 0.00586655815831
topic220	römisch 0.128292390107	tafel 0.0874735032666	grab 0.0734408851996	biene 0.0450040982384	ägyptisch 0.0369725203585	gießen 0.0340186522765	erschließen 0.0303079395638	aufschrift 0.0297307012118	inschrift 0.0280514122761	überrest 0.0266908432104	pedal 0.0266095080781	blech 0.0244875930136	mönch 0.0225945067526	obhut 0.0192675542766	england 0.0162360297728	torpedo 0.0154491258993	mechaniker 0.0151201201214	abtei 0.0134306060679	amphitheater 0.012520390349	geburtsort 0.0122888970344	filmaufnahme 0.012225613175	geschicklichkeit 0.0118794009745	römer 0.0112990452947	unentdeckt 0.0110095753693	schriftzeichen 0.0108995133404
topic221	gemeinsam 0.166846291737	ehe 0.0815319617692	partnerschaft 0.065027225479	ehegatte 0.037828383702	getrennt 0.0357231998859	elternteil 0.0296024381897	unterhalt 0.0277718233641	ehefrau 0.0259832651537	scheidung 0.0242291927082	ehemann 0.021694482583	ehepaar 0.0210772357546	crash 0.0192536411639	kurzbeschreibung 0.0164797233303	eheleute 0.013183262461	familienmitglied 0.0122152733839	saite 0.0114394516797	scheiden 0.0110736599201	trennung 0.0105696209114	ehepartner 0.010473163306	neuregelung 0.0101905314177	leben 0.00991270280331	betreuend 0.00960914947414	ehelich 0.00901092034496	einkommen 0.00899234199898	merkblatt 0.0088042088631
topic222	kraft 0.324935977063	ereignis 0.0814488464916	welle 0.0673977075427	physisch 0.0438541921003	psychisch 0.0422742559193	beobachter 0.0236809696129	treten 0.0220581789758	schwingung 0.0218406543684	altern 0.0189726525367	einteilung 0.0185096927714	lektion 0.0173519793323	mental 0.0151739296732	trauma 0.0119943370596	integral 0.0116102759832	schlüsselwort 0.0114251149234	bewegungsablauf 0.0110508870861	karma 0.0108445079886	tierschützer 0.0107956909469	projektion 0.0100959393515	beschuß 0.00984445156435	psychologe 0.00972422876367	blockade 0.00950700918315	veteran 0.00803089369757	vorhandensein 0.00795501029842	verzerrung 0.00791211302739
topic223	nummer 0.697915669338	abschnitt 0.0735009341195	anmerkung 0.0701333183247	anhang 0.0280000077362	beauftragen 0.0198085736102	grenzwert 0.0158569128024	festgelegt 0.0110947257141	festgesetzt 0.00937309046728	ausweisen 0.00926488654621	polizistin 0.00686143279738	umbaumaßnahme 0.00662142286144	bilanzieren 0.00565155395519	planfeststellungsbeschluss 0.00473347356037	regierend 0.00445436549128	intermezzo 0.0040217473204	verwaltungsvorschrift 0.00383227664209	normiert 0.00373592596044	treppenstufe 0.00322745969955	schaubühne 0.00283980956374	qualifizierend 0.00202683454208	projektbeschreibung 0.00184588153574	amtlich 0.00180295650679	höchstzulässig 0.0015926693304	finanzsenator 0.00158714310422	sonderstatus 0.00145979138891
topic224	stiftung 0.261642954253	kalender 0.106964798455	opa 0.0614083137165	tante 0.0555905217178	sammler 0.0543824354935	wechselnd 0.0408769750164	versterben 0.0318288887472	nichte 0.0224565654671	sonnenschutz 0.0217573790582	warentest 0.0192875490178	heldin 0.0147252507438	schneefall 0.0145590208902	steckbrief 0.0145256472883	hinweisschild 0.0138321137879	schulferien 0.0133383249021	steinzeit 0.0132649481439	rindfleisch 0.0127905667602	bemalt 0.0126890912946	berufstätig 0.0126114639965	erfahrbar 0.0118564635262	funktionsstörung 0.0101119127309	kindergeburtstag 0.00986332701485	zwischenergebnis 0.00913129854672	ausgrabung 0.00787620572752	archäologie 0.00770050831096
topic225	edition 0.146488007456	regal 0.101681281853	strich 0.0971867297703	staub 0.075947550304	kürzen 0.0557914423897	neuauflage 0.0468315683575	sondern 0.0295043981608	durchbruch 0.0282864635372	pendeln 0.0268907775383	aufklären 0.0257883699605	zuführen 0.0253020917362	vornehmen 0.023069655094	ausliefern 0.0227772366367	sollen 0.0218171249966	speicherkarte 0.0213006430912	abweisen 0.0188837456389	nachahmung 0.0182862821205	mitreden 0.016088199772	merkzettel 0.0154330039718	pointe 0.0152997514322	spritzig 0.0140872409275	verbittert 0.0117849928497	ausschreiben 0.0114212376943	zielsicher 0.00944489913896	entmutigen 0.00861863274251
topic226	master 0.143115922381	ausschreibung 0.120104889114	vergabe 0.0722386271015	bachelor 0.0623055065364	fort 0.0548751637034	routine 0.0528349137896	handarbeit 0.0390536861446	programmiersprache 0.0305164590236	bratwurst 0.0261499158584	sekretärin 0.0251111000838	framework 0.0250953579115	weiterempfehlen 0.0244143181728	führungsposition 0.0185518778179	bwl 0.0175395069746	umkehrschluss 0.0168371426397	informationsportal 0.0148222380925	hausbesitzer 0.0130661614511	handwerkszeug 0.0118097355273	auslandssemester 0.0113459977747	backend 0.0104282341962	kostenintensiv 0.00994011647922	universitär 0.00978730139461	tiefbau 0.00975049809435	metallteil 0.00937082065726	temperamentvoll 0.00813739385444
topic227	eindrucksvoll 0.0349785470007	faszination 0.0339690055235	romantisch 0.0324361677477	charme 0.0295971947182	romantik 0.0269552297158	versetzen 0.0260572214788	bremer 0.0254649790865	leidenschaft 0.0251465771802	poetisch 0.0247105202703	unverwechselbar 0.0230597301627	reichtum 0.0228715199711	leidenschaftlich 0.021808228909	gebaut 0.0206303883144	manier 0.0202300518141	kostbar 0.0195858194812	vielschichtig 0.0192324624213	zeitreise 0.0179786948065	anmutend 0.0148658349556	packend 0.0139722297232	kulturgut 0.013837925791	einsendung 0.0137483560194	mitreißend 0.0137217313893	prachtvoll 0.0136842202831	isländisch 0.0127946135945	erlebbar 0.0122168836151
topic228	halle 0.311358633022	frankfurter 0.153119907081	locken 0.0714087597319	jahreswechsel 0.0269352802839	kolumne 0.0257976056252	winken 0.0256189385641	geläufig 0.0201162093468	einspringen 0.0169599220743	buchmesse 0.0167936051757	treff 0.014761754377	sheriff 0.0132803231155	würstchen 0.0128315335753	knusprig 0.0124911891634	abendbrot 0.0123549051029	auswanderer 0.0116842056779	hinderlich 0.0103515797371	einstand 0.00996636679775	erstenmal 0.00967728862633	gastland 0.00950379023724	riesengroß 0.00918835775062	anmuten 0.00896466279311	pausenlos 0.00893936418943	festlichkeit 0.00878898908313	möbliert 0.00796448506925	oberbürgermeisterin 0.00773864139152
topic229	schweizer 0.214972535823	franke 0.0808579641799	kanton 0.0780846555316	schweizerisch 0.0588363769648	bundesrat 0.0347985925281	formation 0.0322207080919	berner 0.0313302495115	pianist 0.0279576531155	zürcher 0.0276024734381	regelmässig 0.0267513570689	resolution 0.0201830384108	fingerabdruck 0.0183148509255	dossier 0.0168247721323	rosengarten 0.0151268647946	samba 0.0132472147641	verschönern 0.0131393116296	legitimation 0.0127784558964	mittwochabend 0.01194528249	sinto 0.0108530709162	testergebnis 0.0104080408734	stadtbild 0.00913301689049	bildnis 0.00871877464184	lehrreich 0.0081546531786	geworden 0.00782820513155	erstausgabe 0.00782239717849
topic230	gemeinde 0.253243808882	feuerwehr 0.0822629411503	freiwillig 0.0495859586206	abteilung 0.0399614080427	einsatz 0.0279797601093	kamerad 0.0225912774086	wehr 0.0196722774118	ort 0.0163149353218	brand 0.0157822165998	bürgermeister 0.0139794590583	ortsverband 0.0117181751324	stellen 0.0108247790116	einsatzkraft 0.0105562472103	weit 0.00939015896051	arbeit 0.00913885184029	ortschaft 0.00777725444148	kommen 0.00766606833853	aktiv 0.00760041135456	technisch 0.00754813707291	einwohner 0.0074592530262	hilfeleistung 0.00697278452738	kommandant 0.00658604183111	einsatzort 0.00611481476371	feuerwehrmann 0.00609627397118	kameradschaft 0.0058820465422
topic231	geben 0.0623804286733	gut 0.0570805197076	tip 0.0426142103031	empfehlen 0.0310922942164	wichtig 0.0299715022897	richtig 0.0234960438529	lassen 0.0217546259579	einfach 0.0203095339399	erfahrung 0.0179709702867	machen 0.017486593534	nehmen 0.016762241055	achten 0.0156938134455	unbedingt 0.0155862124661	schnell 0.0153775584264	brauchen 0.0152982093612	fall 0.0147810592838	halten 0.0131270872027	helfen 0.0118104572275	zeit 0.0106111648801	sicher 0.00898241407066	hilfreich 0.00837546303797	leicht 0.00831123485326	genau 0.00812672398964	sinnvoll 0.00783589090634	verwenden 0.00782279858785
topic232	arzt 0.112182551871	patient 0.111582118795	behandlung 0.0651008233384	medizinisch 0.0512134069706	klinik 0.0396707744396	therapie 0.0322038144465	krankenhaus 0.0278580955203	ärztlich 0.0226587884296	versorgung 0.0180706642985	ambulant 0.014527274588	praxis 0.0141636025095	chronisch 0.0130835150518	stationär 0.0129647230455	erkrankung 0.0128021167772	medizin 0.0123818056549	psychisch 0.0121786095072	patientin 0.0112650452834	krankenkasse 0.00781188531285	medikament 0.00737861718859	behandeln 0.00724831703655	psychiatrisch 0.006811792509	hausarzt 0.00644044767827	facharzt 0.00621414138471	krankheitsbild 0.00617320610377	stehen 0.0060604933628
topic233	kader 0.113362912559	transfer 0.112661025901	löwe 0.105094538656	rockmusik 0.0392395069521	ausleihen 0.0365409071447	ärmel 0.0278192336979	flop 0.0261104798716	waage 0.0253777956217	leistungsträger 0.0249945880158	taschengeld 0.0225162676595	stemmen 0.0217560767468	quittung 0.0217453177066	altlast 0.0199529907146	stier 0.0187036639417	skorpion 0.0186696189319	schwiegermutter 0.0172250767785	horoskop 0.0163602463584	lobend 0.0156764088642	sternzeichen 0.0147263265296	weggefährte 0.0127187896705	blamieren 0.0120498243277	bröckeln 0.0109543215329	kalkulierbar 0.0105496396663	diplomatie 0.0105200110681	paukenschlag 0.0104748908321
topic234	erhalt 0.0966950894083	baulich 0.090768855776	wende 0.0818346378558	sanierung 0.0801930240704	schrittweise 0.0599472245321	periode 0.0575030243443	zugehörig 0.0487079144657	tibetisch 0.0476587171656	klärung 0.0395525251346	umlauf 0.037484872071	mittelgroß 0.0305500320988	tibeter 0.0260521768956	aufarbeiten 0.0225927336607	umrunden 0.0203089811534	schulhaus 0.0203042186528	mittelschwer 0.0172674529391	zeitgeist 0.0154956311912	beglückwünschen 0.0150474428723	spendenaktion 0.0144597576254	bauamt 0.0129902089518	kaufhof 0.0117292360462	navigationspunkt 0.00989826810801	dorfkirche 0.009870093649	engmaschig 0.00908736199698	betriebsklima 0.00889410170103
topic235	gelten 0.0391356801078	erfolgen 0.0345213028187	schriftlich 0.0167005423877	gültig 0.0152207024212	frist 0.0100946099454	bestimmung 0.0100110730353	erforderlich 0.0100083385312	tag 0.0099996295924	jeweilig 0.00953030545094	entsprechend 0.00933662943321	vereinbarung 0.0090951712099	beachten 0.0088843724594	allgemein 0.00882364816317	mangel 0.00875456366023	recht 0.0083256780298	angabe 0.00821835694463	gesetzlich 0.00814875775432	möglich 0.00813309206967	monat 0.00812385736924	nachweis 0.00695564247265	unverzüglich 0.0069441595319	fall 0.00665085804471	zeitpunkt 0.00658299572647	kosten 0.00653279010898	betragen 0.00642078087555
topic236	schreiben 0.455156593688	lesen 0.196603878016	lese 0.0147029507761	machen 0.0136219498017	programmierer 0.0125041556262	einfach 0.00937245432048	rechtschreibung 0.00842084445195	grammatik 0.00798163184868	nachname 0.00791376406035	geschrieben 0.00726147205576	wissen 0.00658677284999	geben 0.00580956133445	meinung 0.00484528289301	verstehen 0.0043416846905	verfassen 0.00398955862024	schreiber 0.00389300694265	gelöscht 0.0037071669383	zeit 0.00358004610651	beispiel 0.00355642569792	veröffentlichen 0.00355228094401	gehen 0.00321115406357	tun 0.00316370039146	raubkopie 0.00314439410756	rechtschreibfehler 0.0030278095804	schwachsinnig 0.00298859256275
topic237	geben 0.0248783170146	meinung 0.0164216762572	sagen 0.0143746435969	gut 0.0143670774363	gehen 0.0126823634375	machen 0.0118790129871	finden 0.0116881316813	wirklich 0.0114212211021	einfach 0.0110613596885	wissen 0.0109144276142	tun 0.0106544054894	sehen 0.0106134213187	thema 0.0104257077925	denken 0.0101483539038	glauben 0.00934552504044	klar 0.00805554209652	halten 0.00793606813978	leute 0.00777585108413	frage 0.00768515046542	meinen 0.00722726610282	genau 0.00676325272199	verstehen 0.00676166198777	richtig 0.0066825134736	recht 0.00656001807441	kommen 0.00652568707095
topic238	ablauf 0.22676493665	verkehr 0.193605687468	geldanlage 0.034604932658	beschränkung 0.0314538355813	beendigung 0.0278220951977	verbleiben 0.0243302888558	anschrift 0.0232897875219	rechtsberatung 0.0228043978132	übereinstimmend 0.0216769662625	mietverhältnis 0.0215178716288	kaution 0.0205296042728	anrechnen 0.0199629210539	leitsatz 0.0184009410985	plz 0.0155325730515	mehrsprachig 0.0144639928638	überlastung 0.0138788497899	mietrecht 0.0116622176668	zustellen 0.0112862503374	korrigiert 0.010841737703	rückständig 0.0107292887885	dekret 0.0101962037264	typenbezeichnung 0.010037649983	unpraktisch 0.00978048666084	pensionierung 0.00934992573916	mindeste 0.00924102615745
topic239	beitrag 0.764724995427	registrieren 0.0828772370812	betreff 0.0425210937136	leisten 0.0219622744812	antworten 0.0149750943362	grip 0.00683324003093	hauptseite 0.00519893948131	verfassen 0.00502044638621	löschen 0.00426665301568	bitten 0.0040818508074	klitzeklein 0.00387133875725	abstinenz 0.00375878340482	aufgefordert 0.00298097913513	jugendmeisterschaft 0.00272223887385	bindestrich 0.00262835796942	informationsgehalt 0.00198335782339	meinung 0.00193879125664	lesenswert 0.0018515510618	lob 0.00182171233081	thema 0.0016766228822	bitte 0.00130613862003	ausschank 0.00126955511583	banküberfall 0.00126529658787	nichtsahnend 0.00125677926017	krisenherd 0.00120597087335
topic240	klicken 0.297921775014	gutschein 0.0951115088296	button 0.0871925685344	ausgewählt 0.0594351684976	plugin 0.0555976025144	abrufbar 0.0352594883578	aufrufen 0.02773012955	ausdrucken 0.0252934736155	aktualisierung 0.0251489307078	internetangebot 0.0241165138286	etabliert 0.0237644729221	bundesfinanzhof 0.0195436853375	gelangen 0.0162699228257	weit 0.016166769699	internetauftritt 0.0157363588386	vertragspartei 0.0135698361822	internetportal 0.0119070783076	animiert 0.010016158777	automatisiert 0.00987153178367	verfügung 0.00893956420747	verfügbar 0.00873698659793	stellen 0.00821837370222	detailliert 0.00662012794738	dienstleistungsangebot 0.00521392187861	angeschlossen 0.00485573752065
topic241	operation 0.131278732328	eingriff 0.0815380195535	überwachung 0.0672337110253	brust 0.0601727015177	blase 0.0491794970099	anschliessend 0.0422160093236	delphin 0.0367185822773	überwachen 0.0276606927851	ultraschall 0.0234906392737	verbrennung 0.0197740614466	narkose 0.0174499181375	koma 0.0151470970236	krähe 0.012269364541	elektrode 0.0118604528907	center 0.0116255121828	infusion 0.0113473285953	örtlich 0.0109204881858	betäubung 0.0106177066237	erfrischung 0.0105566134826	unterarm 0.0103724380638	vorbereitend 0.0103427298302	vene 0.0103260006132	erzwungen 0.00914253875647	liegeplatz 0.00871293735281	bildgebend 0.00860084462059
topic242	partner 0.174723911933	beziehung 0.114248675046	paar 0.0809978628746	sex 0.0734307726009	tanzen 0.0605556762671	tanz 0.0512828258338	lust 0.0269565905368	liebe 0.0233331200489	pille 0.0216770712826	strumpfhose 0.0182186603187	sexuell 0.0181505699202	lebensfreude 0.0165156022555	tänzer 0.0160513038557	penis 0.0155235254257	sexualität 0.0137246580759	nackt 0.0125364314639	fortgeschrittene 0.0125092604352	drehung 0.0117617859366	tango 0.0117497069723	verbandsgemeinde 0.0104147896165	tänzerin 0.0103231021216	ballett 0.00766563134516	pärchen 0.00752707399797	weiblichkeit 0.0069712137636	musikinstrument 0.00680516567501
topic243	angabe 0.239917724178	anzeige 0.125625500727	passwort 0.0403592436807	geschützt 0.0320452640285	login 0.026216809791	erstellt 0.0243479150162	angeben 0.0236087483803	ergänzen 0.0229880941581	ankündigung 0.0223040578757	verweis 0.02165648149	benutzung 0.0208640157223	vervielfältigung 0.0201970394556	sperrung 0.0182995395182	verlinkung 0.0180245119112	verwendung 0.0179641583451	vollständig 0.0167365737743	nennung 0.0152386551581	schreibweise 0.0147923305454	flohmarkt 0.0138764315939	geschäftlich 0.012155723691	nutzungsbedingungen 0.0121052443233	angezeigt 0.0120562510983	verwertung 0.0117181427095	kleinanzeige 0.0100632918322	hyperlink 0.00894103747911
topic244	experiment 0.0381620215502	theorie 0.0344668809473	physik 0.0297101807705	physikalisch 0.0289719456497	atom 0.023645193988	system 0.0210748277654	struktur 0.0204262093907	mathematisch 0.0203255497162	komplex 0.0197543725224	teilchen 0.018901317844	masse 0.0183576549038	dynamisch 0.0180101168135	brille 0.0174534536687	experimentell 0.0150656536235	versuch 0.0150527079408	diplomarbeit 0.0145609151308	beobachtung 0.0143200470133	materie 0.01428901032	elektron 0.014284210743	simulation 0.0142568133316	physiker 0.0126099243199	phänomen 0.01205189114	theoretisch 0.011649943867	dissertation 0.0103453512366	arbeit 0.00931031671183
topic245	leben 0.0307456666979	liebe 0.0280344651537	zeit 0.0117917033861	lieben 0.0111910743445	lassen 0.0104909374984	groß 0.0104222113484	herz 0.0100305732617	welt 0.00829254947752	wort 0.00793584212616	weg 0.00774767935732	tag 0.00765069918416	bleiben 0.00715198538038	lieb 0.00708158729009	wissen 0.00672993243128	seele 0.00668811321847	tief 0.00600433570587	geben 0.00599587198809	sehen 0.00594140532696	tod 0.00575979186345	nehmen 0.0052458577551	kommen 0.00517108057946	kraft 0.00513514359138	auge 0.00499082463191	freude 0.00493991653528	freund 0.00489732574195
topic246	baum 0.202198032204	tasche 0.0508984667357	stamm 0.0348899289707	ast 0.0316928328162	buche 0.0315862736714	spielplatz 0.0263662616845	korb 0.0252660383081	pflanzen 0.0238853941042	stricken 0.0208389854513	perle 0.0199150224655	strauch 0.019794588131	schnur 0.0180591738535	sonnenschirm 0.0147782046153	outfit 0.0132086372433	winden 0.0130552678501	doppelbett 0.0129570420181	taschenlampe 0.0124773706865	austoben 0.0119962076917	basteln 0.0117874995577	weihnachtsbaum 0.0117493198961	schlafsack 0.0113210194814	schaufel 0.0108375620341	förster 0.0104134506863	biergarten 0.0100579634156	busch 0.0100111679008
topic247	spiegel 0.183791834837	ruf 0.123597942995	still 0.0977609669337	cup 0.0620166290779	tempel 0.0496480234566	tausch 0.0275163312107	ringen 0.0269593798206	geselle 0.0226096552582	belieben 0.0185849553142	holländer 0.0173070164149	routiniert 0.0138032735936	unschuld 0.0132165558825	erhaben 0.0131268337824	wirtshaus 0.0122457555248	leidend 0.0121432998004	ergebnisliste 0.0111901466242	scherbe 0.0107753632703	reithalle 0.00968930097309	liebende 0.00962091956312	meisterleistung 0.00884828245968	erstaunen 0.00803514369708	überspielen 0.00790266752174	unbedacht 0.00783096200687	zuschnitt 0.007788968399	beklemmend 0.00744288893993
topic248	steuer 0.128709917835	vermögen 0.0552997812986	steuerlich 0.0493869390939	finanzamt 0.0480802366172	erbe 0.0436444014466	einnahme 0.0391404811888	abzug 0.0370507200881	abgabe 0.03470093361	einkunft 0.0272572289575	umsatzsteuer 0.0256095425649	testament 0.0255374154596	vorrat 0.0229623960945	steuerpflichtige 0.0206642322196	steuerberater 0.0197089409401	steuerfrei 0.0149937615506	entschädigung 0.0144249323929	beschaffen 0.01362103816	umsatz 0.0127308113178	steuererklärung 0.0124834253663	finanzgericht 0.0123575304432	abziehen 0.0102969432092	unternehmer 0.00989398930716	finanzverwaltung 0.00948521889118	erklärt 0.00948255816533	vorsteuerabzug 0.00945736830823
topic249	kind 0.518715177795	eltern 0.111543614583	familie 0.0301632394428	erwachsene 0.0203873811783	mutter 0.0112910674028	jahr 0.00935643521764	geben 0.00915923918631	klein 0.00830967787572	erziehung 0.00811754523201	schule 0.0079321294077	leben 0.00769185490795	alter 0.00758937232597	geschwister 0.00646821431512	kleinkind 0.00598094526867	großeltern 0.00525608497902	eigen 0.00496296609217	früh 0.00479066945491	kindheit 0.00461877548224	haus 0.00450655013856	säugling 0.00437723635696	kindlich 0.00427104921927	bekommen 0.00396433370554	kommen 0.00369590678531	elterlich 0.00361094032676	erwachsen 0.00357127099306
topic250	mensch 0.349340870474	leben 0.190394582044	geben 0.0285921457406	welt 0.0190068874694	gut 0.0140266551887	machen 0.0136931285193	brauchen 0.012092617297	wichtig 0.00975030478776	sagen 0.00856147179316	groß 0.00772602563157	tun 0.00738264600922	alltag 0.00668096159516	eigen 0.00659265210589	menschlich 0.00655779025041	spenden 0.00624714589553	selbstbewusst 0.00594570137215	zukunft 0.00564375958461	wissen 0.00493914784707	gesellschaft 0.00475214012053	gehen 0.0043046724236	beispiel 0.00425189470928	täglich 0.00411848409323	gehören 0.003857756536	freiheit 0.00385052253586	bedeuten 0.00382788415314
topic251	instrument 0.317011589309	sektor 0.0893030506346	zusatz 0.0713013478012	übermitteln 0.0481897438084	sonde 0.0257545850986	schlagartig 0.0257508996892	verlaufend 0.0249766559379	allgegenwärtig 0.0242995939005	grünfläche 0.0240735022945	krankhaft 0.023629616732	hausnummer 0.0209490962516	diagonal 0.0192450670407	verstreichen 0.0159344848785	unverhofft 0.0156640167936	kleingedruckte 0.0139641146906	gimmick 0.0139228852334	verkehrsunternehmen 0.0108481000898	herzschwäche 0.0103010036175	befundbericht 0.00969768626639	umgehungsstraße 0.00921840478778	gelangt 0.00843724328705	allseitig 0.00823765277292	fachforum 0.0071154357042	vordruck 0.0071119977345	herzmuskel 0.00706586938788
topic252	sozial 0.0445669547987	gesellschaft 0.0238761488119	gesellschaftlich 0.0215070211029	frage 0.0108454445794	perspektive 0.00820184430664	problem 0.00744630837753	handeln 0.00704158182999	form 0.00682774394351	verhältnis 0.00587509336468	gehen 0.00558757390979	beziehung 0.00549584743269	begriff 0.00531178281411	kulturell 0.00528325201345	prozess 0.00493666553525	identität 0.00485926435711	struktur 0.00464251940509	rolle 0.00463277003026	politisch 0.00460279768097	blick 0.00456192186397	anspruch 0.00443399378843	ethisch 0.00439115840605	individuell 0.00435823812666	bedingung 0.00433779216703	neu 0.00430549184078	sinn 0.0042585437371
topic253	studium 0.143666089719	hochschule 0.132720087304	studierende 0.110086750556	ausland 0.0633878428127	studieren 0.0574403440092	studiengang 0.0488315909681	lehre 0.0355959510451	berufserfahrung 0.0171400545687	qualifizieren 0.0123053418728	lehramt 0.0112899162224	international 0.0092232217115	lernende 0.00899960693715	entsprechend 0.0089852657863	möglichkeit 0.00895678445078	qualifikation 0.00842762873045	bieten 0.0079453216315	beförderung 0.00792528764649	absolvieren 0.00759136777107	fernstudium 0.00728346512452	weit 0.00673343418671	studienangebot 0.00649332047095	staatlich 0.00637354365734	möglich 0.00632940061713	berufstätigkeit 0.00592863727697	erhalten 0.00588640040337
topic254	deutsche 0.346795069441	heimat 0.166641686679	vorfahr 0.0346463592337	siedler 0.0290668128059	horizont 0.0267095882047	europäer 0.0189530432234	aufbruch 0.0184892665493	indigen 0.0181943221446	augsburger 0.0176922552133	aufkochen 0.0171773479728	hering 0.0135362926737	bezeugen 0.0121568771604	mentalität 0.0118409125043	farmer 0.0115545181194	alternd 0.011161805879	plage 0.0100492639856	regenzeit 0.00962713902043	alkoholisch 0.00810493320821	dekor 0.00799365153408	schultern 0.00785743508281	auswanderung 0.00781583538496	rausch 0.00743740215065	trockene 0.00695696646238	unmögliche 0.00693393883624	gelobt 0.00651563682624
topic255	stadt 0.608779623835	rathaus 0.0373313021376	einwohner 0.0347077946465	innenstadt 0.028630921281	stadtteil 0.0215155899593	großstadt 0.0123188540021	bebauungsplan 0.011170192056	stadtgebiet 0.00922447639356	städtebaulich 0.00856803514441	viertel 0.00816905855329	stadtplan 0.00800870049049	wohnen 0.00695895186112	stadtverwaltung 0.00683529468955	bewohner 0.00672261028776	herzogtum 0.00619712578997	bevölkerung 0.00603614183645	völkerrecht 0.00558641142173	ansiedlung 0.00543813860411	fußgängerzone 0.0046259455277	baugebiet 0.00453270245113	öffentlich 0.0044626493275	park 0.00438015746402	fassade 0.00409881504041	altstadt 0.00408923185941	stadtmauer 0.0036980586644
