topic0	ausbildung 0.0400520943766	studium 0.0298334698716	student 0.0203954293028	studierende 0.0202847280336	prüfung 0.0194609748203	hochschule 0.0162746328224	beruf 0.0151476084944	kurs 0.0145592721671	beruflich 0.0123057853077	studieren 0.0117913479095	jahr 0.0111975230945	lernen 0.0110007010651	semester 0.0107967380743	uni 0.010219108155	fach 0.00979848331875	studiengang 0.00912301533962	praktikum 0.00911998100453	weiterbildung 0.00835839404145	universität 0.00758815666283	erst 0.00750953711808	vorlesung 0.00735292967785	abschluss 0.00700091816926	arbeiten 0.0063984910309	kenntnis 0.00555836805336	finden 0.00532777224038
topic88	absender 0.0294187616478	nummer 0.0231378668746	urteil 0.0149542128338	kläger 0.0132629310523	entscheidung 0.0127879900331	beklagte 0.0126687733206	satz 0.0104514994374	art 0.0101124802809	verfahren 0.00851889601705	gericht 0.00761715657892	recht 0.00748591682039	fall 0.00730198497126	klage 0.00653624691271	grund 0.00644010103107	anspruch 0.00608879097824	antrag 0.00569828934448	rechtsprechung 0.0055782576437	weit 0.00535347046596	beschluss 0.00512496223396	aktenzeichen 0.00512153448536	geltend 0.00496789284505	sinn 0.00492566812713	liegen 0.00477945962617	vorliegend 0.00457469055685	bestehen 0.00435192067735
topic89	land 0.0244815222631	krieg 0.0168764282411	regierung 0.0117356904421	welt 0.0096121936442	staat 0.00891484988327	soldat 0.00873573239046	russisch 0.00706629991553	groß 0.00635908042019	amerikanisch 0.0060955714433	chinesisch 0.0059047643807	volk 0.00564633031768	militärisch 0.00550304831007	bevölkerung 0.00546580627569	armee 0.00524583203593	geben 0.0048649251376	frieden 0.00485960319628	präsident 0.00482021372877	international 0.00458915146829	weit 0.00429519800958	million 0.00420927262345	israelisch 0.00413415583822	arabisch 0.00405931422833	bundeswehr 0.00397705778692	jahr 0.00391960397702	kommen 0.00388775621521
topic90	gott 0.0217464380491	leben 0.0138401313275	liebe 0.011638981026	tod 0.0103072709315	herr 0.0101840112911	wort 0.00959707812845	sagen 0.009521688944	herz 0.00930590044529	kommen 0.00878363490819	vater 0.00856588895155	sprechen 0.00783275139143	geben 0.00762691031261	lassen 0.00741750118916	mensch 0.00705054296903	sohn 0.00687004441005	geist 0.00677421276754	sehen 0.00661118215301	groß 0.00606057111624	tag 0.00605430652467	welt 0.00586582756863	heilig 0.00563843867569	himmel 0.00536994083387	erde 0.00513863758422	sterben 0.00513446529039	zeit 0.00479076662042
topic91	landwirtschaft 0.0325325432129	bauer 0.0308419719362	lebensmittel 0.0265842764073	landwirtschaftlich 0.0230355302537	landwirt 0.0229933885434	anbau 0.0211901242161	biologisch 0.018771339212	feld 0.0161576898809	pflanze 0.0157680997907	verändert 0.0152037433364	boden 0.0143669470525	hektar 0.0142425419255	zecke 0.0109716770093	mais 0.0108984210626	erreger 0.0106311505117	wintergarten 0.0104582923247	ernte 0.0103375019831	gentechnisch 0.00988633098887	fläche 0.00950753287893	pate 0.00895080556181	hygiene 0.00877890642533	parasit 0.00820492224794	gentechnik 0.00800612224165	acker 0.00682263119245	vorbeugend 0.00622402945563
topic92	auge 0.0326071754941	masche 0.021399038067	brille 0.018014905014	gewebe 0.0169083117104	jugendamt 0.0165813998518	unterwäsche 0.0115859150689	ortsverband 0.0110301582732	tibetisch 0.0104017322941	dessous 0.00958006795938	embryo 0.00945816769376	segler 0.0092320834697	multipel 0.00842297317486	stricken 0.00834656750087	sexy 0.00799283196746	asthma 0.00742923150401	wolle 0.00670349852517	pfleger 0.00607926129559	tibeter 0.00568601753882	schwerpunktthema 0.00537754106968	würzburger 0.00524350504249	träger 0.00505575493777	jakobsweg 0.0050551417916	peripher 0.00499425583319	anatomisch 0.00492116260427	nikotin 0.0049165024142
topic93	holz 0.0653389773303	ruderer 0.0109988796197	regatta 0.00869083328451	tourismusportal 0.00638264864097	gestein 0.00620417436753	rauch 0.00578644987078	fliese 0.00563819508476	webcam 0.00561015057452	fenster 0.00553681227547	oval 0.00530502144081	kieler 0.00525991367966	finnisch 0.00518578175716	videosequenz 0.00493386392939	kessel 0.00445677974294	lehm 0.0044410858999	kalk 0.00436698323893	finne 0.00419733297284	bundesbahn 0.00417643866943	weiterführend 0.00399058772442	achter 0.00388870814629	kiel 0.00383213818973	relief 0.00364141910389	rinne 0.00357567473813	vierer 0.00351487180795	urlaubsregion 0.00347637138365
topic94	tag 0.0155354541357	körper 0.0149691191198	gut 0.0135520183711	woche 0.0118043096027	schmerz 0.0112172691695	helfen 0.00967306428036	lassen 0.00950177986661	angst 0.00942865231888	gehen 0.00924372692549	machen 0.0078602191352	zeit 0.00714019839302	monat 0.00670036746127	lang 0.0066343159307	leicht 0.00633070847885	fühlen 0.00632319740691	stark 0.00630464733539	tun 0.00623096423353	nehmen 0.0060151185013	kommen 0.00570709062584	bein 0.00569308764849	bewegung 0.005179057559	körperlich 0.00501279637616	gefühl 0.0050028988458	jahr 0.00489507514106	stress 0.00480563699057
topic95	gmbh 0.0425497393417	firma 0.0366300051056	suchen 0.0209494225058	unternehmen 0.0205182519441	mitarbeiter 0.0145553013159	bereich 0.0130742900896	service 0.0114679039208	kunde 0.010910901058	beratung 0.00954957638328	bieten 0.00913416104413	dienstleistung 0.00901005154713	erfahrung 0.00812333512194	bewerbung 0.00767585691771	geschäftsführer 0.00764686734764	auftrag 0.00689203281128	bewerber 0.00684787472785	standort 0.00679712825157	partner 0.00640393550674	tätig 0.00617391700192	angebot 0.0059212733292	aufgabe 0.00583519578887	jahr 0.00576601368412	agentur 0.0056203970938	team 0.00551179254265	kompetent 0.00525926801415
topic96	insel 0.0876425699128	meer 0.0599655378906	strand 0.0362691163176	springen 0.0287624769019	küste 0.0211343516854	nationalpark 0.0162977528794	ostsee 0.0148375978033	indisch 0.0130367985566	cup 0.0127352426752	bucht 0.011743527047	navigation 0.0104755760377	land 0.0104271421052	schwedisch 0.00954270829628	sand 0.00914346831472	delphin 0.00819922732958	ozean 0.00814870921663	hafen 0.00810391682762	dänisch 0.00785354072092	elefant 0.00747037904858	welle 0.00719918886129	welt 0.00702493884055	australisch 0.00693931933572	flora 0.00691475659638	vulkan 0.00667915870282	sandstrand 0.006462636436
topic97	kosten 0.0251430166952	euro 0.0211208511458	monat 0.0197815767998	erhalten 0.0148617314316	zahlen 0.0104825002274	möglich 0.0102536899934	gelten 0.00885885414918	höhe 0.00848932060919	tag 0.00798456776217	jahr 0.00772561402513	gebühr 0.00767126909893	fall 0.00756056214632	betrag 0.00714764375611	vertrag 0.0068127979643	monatlich 0.00658173472269	zusätzlich 0.00637343606755	konto 0.00606314506941	antrag 0.00604930670581	betragen 0.00592682106642	erfolgen 0.00571307133529	weit 0.00553429884545	woche 0.0054050464559	geben 0.00538940230107	rechnung 0.00499197670395	zahlung 0.00464833679476
topic98	rad 0.0487460546843	fahrrad 0.0369169072015	mark 0.0328053100024	fahren 0.0282519971255	helm 0.0177304695054	marathon 0.0161102497828	motorrad 0.0158245896803	bike 0.0131691419273	remis 0.0124597503224	hörbuch 0.0107576227346	pastor 0.00993398800804	radfahrer 0.00982372861571	lenker 0.00892340162874	scheinwerfer 0.00877446607067	kirchengemeinde 0.00838547373107	rahmen 0.00782486770742	tour 0.00708535880354	höhenmeter 0.00665784531348	brasilianisch 0.00652951583318	abkühlen 0.00631254862837	testspiel 0.0059809820905	rennstrecke 0.00567629876438	korbacher 0.00560327836089	flohmarkt 0.00530494195558	vierte 0.00529431506922
topic99	spiel 0.05004262154	spieler 0.0316697396198	tor 0.028859455504	minute 0.0257226680959	mannschaft 0.0253585655238	spielen 0.0203344813178	ball 0.0192348354074	gut 0.0169740249624	trainer 0.0121987312754	kommen 0.0116689044012	chance 0.0102453578535	partie 0.00852397471629	erst 0.00787330745695	führung 0.00766707026632	gast 0.00746116971693	gehen 0.0071330972045	stehen 0.00651127635588	kurz 0.0054917142989	treffer 0.00548132473675	gegner 0.00534173510979	lassen 0.00533247091566	bleiben 0.00516424494781	abwehr 0.00509259533745	pause 0.00504837326953	spieltag 0.00481386124812
