topic0	halter 0.0846611221108	orientierung 0.0805864744472	papst 0.0783766189505	ablegen 0.0473016062045	homosexuell 0.0407950926932	neigung 0.0404149567466	penis 0.0396300771204	schwule 0.0365680307079	vorhaut 0.0280008965849	vatikan 0.0278359530307	garnele 0.0277181931313	respektiv 0.027568643879	homosexualität 0.0271187635607	veranlagung 0.0264952550604	beobachter 0.0264266214554	homosexuelle 0.0225508477888	buchführung 0.0202046584464	käuflich 0.0201605500243	ablage 0.0178853405167	säkular 0.0172963242707	nachzucht 0.0167946012465	heterosexuell 0.0150490636871	kardinal 0.0141964888579	außenßen 0.0139367556024	ungereimtheit 0.0128464044902
topic184	preis 0.231013796858	kategorie 0.141714619176	vergeben 0.0773890806125	erhalten 0.0665312022696	auszeichnung 0.0575896270541	award 0.0430093887702	jury 0.0302649505697	suite 0.0207430862899	preisträger 0.0199422280205	ausgezeichnet 0.0193967071138	fertigen 0.016997218445	herausragend 0.0162777466639	ultra 0.0137110843708	zeichnen 0.0134067133714	preisverleihung 0.0126458709816	mensa 0.0117223479044	nominierung 0.00999380968061	verleihen 0.00813048422104	renommiert 0.00736027133033	trainingsplan 0.00727820916398	auszeichnen 0.00673933138107	krafttraining 0.0066862618524	bewerten 0.00666086696202	hoch 0.00643693188596	automotiv 0.00642921813884
topic185	stil 0.0665843654692	sexy 0.0594929426438	anzug 0.0412523395291	look 0.0367184955711	matrix 0.0357152896653	outfit 0.0351729546815	ausschnitt 0.0318927463167	durchmesser 0.0277879882085	lässig 0.0258088504061	sonnenbrille 0.0242500002337	mantel 0.0236981030957	vorderseite 0.0203485345199	ordern 0.0201205351576	pink 0.0197773718769	kostüm 0.0196124051798	schrill 0.0154812039729	anziehend 0.0153767188007	shorts 0.0153161364558	dorn 0.0148708052986	farbenfroh 0.0147686447954	symmetrisch 0.0141387974313	extravagant 0.0138620793924	bonbon 0.0133872783655	versetzt 0.0131515428797	verwandtschaft 0.0126982975434
topic186	dame 0.34237412673	golden 0.181558948983	tasche 0.120840701503	eintragen 0.0559551458634	dick 0.0228402200279	girl 0.0206699031469	aufgeschlossen 0.0187990625585	jugendgruppe 0.0181273040072	pinkeln 0.0170426943106	ringen 0.0149207062537	regensburger 0.0115550262538	handynummer 0.0105941570493	stammbaum 0.00905703366879	wehrdienst 0.00844593842912	röntgenbild 0.0078862359062	ohrring 0.00778627546213	nachstehen 0.0071152379521	nulltarif 0.00701375464743	apart 0.00689612340534	gleichmässig 0.00652720202172	eingrenzen 0.00604657282349	verpaarung 0.00491639942309	eigenlich 0.00451376684993	fußballturnier 0.0043124591662	ministrant 0.00412055266486
topic187	gebäude 0.325694417282	arbeitsgruppe 0.0485303195747	flügel 0.0373398154184	thüringer 0.0310531372253	stockwerk 0.0287729988175	saal 0.0281653019671	appartement 0.0266880365598	aufzug 0.0248390170652	ortsverband 0.0244493328962	spital 0.0223436417433	landratsamt 0.0218094517486	flamme 0.0193020529856	wiederaufbau 0.0153294821794	fundament 0.0150035750322	mineralwasser 0.0138693440963	bürgermeisterin 0.0135866236581	umgestaltung 0.0124398418695	innenhof 0.0109670633728	zulage 0.0106632119481	denkmalgeschützt 0.0105165686509	zählend 0.0102294215792	messegelände 0.00975109266746	pfeiler 0.00867356355812	abreißen 0.00863811242603	ortszeit 0.00784592734047
topic188	vater 0.0741551745449	mutter 0.0679251807989	bruder 0.0328267644742	sohn 0.0253241822173	haus 0.019223968841	kommen 0.01613973531	groß 0.0160607172762	schwester 0.0147666197051	leben 0.0145548438547	mann 0.0139324549425	jung 0.0136351929909	tochter 0.00924063108925	alt 0.00888111988233	nehmen 0.00816831096178	lassen 0.00756186368249	sprechen 0.00723348844039	gut 0.00641072173415	bringen 0.006359305827	onkel 0.00589291026958	großmutter 0.00581271793725	kennen 0.00575806351348	machen 0.00569183830107	spät 0.00541763416291	ziehen 0.00483131987477	klein 0.00477606223663
topic189	boot 0.114744235573	schiff 0.11242439423	wind 0.0616118243361	hafen 0.0614603528505	bord 0.0365714006023	anker 0.0362445074153	segel 0.0287894737624	ostsee 0.0281491122523	dänisch 0.0194126273874	deck 0.0192821866332	ruder 0.0167783122549	crew 0.0157491079988	mast 0.0150187938362	segeln 0.0130604080881	kabine 0.012895862503	sturm 0.0113901377939	rudern 0.0112257755498	yacht 0.0108288720012	handelskammer 0.00845404410198	welle 0.0079750792417	windenergie 0.007722134665	see 0.00757535405602	mittelmeer 0.00699080999534	fahrt 0.00696333024914	flotte 0.00662204226791
topic190	indisch 0.0710135082283	ritual 0.0340820658705	spirituell 0.0323612584922	yoga 0.0288258626142	asiatisch 0.0235832370075	meditation 0.0227858305031	tibetisch 0.0207741990031	reisebericht 0.0198870795481	stille 0.019781282282	spiritualität 0.0186922980952	lehre 0.0185886671382	harmonie 0.017914177879	unbeschwert 0.0177002206461	qigong 0.0170156447798	buddha 0.0164389765441	buddhismus 0.0155929067953	buddhistisch 0.0147128617755	trip 0.0138947464224	mönch 0.0134225295863	eintauchen 0.0111475930808	westlich 0.0106444401645	wohnmobil 0.00986511821024	zeremonie 0.00977166155241	monument 0.0095236961187	einweihung 0.00893370671942
topic191	karte 0.504340486719	box 0.142615670319	masche 0.0518750568351	lautsprecher 0.0387440003115	boxen 0.0264314458838	entern 0.0157516105917	reihe 0.013509329775	tragbar 0.0097687947178	mailadresse 0.00972015939934	kalkulieren 0.00892268453638	mustang 0.00836905648421	gießener 0.0078632267026	teilig 0.00766568653406	card 0.00739874615394	subwoofer 0.00714089609237	golfclub 0.00671709507081	mitfeiern 0.0065662352516	navigation 0.00644994758103	euronen 0.00631774108357	vorwoche 0.00623685548289	stapel 0.00616572916854	tätlichkeit 0.00611050109674	plattenspieler 0.00561299864757	notleidend 0.00531265622337	raffinesse 0.00510027276283
topic192	wetter 0.175143922416	schnee 0.152643241461	mieten 0.0519732937983	spielplatz 0.0441639612944	grill 0.0421725432187	webcam 0.0270457402423	witterung 0.0233044985307	inventar 0.0203812848477	winterlich 0.0177569373833	südosten 0.0162105865519	kran 0.0142720661179	begehbar 0.0141979779255	eisig 0.0140728421181	sonnenschein 0.0139739938947	vorhersage 0.0139262884025	übernachten 0.0123380995643	wetterlage 0.0119847882724	reisezeit 0.0116849313219	halbherzig 0.011334528126	klassenkamerad 0.00989521586153	benzinpreis 0.00974302556134	trotzen 0.00974209432418	erwähnenswert 0.00895526337457	diskothek 0.00894113451947	lader 0.00823754971744
topic193	vorsatz 0.0339066390407	knopf 0.0335977874135	taxi 0.0307408355577	spoiler 0.0233664232724	winken 0.0226966036937	funken 0.0225516421645	kraftvoll 0.0213112877247	karren 0.0199649878346	baujahr 0.0190963181266	prise 0.017597057114	prügeln 0.0170166430606	straßenrand 0.0169933098482	vollgas 0.0162580328553	anfahren 0.01591017136	karre 0.0153192515076	einsammeln 0.0151100996225	reparieren 0.0140062872047	gemächlich 0.0134203177511	helfend 0.0134057780601	rollen 0.0132641631871	taxifahrer 0.0131922229533	gate 0.0125044517698	beladen 0.012440346011	beifahrer 0.0119453083741	optimist 0.0117698542307
topic194	gerät 0.113445185741	display 0.0203177826259	auflösung 0.0187422581479	monitor 0.0135050235712	digital 0.012718696181	bildschirm 0.0118781473696	funktion 0.01180052972	hersteller 0.0116790326447	gut 0.0112701546891	pixel 0.0108705954133	groß 0.0100181625115	fernseher 0.00923084705287	test 0.00866894370387	klein 0.00858960211383	bedienung 0.00851471665404	prozessor 0.00827983040906	software 0.00758997467113	zoll 0.00733839319917	fernbedienung 0.00662468478846	gehäuse 0.00660644933755	lassen 0.00614150702762	speicher 0.00601335080949	tastatur 0.00598792514895	navi 0.0057940554116	player 0.00559179494131
topic195	grün 0.351912373696	bund 0.201709481558	grüne 0.0779179605269	stuttgarter 0.0513546424403	bündnis 0.0431370924906	ausstieg 0.0213764119809	zulauf 0.020807346513	schulkind 0.0189901953808	vielerlei 0.0145920382353	boomen 0.0126820403985	expertin 0.0120863023845	gewerbesteuer 0.0114363012766	großprojekt 0.0101940475487	bundesvorstand 0.00874712764385	tiefbahnhof 0.00804682229712	deal 0.00729332815675	platzbedarf 0.00679789093205	durchfahrt 0.00563006454275	planbar 0.00520205727591	sachkenntnis 0.00505680902272	energienutzung 0.00492126193834	brandaktuell 0.00469177352354	informationsabend 0.00418148237316	vertrauensperson 0.00402119224429	wohnviertel 0.00400127738158
topic196	video 0.368134477834	radio 0.154472152115	design 0.0984309414142	format 0.0692756682067	audio 0.0269451532911	abspielen 0.0227766060509	player 0.0219776997474	upgrade 0.0179699637545	aktualisierung 0.0170231444419	anschauen 0.0150617982427	live 0.0121244564854	ruderverein 0.00937086851478	gadget 0.00936674039545	contest 0.00794376381656	altersstufe 0.00775610146767	ansehen 0.00743147861662	dock 0.00729568213299	converter 0.00622378890993	vorinstalliert 0.00584455805142	funkturm 0.00559800306641	jugendabteilung 0.00532207919055	datenpaket 0.00428452355032	schreinerei 0.00428123317315	formschön 0.00428035194056	streaming 0.0041479112622
topic197	mädchen 0.281283549786	junge 0.16980555002	pflege 0.109116080369	angehörige 0.0640145596671	pflegeheim 0.0187401752593	textilie 0.0152039775681	pflegeversicherung 0.0147338615904	pflegekraft 0.0116585218189	migräne 0.0100807336469	unterrichtseinheit 0.00983465615199	zivildienst 0.00979109224478	pflegebedürftig 0.00964989733506	seide 0.00900544165204	wäsche 0.00893408442165	pflegen 0.00830511053066	tagesablauf 0.00804452282327	flirten 0.00770169434287	erwirken 0.00696281372014	kamel 0.00668590091181	pflegebedürftige 0.00667455041791	eigenregie 0.00655831089451	pflegend 0.00637675668551	garn 0.00616912322078	fürsorglich 0.00611595873192	pflegestufe 0.00598397244795
topic198	privat 0.235087108602	versicherung 0.0752748027428	gesetzlich 0.0543221025099	kasse 0.0306982900682	versicherte 0.0246142804519	beitrag 0.023397924336	kosten 0.0169381656618	abschließen 0.0166084293697	versicherer 0.0152734354192	zahlen 0.0148628687421	vorsorge 0.0137653215488	finanziell 0.0117595308705	fall 0.00966119500703	versichern 0.00949640931389	vertrag 0.00898307207925	versicherungsschutz 0.00890836349676	abschluss 0.00698522955816	vergleich 0.00696248840274	wichtig 0.00684317740748	beihilfe 0.00645933283484	unabhängig 0.00609655383223	unfallversicherung 0.00602872864308	police 0.00577428745675	eigen 0.00542151531877	hoch 0.00530265184441
topic199	sperren 0.0633802308309	sperre 0.0447433093638	stricken 0.042095083671	standardmäßig 0.0383095517947	winden 0.036585620602	mitbewerber 0.0322787418418	freigeben 0.0313088034468	freitagabend 0.0300094422989	teilnehmend 0.0277775197781	radius 0.027516136318	kulturzentrum 0.0219955405352	ausnutzen 0.0212863077996	abarbeiten 0.0192837994239	einsatzbereit 0.0181110614048	unweigerlich 0.0171291077074	wandler 0.0147131001166	generiert 0.0145634220302	lesend 0.0137685452619	flag 0.0122726727699	immobilienrecht 0.0122537819437	verfuegung 0.0113300644042	sichtbarkeit 0.0112817843503	überlaufen 0.0112278274255	pagerank 0.0112036583028	überprüft 0.011144054436
topic200	original 0.412275033824	beschreibung 0.135054894776	vorhanden 0.0481211080433	kopie 0.0337313105069	einwandfrei 0.0175827540683	beschädigt 0.0169349260335	hülle 0.0163537679972	booklet 0.0155480025898	cover 0.0125091784104	abholung 0.0119751399501	gebrauchsspur 0.0111100021355	stehen 0.0102204838013	fehlen 0.0100601156554	zustand 0.00982244781336	unumstritten 0.00933602191503	nutz 0.00838675847747	neuwertig 0.00809123078097	raubkopie 0.00777613273014	großhändler 0.00746827914553	beschädigen 0.00720022110917	entsprechen 0.0070425760382	kopiert 0.00672971991484	sonderedition 0.00654595225225	murmel 0.00626358260642	kratzer 0.00615909776264
topic201	bank 0.126254156125	zins 0.0343310486247	kredit 0.0339508148046	aktie 0.028879243161	fonds 0.0271870036079	anleger 0.0271803071203	laufzeit 0.0239288448156	börse 0.0170417467445	kapital 0.016398259998	investor 0.0163657479364	risiko 0.0144119856154	finanzierung 0.0138992538424	rendite 0.0122083928755	filiale 0.0118861392107	sparkasse 0.0109404369837	hoch 0.0108147813889	währung 0.0099094250077	immobilie 0.00910870106951	depot 0.00824783154877	bürge 0.00801569966694	investment 0.00779331279798	neukunde 0.00760768900201	zinssatz 0.00742632246276	anleihe 0.0071601931981	investieren 0.00714510206052
topic202	fliegen 0.150579992788	flug 0.0755039394752	flugzeug 0.0754361846732	pilot 0.0384696552551	fliege 0.0307716037198	passagier 0.0294336213636	seil 0.0282030764573	maschine 0.0244766884282	flieger 0.024201715388	luft 0.0228716386603	landen 0.0199290660661	fluggesellschaft 0.018369817648	airline 0.0183094607498	flughafen 0.0178626853267	flugplatz 0.0157387358447	fliegend 0.0156448414861	meile 0.0148071285293	jet 0.0127838735223	höhe 0.0119616832042	cockpit 0.00930485381149	flügel 0.00856079942707	beschreiten 0.00826600806551	starten 0.00773451512339	abflug 0.00726079353286	start 0.00709253378892
topic203	haut 0.15703638124	haar 0.127112631526	reiten 0.0733274843428	gesicht 0.0624108094025	kur 0.0228194864418	lippe 0.0226083756367	trocken 0.0206606050584	homöopathisch 0.0179928055829	blond 0.017627721737	haarausfall 0.0146034644919	frisur 0.013711851849	friseur 0.0117794173864	aussehen 0.0110715369238	färben 0.0103260943129	haaren 0.00947711692041	wirken 0.00921236281995	auftragen 0.00920791682986	pflege 0.0082118292495	pflegen 0.00753513759002	glänzen 0.0065569338735	wange 0.00654081207984	teddy 0.00643344380657	benutzen 0.00634744501011	kratzen 0.00633807430777	lassen 0.00593111334909
topic204	event 0.225003746501	marktplatz 0.0988814823397	tourismus 0.0824223754112	schacht 0.0426651069141	palme 0.0398031824719	lodge 0.0365306771209	touristisch 0.0348449475457	entertainment 0.0334579647007	kompanie 0.0253028831915	buchbar 0.0248233581181	angler 0.0247886814042	spirit 0.0221858816789	bekanntheitsgrad 0.0199342005491	ausgangslage 0.0172416644708	touristik 0.0153828585847	lastminute 0.0141680187541	checkpoint 0.0114599304809	pickup 0.0110683170394	ostseeküste 0.010085544626	vorbestellen 0.00959901448543	bestückt 0.00882978953583	innerdeutsch 0.00819349842631	reisegepäck 0.00803719862989	prolog 0.007524966676	trial 0.0074537250325
topic205	familie 0.311933492088	tochter 0.100604603858	sohn 0.0789257617135	ehe 0.0445209252583	schwester 0.028923382143	heiraten 0.0260665112396	leben 0.0233337379786	ehepaar 0.0177880712374	ehemann 0.0176930148766	verheiratet 0.0153289160495	trauung 0.0136607548368	geboren 0.013588077092	verwandte 0.0105273914451	familienmitglied 0.0102671217433	heirat 0.00975323332076	trommel 0.00879943621682	lebensweg 0.00681769720319	jahr 0.00647917934433	taufen 0.006446033477	sterben 0.00550851675072	witwe 0.00515350050266	zwilling 0.0050199417471	spät 0.00489891085236	baron 0.00484687288072	eheschließung 0.00481591892324
topic206	schaden 0.0934514318123	gefahr 0.0597752626846	sicherheit 0.0585738302872	unfall 0.0540512069008	risiko 0.0464935835224	gefährlich 0.0360877610903	sicher 0.0351707264219	schwer 0.0244676905693	folge 0.0146124197594	katastrophe 0.0124438215194	verletzung 0.0123667680946	warnen 0.0121959439836	radioaktiv 0.0104037483221	erdbeben 0.0102081155353	ereignis 0.0098488035814	tödlich 0.00971267082889	passieren 0.00939296887541	warnung 0.00910362352576	erleiden 0.00870774777778	verursachen 0.00870165464029	betroffen 0.00816979252675	schützen 0.00810314083397	kommen 0.007766688995	vorfall 0.00772743206823	nuklear 0.0074951335998
topic207	handel 0.144104630774	empfehlung 0.123611130199	logo 0.116603569125	transport 0.108894789506	transportieren 0.0463056809152	beirat 0.0277197214864	forschungsergebnis 0.0266437262002	scheinwerfer 0.0262894201601	logistik 0.0256532239504	import 0.0198532360452	schwangre 0.0196024189877	handwerkskammer 0.0190475092224	ladung 0.017879426153	logistisch 0.0167018093324	vermittelnd 0.0150942271224	unbedenklich 0.0148167383635	spedition 0.0138607696498	karotte 0.0134652441767	formalität 0.0107217214607	nahrungsergänzung 0.0106922101879	flex 0.00962539740785	vorkehrung 0.00942015877957	schreiner 0.00903909098687	fracht 0.00880364834251	ungeboren 0.00784392507419
topic208	fordern 0.0194485389535	politik 0.0144351004154	sagen 0.0122712789976	krise 0.0106575484454	gehen 0.0102600073708	neu 0.0100508431556	bundesregierung 0.00986944987108	deutsch 0.00917821081801	regierung 0.00860815426058	bürger 0.00837170537488	geben 0.00833906139543	politiker 0.00813421967794	forderung 0.00801829007327	problem 0.00757947760983	mensch 0.00754807628095	öffentlich 0.00716067968399	machen 0.00697641904189	groß 0.00688991938184	land 0.00666809782275	bleiben 0.00636344058581	reform 0.0062120763754	wirtschaft 0.00618030669696	gewerkschaft 0.00606290070919	brauchen 0.00561451708747	kommen 0.00544101870157
topic209	archiv 0.227183468027	freiraum 0.0479909965286	metapher 0.0413742014477	schließung 0.0403888128989	nachname 0.0368547210054	zweifelsfall 0.0351779703033	assoziation 0.0317640584482	mithilfe 0.0267841891952	flugblatt 0.0235783508061	selbstverständlichkeit 0.0222947780827	authentizität 0.0206813989926	digitalisierung 0.020274072004	herausfordernd 0.0186264323585	auffinden 0.0165764915886	befreundet 0.015793459603	besen 0.0157634741182	lebensgrundlage 0.0149699419828	initiieren 0.014830732529	entlarven 0.0144911682034	sensibilität 0.0143315766873	vergewissern 0.0134192175107	spezialgebiet 0.012240589155	misslingen 0.0112962975096	vorstellbar 0.0111138012966	audiovisuell 0.0100968293832
topic210	standard 0.164500868256	banner 0.0637981217918	downloaden 0.0598176618177	html 0.0570551356973	css 0.0483737986205	getragen 0.041945852357	style 0.0390328480916	vorschau 0.0374408102374	diskussionsforum 0.0311342600616	komponieren 0.0306778755603	trade 0.0300898968624	übersichtlichkeit 0.0226552788117	tinnitus 0.0224856570443	vordruck 0.0186813082273	eingegeben 0.0186270336517	relaunch 0.0183501436411	handumdrehen 0.0167929888602	erfinderisch 0.0160029355489	abgleich 0.0144622993416	sicherheitspolitik 0.0137586631589	fernsehprogramm 0.0135034760497	runterladen 0.0134044998278	rechtssystem 0.0125823520714	bildzeitung 0.0101915008346	niesen 0.0101109962527
topic211	netzwerk 0.224956982765	elektronisch 0.139688612629	bibliothek 0.0963181238892	zeitschrift 0.0685145180381	aktion 0.0518312563841	bestand 0.0301532600211	signatur 0.026922114872	ergänzung 0.0237139034025	switch 0.0153215805949	gedruckt 0.0147916619971	mobbing 0.0125945813853	informationsquelle 0.0115081410884	aufbauen 0.0104414879366	zeit 0.00975416868259	zugänglich 0.00932821453884	weg 0.0089541387703	aufbereitet 0.0084871813381	isolierung 0.00821943022044	hilfe 0.00821169931082	visualisierung 0.00782479678859	recycling 0.00758778267171	aktuell 0.0073894632218	aufwärtstrend 0.0071882351605	click 0.00697375846032	vertriebsmitarbeiter 0.00680939029063
topic212	ware 0.0724081701422	bestellung 0.0596820302455	versand 0.0427680274018	preis 0.0421370079675	lieferung 0.041566330548	rechnung 0.0409903647273	verkäufer 0.0372175944952	versandkosten 0.0301806987263	käufer 0.0286809700199	mehrwertsteuer 0.0251525535954	tag 0.0186672939188	kunde 0.017880592011	erfolgen 0.0132135730595	sache 0.0107333955151	kaufpreis 0.0105387638335	zahlung 0.0104184534079	lieferzeit 0.0104120160462	gesetzlich 0.0103293785568	angebot 0.00940866387196	mangel 0.00876978306562	bestellt 0.00855877201828	geliefert 0.00851347294859	liefern 0.00792574566481	woche 0.007824666798	kaufvertrag 0.00768603715748
topic213	art 0.759605596358	weise 0.0932007264165	galle 0.0153700429024	anschliessend 0.00926660904899	kantonal 0.00920123308508	rügen 0.00831976827821	bundesgericht 0.00556001112625	unbeschränkt 0.0055366020106	personenkreis 0.00513341615423	beweismittel 0.00451756170671	ausschließlichßlich 0.00406498180726	nachstehend 0.00390182262612	aargau 0.00387951549415	bedürftigkeit 0.00375477564888	bieter 0.00357850304388	stichhaltig 0.00351704604542	angegriffen 0.00312519648692	versicherungsfall 0.00291522048694	standortfaktor 0.00281799789178	galler 0.00249511782324	bemessen 0.00249050662304	spitzensport 0.00248333571829	einschränkend 0.00222934196812	sachgemäß 0.00216873367933	besonder 0.00187983936309
topic214	firma 0.53089302799	fündig 0.0346429217251	kosmetik 0.0241691481004	pfund 0.0237294063664	angemeldet 0.0196607150714	riff 0.0178031663094	bezirksregierung 0.0171241630087	etikett 0.0164564390595	sonstige 0.0157618230718	sozialgericht 0.0156733346205	trauern 0.0156373717666	verführerisch 0.0150453828332	ergonomisch 0.0149554441043	ruf 0.0126093120453	kundschaft 0.0110225653661	printmedium 0.0110151771365	stylisch 0.010718151099	fachmännisch 0.00999012314425	part 0.0094702165192	membran 0.00756446050047	jahresende 0.00736538085608	lippenstift 0.00704012778341	wimper 0.00688459184152	gewinnbringend 0.00630790293806	compilation 0.00627550777348
topic215	stück 0.619405908964	kurs 0.136171610677	klassiker 0.0333896392217	figur 0.0279249241697	zeitlos 0.0199593704454	klassisch 0.0128410583261	badisch 0.0118430208984	fesselnd 0.00883096194987	elan 0.00865670039273	gesprächsrunde 0.00736971272415	vorkenntnis 0.00662408175112	neuzeitlich 0.00581797996842	originaltext 0.00435817111157	ranch 0.00431337757403	bombardieren 0.00431264397337	kaufhof 0.00419208199254	sehend 0.00401032416847	haarig 0.00362107328234	abgedreht 0.00356345958452	monströs 0.00340763858462	naheliegend 0.00335650235776	detailgetreu 0.00315180066398	zielrichtung 0.00314606491752	ungemein 0.00304445059776	verführen 0.00297182923039
topic216	kaffee 0.171659144773	tee 0.0885584842833	kuchen 0.0664609939121	tasse 0.0471824555202	trinken 0.0425188599134	café 0.0403307675221	getränk 0.0342967959717	gurke 0.0200373210292	becher 0.0156185475091	variation 0.0155599466666	gekocht 0.0150911052933	löffel 0.01482865477	lamm 0.0128538231496	videoclip 0.0122687662694	bohne 0.0121898049872	espresso 0.0115637832145	siegerin 0.0105178933491	beige 0.0104934719799	kaffeemaschine 0.00990640072829	spaghetti 0.0096754040814	texter 0.00956723038308	minimalistisch 0.00935791055452	rarität 0.00873458584764	lachs 0.00836904267233	inneneinrichtung 0.00829218191971
topic217	telefon 0.11691162693	kontakt 0.0954629877445	mail 0.0631160570002	homepage 0.0535497441166	anfrage 0.0414242350128	anruf 0.0299353111389	senden 0.0296573377967	fax 0.0266251220955	rufen 0.0266181655925	schicken 0.0237372677481	telefonisch 0.0208247419195	melden 0.0188018246501	kontaktieren 0.0175994260065	anrufen 0.0174670321708	gespräch 0.0173002427586	direkt 0.0147834966097	erreichen 0.0123094483636	aufnehmen 0.0117662671967	interesse 0.0113402733808	versenden 0.010976173945	telefonbuch 0.0108044948467	rufnummer 0.0104350653134	bitten 0.0104021373515	telefonnummer 0.0101090661147	auskunft 0.00998703805616
topic218	technisch 0.149985042579	technik 0.107601276369	maschine 0.0669393571657	produktion 0.0273165901303	werkzeug 0.0251660398406	modern 0.019189059582	einsatz 0.0180754863858	industrie 0.0165747300702	bereich 0.0141979939261	bauteil 0.0140099618333	techniker 0.0134686229357	ingenieur 0.0132464600658	maschinenbau 0.0120119569602	elektrotechnik 0.011004986605	mechanisch 0.0109233195051	fertigung 0.0107135531074	entwicklung 0.010611295972	prototyp 0.0105845528804	elektronik 0.010526080444	industriell 0.0103251349919	technologie 0.00949601011033	produzieren 0.00790967405719	werkstoff 0.00773664873458	neuartig 0.00754778054063	konstruktion 0.00709462617411
topic219	dienst 0.372062521253	russisch 0.190782430219	knoten 0.0569696851865	krone 0.0392903201028	beton 0.0370619105385	leiste 0.0295134250097	matte 0.0269313819472	vorhalten 0.0138261607629	wahlbeteiligung 0.0127888185742	lappe 0.0123690590698	vorgefertigt 0.0121349382791	massiv 0.0107599193232	planmäßig 0.0103444342819	pest 0.0101026806435	bundesvorsitzende 0.00858735551449	beamtin 0.00708648030687	pult 0.00670984608279	leistungssport 0.0062457198577	bundeshauptstadt 0.00608887570875	weihnachtsgeld 0.00570571888905	ammoniak 0.00554185864844	verdreht 0.00535993883156	leisten 0.00476165643013	bundeskanzleramt 0.00464637097654	vergabeverfahren 0.0045661266446
topic220	kamera 0.098300296273	licht 0.0931334185136	aufnahme 0.0775310575116	objektiv 0.0332388108421	fotografie 0.0305116787959	motiv 0.0273358443508	fotograf 0.0263235469202	fotografieren 0.021236573789	hell 0.0201893204602	blitz 0.017855259609	dunkel 0.0140442545148	kontrast 0.0132753760317	scharf 0.0125854707262	blende 0.0104155367562	sucher 0.0101167312399	helligkeit 0.00847692084386	effekt 0.00845720329159	optisch 0.00828835655045	fotografisch 0.00745027049624	gut 0.00725843542346	digital 0.00698337330144	objekt 0.00688198205054	rauschen 0.00677294929361	schärfe 0.00666355081931	beleuchtung 0.0065941397268
topic221	prozent 0.0755613221645	million 0.057616411283	jahr 0.0471991292188	milliarde 0.0134791140834	steigen 0.0117615031377	liegen 0.0116962146644	hoch 0.0112670839472	gut 0.0111216685021	groß 0.0110992155941	deutlich 0.0102781662595	deutsch 0.00914482178507	aktuell 0.00886887997783	vergangen 0.00828365197625	zahl 0.00810172666829	milliarden 0.00797339865322	weit 0.00791920352766	stark 0.00760577783066	neu 0.00747854212377	sagen 0.00742119848171	gehen 0.00722853010516	markt 0.00667996262721	anteil 0.00633188039247	vorjahr 0.00616298860305	erst 0.00597673426068	dollar 0.00572063863224
topic222	wasser 0.164228586906	boden 0.03016119627	luft 0.0282890818848	menge 0.0157081516767	eisen 0.0134403361164	gut 0.0126989742099	liter 0.0119694240614	flüssigkeit 0.00966109575298	entstehen 0.0093931018676	trinkwasser 0.00933498626884	behälter 0.0089021428325	sauerstoff 0.00887248805485	feucht 0.00874145453672	heu 0.0083766902888	feuchtigkeit 0.00832784566166	hoch 0.00795218038803	trocken 0.00786802462404	kommen 0.00753920442226	sauber 0.00741329600863	temperatur 0.00696373128618	flüssig 0.00693575067184	lassen 0.00677973465241	bilden 0.00632612846644	mineral 0.00544181305586	schnell 0.00536235742055
topic223	schreiben 0.24311187908	text 0.197190035734	autor 0.0757293085079	literatur 0.0269513820315	lesen 0.0214742227952	leser 0.0146727238768	literarisch 0.0140695147047	verfasser 0.012982599588	veröffentlichen 0.0116252574177	dichter 0.0110985397275	schriftsteller 0.0100746708545	lese 0.00973106366139	erscheinen 0.00880983022804	site 0.00811925346376	verfassen 0.00798342857375	rechtschreibung 0.00724312050018	manuskript 0.0072360678674	aufsatz 0.00710004106487	chefredakteur 0.00588240681398	tagebuch 0.00585574573461	veröffentlichung 0.00573039134651	kritik 0.00519096200629	vorlesen 0.00501011543703	zeile 0.00474294921322	geschrieben 0.00473676068472
topic224	besucher 0.371165292436	spanisch 0.131028874736	heimat 0.0658835209745	rundgang 0.0266543273765	spanier 0.0204247168193	dirigent 0.0200376544143	zweitgroß 0.018876612442	besucht 0.0158779536569	besucherin 0.0158223331696	flair 0.0149678682094	verteiler 0.0134566630431	pose 0.0121828362657	weltgroß 0.0114568326213	gastieren 0.0112533254428	lateinamerikanisch 0.010756093292	samba 0.0101703316653	unverkennbar 0.00991740649664	dia 0.00969388830688	bann 0.00943404961015	mitbegründer 0.00929739586339	court 0.00905335297699	indonesisch 0.00837779948775	musizieren 0.0083626483542	tausend 0.00812825356606	kunsthalle 0.00764052836084
topic225	könig 0.0195410859039	zeit 0.0189536750267	jahrhundert 0.0158703721159	reich 0.014333040425	spät 0.0104659469051	groß 0.00977216058016	name 0.009530060882	alt 0.00944252579125	jahr 0.00940478462795	erst 0.00897693945709	tod 0.00779800338914	kloster 0.00748255386322	kaiser 0.00711422881674	grab 0.00693326610167	mittelalter 0.00685911055517	tempel 0.00666846106804	land 0.006165964665	finden 0.00575383383123	früh 0.00571801543902	lassen 0.00552959402351	herrschaft 0.00523633730207	heilig 0.00464892215426	fürst 0.00459822675679	erhalten 0.00443053703827	volk 0.00433354398307
