topic0	harmonisch 0.212277092519	aufrufen 0.177183671856	harmonie 0.154455802109	ami 0.135376433222	bessere 0.0816828717718	gelehrte 0.0567304447073	pluspunkt 0.0544932510832	kommentarfunktion 0.0479006533596	kribbeln 0.0263820456632	rouge 0.0236724143183	lebensentwurf 0.0184095311168	zusammenspielen 0.00809003043967	vierling 0.00211433905397	herrschen 3.14432938009e-08	wenden 1.28093446192e-08	geben 1.23778219458e-08	lassen 1.23503135339e-08	zeit 1.23365754239e-08	gleich 1.23346890831e-08	bestätigen 1.23321829874e-08	spüren 1.23291214057e-08	ansehen 1.23288621914e-08	liegen 1.23243076659e-08	erklären 1.23202711349e-08	bestimmen 1.23193484841e-08
topic1239	netz 0.317283131739	server 0.250378388468	konfiguration 0.0602307887104	port 0.0576389412383	client 0.0566479685571	network 0.0501970078396	passiv 0.0475247375976	ftp 0.0219349778172	http 0.0156932199438	eigen 0.0119967695811	verbinden 0.00896454439865	möglich 0.00855436263328	mauszeiger 0.00725161058648	nutzen 0.00498668677674	gleichzeitig 0.00457459283144	bestimmt 0.0044605815781	entfernt 0.00436021445812	präfix 0.00375965958691	zusätzlich 0.00307839997859	file 0.00305628211473	stellen 0.00297574058475	notwendig 0.00275512111229	entsprechend 0.0025082689458	weit 0.0023896081245	geben 0.00216243728485
topic1240	meinung 0.167425516949	finden 0.0721810026558	geben 0.037282291114	gut 0.032448197727	einfach 0.029273761512	persönlich 0.0288485447444	schade 0.0262737794426	machen 0.0245831181932	gehen 0.0217489514763	denken 0.0202071564165	wirklich 0.0198928486835	kommen 0.0155441143894	klar 0.0146455309082	sehen 0.0144811573606	halten 0.014192737064	lassen 0.0130023475387	sagen 0.012161387037	fall 0.0112925716943	recht 0.0112523103752	eigen 0.0101806040378	verstehen 0.0096798747451	grund 0.00934789306979	gehören 0.00901029389004	absolut 0.00895425673849	ehrlich 0.00878381149156
topic1241	mitleid 0.182081982106	geduldig 0.173941701642	hüfte 0.157530023377	zehntel 0.0919183240892	antlitz 0.0560948566907	zange 0.055238477209	jugendbuch 0.041782925829	schwirren 0.0404992383153	ausgeschaltet 0.0388610571848	schreibwerkstatt 0.0256272242378	nette 0.0245924817915	kurvenreich 0.0236804558672	übereifrig 0.0143717246991	aufschrauben 0.0139080046229	tränken 0.00977724663191	anstellwinkel 0.00777245609236	erhellung 0.00693361658862	herumprobieren 0.00537812044954	sterbenslangweilig 0.00522108862286	gleitlager 0.00475021313845	rotorkopf 0.00445264269823	vormontiert 0.00360836629557	prospektmaterial 0.00327161606448	einbaulage 0.00257025493511	oeffnung 0.00233709408065
topic1242	umfang 0.266525202124	haften 0.124897500509	cookie 0.0749211130987	aktualisierung 0.0681475075217	beseitigung 0.0607227413742	schadensersatz 0.0480934325209	beschädigung 0.0455927379776	haftung 0.0332331661338	bestellwert 0.0246253436477	textdatei 0.0232025604783	eingegeben 0.0227448301725	gutscheincode 0.0222341569241	datenschutzrechtlich 0.0217045819171	fall 0.0207448804714	geliefert 0.0193557756497	datenerfassung 0.0120951616482	zahlungsverzug 0.0112064078449	nutzen 0.00987878502667	einlösung 0.00925118989221	angeben 0.00882223469622	geschenkgutschein 0.00701904896015	videoaufzeichnung 0.00624367696805	notwendig 0.00623094366914	angemessen 0.00614554104875	persönlich 0.00457313781262
topic1243	öffentlich 0.574332045587	kritik 0.217559110914	zugänglich 0.0853047952094	schlagwort 0.0292550627366	behilflich 0.0182251114477	pressesprecher 0.0115979317973	freiberuflich 0.0112502411462	vorhalten 0.0108278670514	unternehmensberater 0.00848533212702	privatwirtschaft 0.00711245152711	albanisch 0.00444071679621	fachgebiet 0.00378434354416	allgemein 0.00331893003256	schlammschlacht 0.00257310567588	medienwirksam 0.00253619532792	äußern 0.00152817778691	wenden 0.00145599479483	erheben 0.00123913493698	bibliothekarisch 0.00107921929949	stellen 0.000668440345191	heftig 0.000653928566194	grundsätzlich 0.000438085087546	ausreichend 0.000253174272516	vergabepraxen 0.000232683740269	leisten 0.000215060687393
topic1244	wehe 0.152039976337	schwinden 0.147563701465	intervall 0.134961948483	weggehen 0.114455189544	schilddrüse 0.102037305309	baumhaus 0.0553067939789	einreisen 0.0514123138655	halsen 0.0417952640722	schilddrüsenerkrankung 0.0298359073346	kehlkopf 0.0287018325446	entdeckungstour 0.0285789114085	durchmischung 0.0244918991701	erstgeboren 0.0161065441502	robben 0.0159821467894	nabelschnur 0.0156604398724	umschlingen 0.0104804298281	fluchtmöglichkeit 0.0101043861651	fruchtblase 0.008829239712	thyroxin 0.00794151227611	liegen 0.000856253085538	heißen 5.23468635451e-08	abstand 3.99456286821e-08	kommen 3.61263241491e-08	lassen 3.09947848696e-08	hoch 3.05924755878e-08
topic1245	drehen 0.46946564718	verraten 0.129505531697	produzent 0.0931614375315	brennend 0.0587245265097	vorführung 0.0470423198252	dreharbeit 0.0308347834052	impression 0.0260412624545	casting 0.023202448927	bösewicht 0.019328446772	enthüllen 0.0187049331023	nichts 0.0175527637251	kinostart 0.0103517997015	morden 0.008741527037	filmmaterial 0.00644957998952	bilddatum 0.00633825445184	filmteam 0.00534400027445	gesindel 0.00457592224964	datiert 0.00398762678813	eliteschule 0.00377034306163	entrückt 0.00269983418101	postproduktion 0.00227886496961	fassen 0.00218847183577	kinopublikum 0.00212868202143	fotokopierer 0.00156167994207	passend 0.00145499735981
topic1246	text 0.603874399741	nachricht 0.230741673028	meldung 0.108711297864	hinterlegen 0.0166231771619	kästchen 0.0105839967975	enthalten 0.00418783242313	stammen 0.00418306909518	kommanditist 0.00319345267685	kurz 0.00249244603322	ergänzen 0.00147542065192	form 0.00120128785455	wareneingang 0.00115867746467	fern 0.000994016334661	steuerart 0.00098625828029	wesentliche 0.000972003382358	bestehen 0.00072614624291	eigentlich 0.000622676430153	unmittelbar 0.00060700181815	darstellen 0.000494564344294	marktvorteil 0.000479884544318	zusammenhang 0.00047835802216	bestimmt 0.000424541357447	setzen 0.000396124805474	schluss 0.000321558749514	geschehen 0.000316535294181
topic1247	job 0.403423512988	krise 0.294336129364	prognose 0.0803763672274	finanzkrise 0.0492985827165	angehend 0.0418157114285	handelsblatt 0.0291973592725	pharma 0.0211445010061	gestärkt 0.0123346379183	klinke 0.00989887248598	mau 0.00967306009572	stecken 0.00857721379963	aufspringen 0.00821750470138	erfolgreiche 0.00805742260531	bankensektor 0.00648672759946	wirtschaftswissenschaftler 0.00630462962987	berufseinsteiger 0.00563162434459	wirtschaftsteil 0.0016069138003	offensichtliche 0.00127238344118	chance 0.000560095160558	rechtzeitig 0.000439852236151	erwarten 0.000239225276744	neu 0.000193492180539	geben 0.000149296443824	kommend 5.71492986609e-05	jahr 4.79447174683e-05
topic1248	kennen 0.346840770659	schauen 0.221728018375	geben 0.0459589686083	finden 0.0448205540951	kommen 0.0364381033959	wissen 0.0290736744955	einfach 0.0190093943001	gut 0.0175176993078	gehen 0.0173442411543	genau 0.0156228960424	fragen 0.0114180694128	heißen 0.0107487772659	gehören 0.00909008856867	manga 0.00812091013894	bekannt 0.00804931307887	anime 0.00718845781538	sehen 0.00701076527564	machen 0.00633882304418	gleich 0.00576376371453	gucken 0.00544870820747	nah 0.00521083628526	ganz 0.00519821151227	ähnlich 0.00473831531399	denken 0.00459661667921	freuen 0.00427916177837
topic1249	arbeitgeber 0.294500041346	arbeitnehmer 0.274631178425	kündigung 0.13640937836	grund 0.0216579696931	befristet 0.0211213370966	allgemeinheit 0.021019696455	arbeitsplatz 0.0184306058763	fall 0.0157600906822	gelagert 0.0136658963695	küren 0.013276843401	arbeitgeberin 0.0114177104608	verwirrend 0.0098230725066	grundsätzlich 0.00974368044242	bestehen 0.00966999632084	dauer 0.00890140694744	gelten 0.00785553122956	tempolimit 0.0075629836902	verlangen 0.00733740932868	beschäftigen 0.00621447196743	stellen 0.00617477328609	geben 0.00529655779402	wichtig 0.00522387086401	eigendynamik 0.00448006867216	liegen 0.00374971093253	verhandlungsrunde 0.00323614795708
topic1250	unzählig 0.180134548513	nationalpark 0.133580714857	schmal 0.131865991515	riese 0.0657327846999	losgehen 0.06013010731	abbrechen 0.0554090585708	foyer 0.0458871237451	riesig 0.0438124917087	vitrine 0.0413222470991	orient 0.0376019317608	atlantik 0.0338616384514	besteigen 0.0292620925301	treppenhaus 0.0263414843824	vereinigen 0.0224839773836	sierra 0.0195939589904	geländer 0.0170393452622	pazifik 0.0167038804341	rundung 0.0121238253161	gruft 0.0119712535435	arkade 0.00641081786832	riesenhaft 0.00366421885005	enorm 0.00212780254871	durchmessen 0.00166909832327	groß 0.000465434315854	weit 0.000101943164394
topic1251	wand 0.358432059007	ecke 0.296401584314	folie 0.0947690390646	kante 0.0829480993491	begutachten 0.0317711901623	wasserdicht 0.0271660034341	geschlagen 0.0184940530904	hängen 0.0176276796635	chemnitzer 0.0155502503991	versiegeln 0.0088690354132	aufsammeln 0.00795970910418	arbeitsprogramm 0.00588070660416	oberkante 0.00544786844254	komplett 0.0044748047682	plast 0.00319430165136	grundreinigung 0.00273242629318	bürgerfreundlich 0.00270083714974	anheften 0.00235933098646	anschließend 0.00206872131327	blumenkübel 0.00201676203189	hochgewachst 0.00193729263057	auskleidung 0.00175206058803	gestalten 0.00146275346606	petitionsrecht 0.000967245088794	einfach 0.000542076326143
topic1252	geburt 0.412438367514	ruhen 0.188392440679	furchtbar 0.0980493370826	zwilling 0.0780919729183	mütze 0.0671044214325	köstlich 0.0464826047373	allergut 0.0289513217183	angeklickt 0.0278194125122	abhang 0.0184129379039	berghang 0.00969206876662	farbenspiel 0.00709305660569	stehtisch 0.0055167128634	löwenherz 0.0034184411278	unglücksstelle 0.00334318285853	kichernd 0.00227802009705	verflachung 0.00122179966303	feixend 0.000721142515669	bleiben 4.44919627017e-08	hängen 3.43345557291e-08	lassen 2.40116112281e-08	erst 2.15043764665e-08	klein 1.06095774486e-08	hinterlassen 1.05672454622e-08	geschehen 1.04257179447e-08	beginnen 1.02966662318e-08
topic1253	käse 0.215331784908	etwas 0.0883255042433	drei 0.0752934988689	cluster 0.0588156110596	schnaps 0.0520687719236	tinte 0.0469637433518	vorstadt 0.0351453868918	melken 0.0349121988051	vorbereitend 0.0348253138869	patriot 0.0342312648726	privatleute 0.0311221864067	geschmacksrichtung 0.0265486006537	entgegenbringen 0.0213446879538	gesangbuch 0.0209695949511	feinschmecker 0.0208579168633	pfälzisch 0.0182340369921	stapfen 0.0170514434808	symphonisch 0.0166421904702	naturforscher 0.0159580111309	buttern 0.01515953205	cellist 0.0140742936729	alpe 0.0118414755855	heimkehren 0.0113514841043	rennweg 0.0110678242988	schulnote 0.00979369145036
topic1254	verteilen 0.571492199585	allermeist 0.0755920399462	zerschlagen 0.0559170661735	unbezahlbar 0.0441837671978	wasserleitung 0.03974225925	geldspende 0.0249103988761	altensteig 0.0231116456756	hilfsgut 0.01774271143	opferrolle 0.0146861226478	habseligkeit 0.0133496763808	kleintransporter 0.0123092100525	wiedergeboren 0.0106306524786	abfertigung 0.0105882173394	gemeindeverband 0.00942707920023	okkultismus 0.00883786824542	vorbeibringen 0.00789700679754	exegese 0.00665923271033	wackelnd 0.0063281237528	hoherpriester 0.00600222221274	gesetzlosigkeit 0.00540318541172	eingesehen 0.00489921187303	gesetzlos 0.00488800553197	moldawisch 0.00377367649701	bibelschule 0.00360827671931	hilfstransport 0.00252816339419
topic1255	übernehmen 0.595527608606	verantwortung 0.315879522022	manipulation 0.0295007497096	belastbarkeit 0.0184685024585	unbeabsichtigt 0.00994705245425	unbefugt 0.00487163086894	ahnend 0.00421443982219	eigen 0.00416177709271	sicherheitsproblem 0.00371189564185	sorgen 0.00262946541682	handeln 0.00163712368424	klassenstärke 0.00131230506473	verantwortungsbereitschaft 0.00128466864396	vermeinen 0.00119427278994	wenden 0.000897210544184	bedeuten 0.000579859713991	teilen 0.000571591788802	nötig 0.000485766315677	ausserschulisch 0.000416300472408	lage 0.000346146471821	stellen 0.000344293844231	anbieten 0.000336181298944	gestalten 0.000220635959753	besonder 0.000142551807659	grundsätzlich 0.000135938188689
topic1256	respekt 0.477263637222	verschlossen 0.0967109162789	problemstellung 0.0540585043638	gleichgültigkeit 0.0414973187244	zeitfenster 0.0386504902803	gebären 0.0356857479932	kursangebot 0.0270969660971	versöhnlich 0.0242167165527	unterrichtsfach 0.0219943047411	screening 0.0218293858159	eminent 0.0201411716507	kernaussage 0.0195796587027	arbeitsauftrag 0.0185901099504	mitdiskutieren 0.0157616440802	sekundarschule 0.0143907423149	unpopulär 0.0117357256387	großziehen 0.011283916932	wunschtermin 0.0108935913161	begegnungszentrum 0.0107354040267	gesamteuropäisch 0.00780224041287	abreibung 0.00695503060952	partneruniversität 0.00604780105897	ungeist 0.00424090603146	unperfekt 0.0013219240504	beschreiben 9.17935256479e-05
topic1257	sprung 0.578087631361	zacken 0.0921110780547	bereisen 0.0707006420734	spagat 0.0488566207782	ölwechsel 0.0446022321895	ungelesen 0.0400383050786	train 0.0351431449188	filmchen 0.0318501054683	fahrfehler 0.0143378183025	zähigkeit 0.0106111444038	novemberrevolution 0.00950296010345	galaktische 0.00823473708873	wegdrücken 0.00733497518142	wahlausgang 0.00620981594544	gelingen 0.000241502442161	enorm 6.61981287636e-05	zeihen 1.70059079386e-07	schaffen 2.89619227528e-08	letzt 2.10389397424e-08	kurz 2.08719485816e-08	dauer 2.07715395482e-08	sein 2.0758977548e-08	kommen 2.0738416159e-08	zeit 2.07356026512e-08	hoch 2.07181435152e-08
topic1258	besichtigung 0.282763617416	informiert 0.151797637701	teilhaben 0.148152104478	holländer 0.0928608207489	kleiden 0.067893692486	spießer 0.0617735519589	abschreckend 0.0460070268752	hausverwaltung 0.0405993552785	volksbegehren 0.0340752564073	veranstaltungsraum 0.0254161161892	abgenutzt 0.0099733589465	stylist 0.00935141386945	kinowelt 0.00579428922695	partyraum 0.00484829376607	neogotisch 0.0045079099633	katzenforum 0.00367623364064	eventlocation 0.00345265387422	atelierhaus 0.00270816589577	getränkekiste 0.00238989990209	stehen 3.29818405764e-08	stellen 2.11730385547e-08	ungewöhnlich 1.97039006862e-08	fassen 1.96998293295e-08	bieten 1.9645690451e-08	wunsch 1.96402032546e-08
topic1259	jahrhundert 0.150613546511	zeit 0.0274334834204	spät 0.0249070678236	groß 0.0248088435984	jahr 0.0235019518492	mittelalter 0.0206149493272	alt 0.0203742150564	erst 0.0202038452957	heutig 0.0170894347839	finden 0.0169023461441	weit 0.0160221928211	gehören 0.0154763295698	entstehen 0.0140391812848	neu 0.0135198606853	stammen 0.013495676645	kommen 0.0126731203079	geben 0.0125302520138	historisch 0.0116895301858	wichtig 0.0111928569668	ursprünglich 0.0107068734219	ende 0.0104922286201	lassen 0.0101504234706	liegen 0.0100114082878	beginnen 0.00964989230711	bekannt 0.00917205825367
topic1260	produkt 0.394245995668	markt 0.300530460785	neu 0.0369966155266	konsument 0.0226345139459	eigen 0.0200396608973	anbieten 0.0191120229427	bieten 0.0108526803401	machen 0.00999068447617	entstehen 0.00756863382664	bestehen 0.00725932479541	liefern 0.00718318178815	möglichkeit 0.00652364481175	setzen 0.00624476858381	verschieden 0.00614615938098	weit 0.00599246819563	bringen 0.00510564154653	lassen 0.00496497607984	genau 0.0047859732524	energiepreis 0.00438962577411	gering 0.00420197592803	sache 0.00415922917648	kurz 0.00398223668934	komplett 0.00365420544041	speziell 0.00344438157997	handeln 0.0033725844824
topic1261	säule 0.262848259581	stabilität 0.219881347046	gestell 0.0670032284275	brennholz 0.0644181290032	begünstigt 0.0419313764433	einprägsam 0.0344385050856	bodenplatte 0.0326514090732	tischplatte 0.0325401405416	wetterfest 0.0313317055633	stillgelegt 0.0298161223713	bergleute 0.0282864809553	standfestigkeit 0.0214046821812	wegstecken 0.0171006981231	klappbar 0.0163293268498	übergangslösung 0.0139910742491	alemanne 0.00960918403956	energieressource 0.00776561862917	uneinholbar 0.00606805322923	zusammenklappen 0.00598455175002	hitzebeständig 0.00511495879165	knappschaft 0.00458909879833	metallring 0.00443666704356	zusammenklappbar 0.00439633070577	marmorplatte 0.00422715383151	hochoffiziell 0.00367612513863
topic1262	formen 0.275855748176	stunden 0.185242359122	garnichts 0.0870054907417	wettern 0.0866085397188	aufdringlich 0.0579687303582	standart 0.0523306673237	wintern 0.0443540545012	vollansicht 0.0366977861362	schwächere 0.0253695058203	gefühlsmäßig 0.024952611817	eidechse 0.0219365531997	aalen 0.0204164789398	bremsleitung 0.0179087431757	sturheit 0.00907758565025	mitbestellt 0.00788999656491	kettenschutz 0.00758886483988	tüten 0.00753669896494	verirrt 0.00736344198041	hexenmeister 0.00675247686924	rausmachen 0.00547507495423	hexagonal 0.00394778232832	kaltherzig 0.00373623912725	pulvern 0.00197071671415	selbe 0.000326849544149	gehen 1.58112529685e-05
topic1263	retten 0.323226442924	zeugen 0.148640921877	protagonist 0.107102213474	überwiegen 0.0799839053441	schande 0.0560960693523	explodieren 0.0532667280266	verbleib 0.0340447837901	erstrahlen 0.0322751856859	geisel 0.0315631703194	rückreise 0.0231132594327	obskur 0.0204055597655	geschmacklos 0.0178903617832	vermisst 0.0168729477438	gecovert 0.010864863257	heilfroh 0.00971407077762	gemetzel 0.00818838079984	beamten 0.00539019036755	modulieren 0.00432368231924	piratenschiff 0.00425345928132	umgedreht 0.00346034968649	zusammenhanglos 0.00221169926743	screensaver 0.0020401869511	aggressionspotential 0.00145591460641	überraschend 0.00142811518888	erweisen 0.000557696940795
topic1264	akzeptieren 0.356025500538	räumen 0.247922363899	ungeahnt 0.0605317999671	anbauen 0.0541420194135	mittwochabend 0.0461473258186	bonbon 0.0381110814898	haltend 0.0293127908422	kenntlich 0.0239043551046	atemschutz 0.0220606895477	abwischen 0.0194184754322	einsatzleiter 0.0182128408568	chaussee 0.011240145716	cuxhavener 0.0102827374251	unglücksfall 0.00944013256211	verklärt 0.00905616916551	wertschätzen 0.00622274968468	großübung 0.00516649405701	bedrückt 0.00493320171074	anrückend 0.00407863643118	nullkommanix 0.00367834981779	spreizer 0.00364187104134	verpuffung 0.00333344308896	spritzpistole 0.00212170759095	speicherpunkt 0.00181696603272	stadtbrandmeister 0.00171602767713
topic1265	zeitschrift 0.449947572948	stamm 0.165479432115	erscheinend 0.104155069313	aufgabenstellung 0.0655810926056	symbolisieren 0.0500464433504	hüter 0.023158010584	hauptseite 0.0221933082378	pfadfinder 0.02145857933	gau 0.0202226818439	jugendorganisation 0.0202162121581	scala 0.011148600882	dachorganisation 0.0096464266449	informationsseite 0.00961703019894	mitgliedsverband 0.00492718240942	faßbar 0.00405076090185	jährlich 0.00369829840518	grenzland 0.00317903108266	lichtbrechung 0.00272491431856	interkonfessionell 0.00197510541375	welfe 0.00189350283714	handgeschöpft 0.00177379876345	pfadfinderschaft 0.00117740715386	einzeln 0.000378825031055	besonder 0.000289305575364	allgemein 0.00010944588221
topic1266	bahnhof 0.370570601557	hauptbahnhof 0.116505030905	gaststätte 0.115751372024	funktionierend 0.107578307278	tante 0.094326952208	bahnsteig 0.032870078359	geschoss 0.0300435162131	ansturm 0.0208586517979	deinstalliert 0.0157693331386	anhaben 0.0135549297906	gutbürgerlich 0.0103937823221	berufsverkehr 0.0082686881299	bahnhofsgebäude 0.00798918635821	ferndiagnose 0.00682320046311	zweistöckig 0.00677013724395	programmstart 0.00490773711182	servicepack 0.00465801403438	leistungszentrum 0.00440304383733	vorversion 0.00356192215214	sanduhr 0.0029231350141	verbinden 0.00289477314308	befinden 0.00271653476286	entfernt 0.00238354762242	wittstock 0.00208626707591	zertifizierungssystem 0.00177237156729
topic1267	seele 0.578980680244	ungünstig 0.0900551363078	getragen 0.0777754480643	wohltuend 0.0578472050156	gentechnisch 0.0565696522949	psychotherapeut 0.0396884096072	pollen 0.025976215941	alltagsleben 0.0223821533741	befreiend 0.018453262427	atemluft 0.0129955687381	perfektionismus 0.00880914238808	musiktherapie 0.00790428726878	tief 0.00159135503481	genießen 3.79821988266e-05	sinn 9.75623779663e-06	eigen 3.65643734041e-06	lassen 6.87248198782e-07	spüren 1.87946979036e-07	stark 9.00475819095e-08	fühlen 6.35919537601e-08	setzen 1.60925750701e-08	erfahrung 1.23638072599e-08	gehen 1.15000789745e-08	geben 1.11273388396e-08	wirken 1.09867943283e-08
topic1268	welt 0.703868139019	spende 0.0787858990114	ganz 0.0432331637124	not 0.0355966761846	spenden 0.0333809821566	aktuelle 0.0179890368676	groß 0.0143858872373	helfen 0.00828946542973	schutzmaßnahme 0.0060841377269	machen 0.00556175739623	geben 0.00531222654091	eigen 0.00482499769453	bringen 0.00423731090933	wissen 0.00345372853373	riesig 0.00341465774542	krisengebiet 0.00243765540711	wichtig 0.00234190514849	begegnen 0.0021255125688	weit 0.00182514012602	stecken 0.00177410544309	brauchen 0.00172428224004	inselwelt 0.00158771757915	sorgen 0.00157959358049	kommen 0.0014238935026	lebenschance 0.00115489489261
topic1269	boot 0.654565322761	enterprise 0.104115811123	schwede 0.066238137895	skipper 0.0321142387527	sichten 0.0225293206987	paddel 0.0185504518847	schmunzelnd 0.0177490263457	königsklasse 0.0177256626011	aufholjagd 0.0175380771566	schleuder 0.0139008715377	wassereinbruch 0.00503451107787	titelträger 0.00484513859625	tollhaus 0.00357912335649	käuferschicht 0.00341277500415	rundrum 0.00337217368069	ranhalten 0.00302930949444	festhalten 0.00216284986184	bringen 0.00106421571353	greifen 0.000974760568527	liegen 0.000904497983749	gut 0.000792123633863	stark 0.000703424882806	halb 0.000532513736551	weit 0.000458750323366	legen 0.000421986208609
topic1270	freund 0.833446573638	schulen 0.0610431570123	disco 0.0280989354706	freunden 0.0251901421871	program 0.0160685629675	pausen 0.00779169406551	lästern 0.0073673598996	hinstellen 0.00719079268049	herziehen 0.00507625112785	piep 0.00153339720335	sein 0.00111233740604	gehen 0.000696806280571	gut 0.000618939507792	helfen 0.000457371480674	nennen 0.00045417650194	finden 0.000433960612357	einfach 0.000368586941824	versuchen 0.000340311074149	machen 0.000320022502906	egal 0.000289730815069	sache 0.000245206315794	heißen 0.000226690015477	mühe 0.000159397927778	echt 0.000151950889415	ehrlich 0.000137292409261
topic1271	figur 0.45158576712	schweizer 0.342568331878	ungarisch 0.061257798519	sensibilität 0.0255342011349	schulform 0.0234448596852	zunft 0.0234326249548	filmmusik 0.0210850488397	differenzierter 0.0121910655688	kompositorisch 0.0100990790295	gebärde 0.0092514253091	freischaffend 0.00817238481833	eldorado 0.00575420743047	luftzug 0.00420209869378	groß 0.000316327082564	stehen 0.000258827880767	spät 6.45804026575e-05	besonder 5.4364684144e-05	verlangen 3.99762624524e-05	gestalten 3.63634921569e-05	finden 8.7545594304e-07	erst 1.91484093185e-07	bleiben 5.445692679e-08	verbunden 1.67472548147e-08	hoch 1.26665505056e-08	leicht 8.0693834039e-09
topic1272	kindergarten 0.358017591911	stärkung 0.124693360733	kita 0.103706866604	kindertagesstätte 0.0874235097192	physiotherapie 0.0242648214666	geschieden 0.0242157911575	baukosten 0.0204941870303	trendsetter 0.0182526440062	erwerbstätigkeit 0.0174515800241	kreisbeigeordnete 0.0169939781615	betreuungsangebot 0.0157369528111	unterhaltsberechtigt 0.0115666214339	betreuungsplatz 0.0113416672882	mitverantwortung 0.0102044685786	unterhaltspflichtig 0.0101805827908	ergotherapie 0.00986771414464	kreisjugendamt 0.00963264382448	logopädie 0.00792278635114	unterhaltsrecht 0.00768774191111	musikprogramm 0.00752374910487	wasserball 0.00666022073549	übergangsweise 0.00612932180892	stadionsprecher 0.00597642005201	wegzug 0.00595050085732	zusätzlich 0.00565007309606
topic1273	ausflugsziel 0.136558760938	gelaunt 0.131010853501	wasserstand 0.0894505682233	nordwestlich 0.085077286913	schneefall 0.0718500517736	teilnahmegebühr 0.0676275950771	karfreitag 0.0630313941489	uhrzeigersinn 0.0584160730573	durchsicht 0.0557120832693	verlass 0.0416088813375	südöstlich 0.0413913586571	badestrand 0.0407534262721	bollerwagen 0.016500202817	nordrand 0.0137180270073	uferweg 0.0136603891292	winterwanderung 0.013008302613	niederlausitz 0.0115365315135	haushaltsüblich 0.00877804940048	schmuddelwetter 0.00831370976129	einströmen 0.00773834018371	knietief 0.00724832720135	mitmacher 0.00577513218806	blasenfrei 0.00433276303817	niederlausitzer 0.00265601933325	mitwandern 0.00171261536602
topic1274	innovativ 0.398729003966	intelligent 0.234635449663	modular 0.0441921624176	aufgebaut 0.0411059374755	hochhaus 0.0393548005323	fee 0.0383031537109	energieeffizient 0.0345932196146	task 0.0227742159963	kombination 0.0169370220559	charakteristik 0.0146471292458	fertiggestellt 0.0134410225787	unzulänglich 0.00957875533243	büromöbel 0.00808155788849	sensorik 0.00788004182182	verbinden 0.0076662871619	bieten 0.00760235464848	landschaftsverband 0.00716355847276	gebäudetechnik 0.0067437720678	zählen 0.00607719639779	variierend 0.00546506013674	ermöglichen 0.0040491688924	erfüllen 0.00395450373131	sorgen 0.00312212603498	gleichzeitig 0.00207775271556	mittelpunkt 0.00194707439971
topic1275	hoch 0.81132941434	niedrig 0.100197170683	befragte 0.0163987418538	lauern 0.00939737661604	serienmäßig 0.00851433290499	kurier 0.00736998243571	tief 0.0054466768712	stark 0.00410112257571	spülmaschine 0.00399484021315	ergeben 0.00297993219642	hochburg 0.0029490860835	halten 0.00293464540273	gänze 0.00264438680233	erweisen 0.00244592109679	relativ 0.00216078951107	überraschend 0.00210373289484	energiefluss 0.00167220716418	renault 0.00160092309725	verschraubung 0.00156701887869	buhlen 0.00143783045655	wortmeldung 0.00119622103806	zeigen 0.00117263692394	resozialisierung 0.000981289885654	erreichen 0.000972562211507	nutzen 0.000601386531594
topic1276	fotografie 0.32508849886	fotograf 0.284002945049	leiterin 0.143150871134	fotografisch 0.0725678105462	entworfen 0.0329826723212	umschließen 0.0224640285432	kurator 0.0155506985967	kunsthochschule 0.0127588040527	zeigen 0.0123341606305	ausstellend 0.0110989210718	anfahrtsbeschreibung 0.00800619553959	sichergestellt 0.0074806895002	speichersystem 0.0070433351897	ausstellungsprojekt 0.00698857537571	beschäftigen 0.00561223801893	öffentliche 0.00521182603939	begleiten 0.00505969782535	jahreslauf 0.00448960519861	softwarebranche 0.0036842100727	jahr 0.00293097716653	besonder 0.00205441527385	entstehen 0.00180604037387	gestalterin 0.00165917673728	verschieden 0.0015352359413	stellen 0.000900291384321
topic1277	befassen 0.27613593635	schädlich 0.151919499851	unerwartet 0.144995786711	strikt 0.115909563021	gestatten 0.0717195414731	partnerstadt 0.0346341475808	jahresbericht 0.0328280587631	städtepartnerschaft 0.0255601381048	wettervorhersage 0.0218646798508	konsulat 0.021237181589	fachkreis 0.020981396097	gegenbesuch 0.0200533088066	forschungsförderung 0.0162192641974	zubringen 0.0125975623147	leistungskatalog 0.00946134264261	verbraten 0.00462798747354	sprachgeschichte 0.00397496361266	rückenleiden 0.00340418599129	krankenlager 0.00318673783466	trisomie 0.00241685252291	reisehandbuch 0.00148992729982	donaueschinger 0.00132446674466	nachgeboren 0.00126470460386	beschäftigen 0.000776517111623	fern 0.000426524086986
topic1278	beruhen 0.34093899408	abiturient 0.0857059190916	durchdringen 0.0711854262602	scheidend 0.0492550174005	schaukeln 0.0470514973973	bewährungsprobe 0.0304012694448	großfamilie 0.0266692396474	schülerzeitung 0.0223327004499	gegenseitigkeit 0.0214420977211	abiturientin 0.0206079616323	uneinigkeit 0.0193339179881	peitschen 0.0188875442372	einlassung 0.0164592993949	überreichung 0.0143483730981	kräuseln 0.0137848826507	plüsch 0.0123253002233	hochkonjunktur 0.012163515794	völkerbund 0.011965384259	studienrat 0.0106581218367	zwillingsschwester 0.010180836304	schaukelstuhl 0.0098965396355	sauerteig 0.00970087818409	rechtszug 0.00924440774872	beigeordnet 0.00882657728921	kampfansage 0.00880381084595
