topic0	kind 0.66721733821	jugendliche 0.0844466680752	erwachsene 0.0427552882485	geben 0.0133473019919	jahr 0.012908680944	gemeinsam 0.0109691929312	schule 0.0102929985574	finden 0.0054151828234	eigen 0.00480464918008	umgang 0.00472227081523	bieten 0.0041231223815	möglichkeit 0.00376165334022	früh 0.00363403622275	spielerisch 0.00362621603528	erleben 0.00357551147817	verschieden 0.0034475009581	entwicklung 0.00344692667348	brauchen 0.00340296806345	schulsystem 0.00329839143691	stehen 0.00269194073783	täglich 0.00260508609687	spaß 0.00258310148378	nehmen 0.00242822140988	fördern 0.00227255143711	entwickeln 0.00222437077957
topic445	hügel 0.0855522786753	vorweisen 0.0826665553878	zeitlos 0.066980078073	ausbilder 0.0602205243091	behutsam 0.0497076987426	veranlagung 0.0414251678184	aussehend 0.0392932945715	schneide 0.0364630092447	überfällig 0.0333920876373	premier 0.0288167341774	ziemlich 0.0279684969444	abendbrot 0.0254873184353	anhöhe 0.0235370870596	verschneit 0.0218106056149	griffbereit 0.021220090681	nostalgie 0.020704509918	abnehmbar 0.0197555639719	bilderrahmen 0.0182351231148	franchise 0.0172893806512	einwenden 0.0169469834752	nachlässig 0.0151889839342	ankämpfen 0.0145409778777	abstellraum 0.0144355746485	raumklima 0.0139699973473	irrsinnig 0.0135088831708
topic446	nachlesen 0.169437690112	entschließen 0.120243806581	site 0.105805947376	privatperson 0.0756818469256	fortlaufend 0.0569252118758	kompatibel 0.0478145859312	diskussionsforum 0.0469863885104	bildergalerie 0.0400066209665	arbeitszimmer 0.0338358992179	fräulein 0.0316310817318	geistreich 0.0208312936887	zurückholen 0.0198442210809	frieren 0.0197018723418	unbedarft 0.0160413892824	prunkvoll 0.0154405900745	falsche 0.0147200910734	nachprüfen 0.0146664843995	zurückgewinnen 0.013914048524	gelernte 0.0138727439009	zweitgut 0.0125992891719	niederung 0.0117262282751	neuorientierung 0.0101205396806	wunschvorstellung 0.0085402686691	gebinde 0.00709041092694	versandt 0.0065751756084
topic447	hose 0.157965167931	mitnehmen 0.133763042079	überflüssig 0.0877726934972	jacke 0.0816066406211	zeug 0.0580960787184	bock 0.0576713263887	shirt 0.0568472304656	wäsche 0.0537466274574	klamotte 0.0279254389751	monatelang 0.0250007292511	shorts 0.0211962477854	existent 0.0194398245921	beige 0.0193951581904	dunkelblau 0.0180745351544	unterhose 0.0157996999027	internetshop 0.0124502120284	anspruchslos 0.011516661418	nachbessern 0.0104150351159	farbwahl 0.00982382666736	liedermacher 0.00809649697906	wohlgefallen 0.00772607473866	neuware 0.00682920730846	oliv 0.00640208236653	auswaschen 0.00593524305947	druckknopf 0.00531988295189
topic448	regional 0.36777718242	veranstalter 0.16022962378	herausgeber 0.123284736324	teilnehmend 0.0283780333738	renovieren 0.0257856788796	nominierung 0.0238099777999	inventar 0.0217964542491	country 0.0214981253448	bekanntheitsgrad 0.0193952574871	astronomisch 0.017323749699	stadtrand 0.0143727574592	schulferien 0.0136207683489	auswahlverfahren 0.0134335894075	innenleben 0.0127848913272	stimmrecht 0.0107130139339	gewesen 0.0107045574303	juror 0.0106772593813	förderpreis 0.0088108782754	essbereich 0.00844555928084	rasenfläche 0.00807337687737	baumbestand 0.00765928529552	ausfertigung 0.00752511378426	sternwarte 0.00700854021902	jurymitglied 0.00620227039338	fünffach 0.00609531310002
topic449	million 0.418858536292	weltweit 0.0959957670139	umsatz 0.0476032168243	jahr 0.0469810933513	jährlich 0.0281589811856	quartal 0.0280573386133	groß 0.0143405079653	geschäftsjahr 0.0130209860136	erst 0.00938490586921	vorjahr 0.00931049889402	weit 0.0083532511325	photovoltaikanlage 0.0070621561223	vorstandsvorsitzende 0.00668116611361	geschäftsfeld 0.00666428537042	investieren 0.00642340657404	flotte 0.00627412336941	angelpunkt 0.00623047679662	steigen 0.00617922772957	laufend 0.00589500676931	belaufen 0.00573802193807	patentiert 0.00572063788215	ergebnis 0.00520817897391	ende 0.00506980209336	erzielen 0.004892869278	expansion 0.00483949950328
topic450	religion 0.0786880002812	glaube 0.0630779118762	religiös 0.0477268891476	christlich 0.0457072611032	bibel 0.0325064234362	christ 0.0303029822698	gott 0.0182469468373	schrift 0.0174847185065	lehre 0.0168817334655	christentum 0.0159222749819	glauben 0.0150309808369	mensch 0.0148711681139	testament 0.0138304645864	biblisch 0.0125750119787	prophet 0.0119001351704	offenbarung 0.00934182840584	geben 0.00880968336812	gläubig 0.00833275449611	theologie 0.00826941325568	fromm 0.00789792184628	gläubige 0.00746489818672	koran 0.00744928963867	heilige 0.00672134065494	leben 0.00625716283363	überzeugung 0.0051581428829
topic451	recht 0.60533156251	gesetz 0.127249008658	pflicht 0.0426424510382	rechtlich 0.00750344636965	rhetorik 0.00744353238257	unmissverständlich 0.007433652402	gelten 0.00733344740579	verstoßen 0.00708644104652	bürgerlich 0.00704137350035	rücksicht 0.00688063774565	gesetzgebung 0.00610843011364	umkehr 0.00603783943519	wahren 0.00494174258801	verbieten 0.00472097570086	verweigern 0.00460143780919	grundgesetz 0.00436336922432	beschneiden 0.00364828709454	allgemein 0.00351037452643	einverständnis 0.00327632297741	vereinsvorsitzende 0.00312858773242	geben 0.00291312734524	verbittert 0.00281431660566	hinauslaufen 0.00274296304919	missverständlich 0.00268367693103	bevormundung 0.00265715627296
topic452	amerikanisch 0.212879282569	russisch 0.141309256327	armee 0.0771098691435	truppe 0.070855325667	amerikaner 0.0595614160457	russe 0.0309873419262	division 0.0217728651875	general 0.0214676425542	marine 0.0199570911693	sowjetisch 0.018950297701	yorker 0.0188849158454	ukrainisch 0.0172682022035	comeback 0.0155664270665	soldat 0.0152702308273	resolution 0.0136692984819	rußland 0.0117175050871	serbisch 0.00849651648463	außenpolitik 0.00805723524008	strategisch 0.00625206156477	ukrainer 0.00620415357646	duett 0.00598766842005	kreml 0.00537234861283	serbe 0.00509199395436	gipfeltreffen 0.0047204907127	westen 0.00465880420086
topic453	abschnitt 0.169179665036	konzentration 0.105557299305	membrane 0.0878820551889	nachweis 0.0738601235375	verwendet 0.0580892439093	erhöhung 0.0514481534182	unerwünscht 0.0447943225825	zusammensetzung 0.0371755340655	nachweisen 0.0361912566945	beidseitig 0.023939716422	selektiv 0.0213283344466	wächter 0.018188492378	konzentriert 0.0162333524511	begünstigen 0.0134276623572	center 0.0116173995925	empfindlichkeit 0.0104029137566	centrum 0.0103660716678	farbstoff 0.0102919046494	konzipiert 0.0091809255716	voranschreiten 0.00883706666876	lebenswichtig 0.00881908709637	aussenden 0.00842264957704	helium 0.00813485648591	wässrig 0.00810193343575	reinheit 0.00765856621453
topic454	bieten 0.0575807481609	gast 0.046628642421	perfekt 0.0343085552108	lassen 0.0325136999322	modern 0.0321157338383	ideal 0.0298107783457	gut 0.0288482880279	sorgen 0.0274017583771	angenehm 0.0243650125019	groß 0.0198798381461	attraktiv 0.0193071519614	einzigartig 0.0184592203758	bequem 0.017996840912	machen 0.0175164851122	geben 0.0124144019841	komfort 0.0114016020736	stehen 0.0112007593804	genießen 0.0102979103732	elegant 0.0100748925608	komfortabel 0.00942155528186	besonder 0.00918620222139	gastronomie 0.00865036453096	erstklassig 0.0085631012994	hervorragend 0.00839179581998	einfach 0.00821226320338
topic455	vorliebe 0.102414779798	frühling 0.090749235008	verbrennen 0.0861735804655	lateinisch 0.072059874712	salon 0.0520003690783	überspringen 0.0354411881924	erbschaft 0.0340159623219	läuten 0.0336000561179	betteln 0.0315105336207	most 0.0287065882399	spülen 0.0279813390353	prickelnd 0.02655166827	jänner 0.0261428960085	spucken 0.0241548149288	inaktiv 0.0234593969783	magister 0.022305166942	schleunig 0.0206219670481	absurdität 0.0169390144591	fühlbar 0.0150075133837	verheißungsvoll 0.0103759430643	ständchen 0.0103283199364	stiefvater 0.010214390457	lateinische 0.00962807162433	hochprozentig 0.00955251440279	aussendung 0.00847519558606
topic456	fund 0.106420848043	elefant 0.0667303803109	fuchs 0.0566911097203	zyklus 0.0502413725617	schonend 0.0466956268734	maul 0.0410489256195	busch 0.0410013908694	expedition 0.0365289129738	wildtier 0.0360977441338	regulieren 0.0340262715822	entdeckt 0.0293632964288	gebärmutter 0.0285352686336	wildschwein 0.0279516395932	quadratkilometer 0.0254246799679	säugetier 0.0236027489343	artgenosse 0.0200368894139	antarktis 0.0200273303416	abschuß 0.0187570014965	myom 0.0184097364568	bewachsen 0.0151186225471	unerfüllt 0.0134900034363	nutztier 0.0104035372603	safari 0.0101597190081	nashorn 0.00980235841102	unangemeldet 0.00956245380283
topic457	verpassen 0.282988091224	gratulation 0.0688914590988	sauberkeit 0.0527626918712	feierstunde 0.0463877843019	gutscheincode 0.0406361358961	knaller 0.039938915236	entschlüsseln 0.0381555316584	unnatürlich 0.0356902742025	peeling 0.0339045483642	wohlgemerkt 0.0329041142696	additiv 0.0277465765533	bewährungsprobe 0.0227124202436	puder 0.02179864477	werken 0.0215442851639	fastenzeit 0.0208661777072	verkehrsminister 0.0206839430875	schutzfolie 0.0197222805041	waagrecht 0.0169093950094	bremsleitung 0.0136927038886	hochwirksam 0.0125618778666	involviert 0.0124006936227	filmszene 0.0111401254713	bildungsminister 0.0101532004361	amphetamin 0.00938960731736	inbrunst 0.00909676756636
topic458	deutsch 0.698507571283	englisch 0.113203219769	sprache 0.037741458371	übersetzung 0.0336827131132	deutsche 0.0159549367261	übersetzen 0.0138027728457	übersetzer 0.00974192195728	sprechen 0.00973273859124	muttersprache 0.00477717616992	kroatisch 0.00409068872386	skandinavisch 0.00404280479112	prosa 0.00349658023271	ausländisch 0.00316741831822	sprechend 0.00288818956622	jahr 0.00267647011739	kostprobe 0.00222616858182	übersetzerin 0.0020665656694	übersetzt 0.00174638693477	deutschlehrer 0.00147525709905	einführung 0.00146557504114	nomen 0.0014065741371	vorgreifen 0.00137990533717	fremdsprachig 0.0013725116276	wortschatz 0.00135547017432	beherrschen 0.00131365210795
topic459	temperatur 0.154546946488	grad 0.151776478042	klima 0.058044779999	global 0.0410631073094	atmosphäre 0.0381906402857	teilchen 0.0319739772405	klimawandel 0.0231523549458	physiker 0.0169089014767	bedingung 0.0156279184175	magnetisch 0.0142927467976	erwärmung 0.0137841558314	herrschen 0.0129018336965	stark 0.01231992342	elektromagnetisch 0.0122006270952	treibhausgas 0.0116366586041	magnetfeld 0.00991081519991	proton 0.00957054467669	klimatisch 0.00937504045422	strahlung 0.00911679644666	physikalisch 0.00858017956587	mikroorganismus 0.00830631584993	eiszeit 0.00828758387439	wechselwirkung 0.00761625445546	schneefall 0.00749532264524	stickstoff 0.00746664453047
topic460	qualität 0.156684458607	beratung 0.101247919583	auswahl 0.0964048217478	hochwertig 0.068023860156	kompetent 0.0569457708876	finden 0.04004258855	bieten 0.0355926713911	qualitativ 0.032701205348	spezialist 0.0256253118043	richtig 0.017070434305	verschieden 0.0161998348959	hoch 0.015278916635	schnell 0.0145904754463	anspruch 0.0141806147295	wissen 0.0113341176696	gut 0.0109685580194	klinikum 0.0109018754253	ständig 0.00993837163139	einfach 0.00985279397757	passend 0.00937115108967	ort 0.00922375985792	genau 0.00912018172037	erfahrung 0.00853569235852	umfangreich 0.00766328668025	persönlich 0.00725501945097
topic461	indisch 0.119700223215	bucht 0.0623598053313	ozean 0.0495801928539	royal 0.0425235756901	kabine 0.0389880780248	kathedrale 0.0374254939265	gehoben 0.0371913548967	kreuzfahrt 0.0360796407176	sandstrand 0.033912751652	urlauber 0.0339085513265	rundreise 0.0306851009791	reiseveranstalter 0.0302008764649	resort 0.0296775932488	endlos 0.0294384653147	reisepass 0.0224944023012	bungalow 0.0196920031333	westküste 0.0186571705245	beantragung 0.0182630457572	lagune 0.017428846128	unberührt 0.0166655154035	tropisch 0.0155079035993	bewegungsfreiheit 0.0139130077937	helikopter 0.0132147167859	gesamtfläche 0.0129612122958	schnorchel 0.0127106094887
topic462	europäisch 0.460451802045	national 0.17470311755	union 0.0811730390931	international 0.0509520259024	parlament 0.0236013924717	gemeinsam 0.0217030780252	gerichtshof 0.0151970650483	mitgliedstaat 0.0123074595052	europaweit 0.00947314457498	mitgliedsstaat 0.00917327268042	staat 0.00578029395717	handlungsfeld 0.00555843888903	datenaustausch 0.00526119707221	ziel 0.00488453522196	institution 0.00476091642811	bauwesen 0.00456360324074	umsetzung 0.00416464996892	rahmen 0.00411715123545	agrarpolitik 0.00403692777678	forschungsförderung 0.00401301524246	landwirtschaftskammer 0.00358461623019	naturschutzverband 0.00330946531679	karrierechance 0.00317384744407	deutsch 0.00288838255151	sozialfonds 0.00275725286114
topic463	ausdruck 0.236632762709	erwachsen 0.103086534001	depression 0.0988727183051	emotion 0.087758560552	seelisch 0.0749661579434	fundament 0.0564324026831	freundeskreis 0.044285402912	facette 0.0365259231104	lebenszeit 0.028023368738	intensität 0.0205068876127	tinnitus 0.0195423460201	tiefgarage 0.016491225915	einfühlungsvermögen 0.0153454730162	einzigartigkeit 0.0119347341503	nachdrücklich 0.0114467903031	gegensätzlich 0.0113978411753	alltagsleben 0.0106412352423	zeitraubend 0.0105808396813	bekenntnis 0.00935494241292	verblassen 0.008946280441	abdrehen 0.00822636486283	verzweiflung 0.00685072168836	sprengsatz 0.00632904698139	maschinerie 0.00533116933154	einmütig 0.00520607790624
topic464	waffe 0.188592639599	schießen 0.0801231423994	schuss 0.0522910751176	kugel 0.0511849024523	schwert 0.0430100053974	stange 0.0326385402102	panzer 0.0302832764632	rüstung 0.0260890164858	munition 0.0218784474826	krieger 0.0205123045043	gewehr 0.0160993675334	töten 0.014800170218	zentrale 0.0145385168973	klonen 0.0144780073325	zielen 0.0140207981254	kaliber 0.0138356737071	ausweichen 0.0126979113641	schwer 0.0109834714759	deckung 0.0108014448954	major 0.0106840077611	ziel 0.00948442771962	nahkampf 0.00914511814297	schütze 0.00913125947448	benutzen 0.00797888775211	einsetzen 0.00722732369342
topic465	jüdisch 0.255097016087	jude 0.247073756087	synagoge 0.0461413750255	migrationshintergrund 0.0426307796409	verständigung 0.0288733846949	atlas 0.0280592938322	sprachförderung 0.018021545359	kopftuch 0.0177693583206	kanon 0.0148048555569	linkliste 0.0138687262194	alleinerziehende 0.0128015277126	erzwungen 0.0120717892284	baugewerbe 0.0119013783938	wortschatz 0.0118875461735	schulbesuch 0.0112430993854	rabbiner 0.0112011055634	emigration 0.0109014297772	dampfer 0.010660138009	fahrtzeit 0.00971318911291	erdreich 0.00950066658267	presseinformation 0.00921592738702	slowenisch 0.00869980876366	aussiedler 0.00822224743653	produktgruppe 0.00762516051737	schlüsselanhänger 0.00754189096924
topic466	strom 0.0887271411876	energie 0.0666384117164	gas 0.0614838087446	erzeugen 0.0258141843805	wärme 0.0207689804882	fossil 0.0195608997944	investment 0.01759842622	erzeugt 0.0152945995958	erzeugung 0.0149705761287	solaranlage 0.0146012723409	heizen 0.0140739097864	groß 0.0132779288187	solar 0.0130124811043	jahr 0.01282842868	photovoltaik 0.0125305518546	thermisch 0.0118746218425	brennstoff 0.0114013962926	elektrisch 0.0109637104574	betrieb 0.010814418265	nutzen 0.0106955240444	wärmepumpe 0.0103401644454	strompreis 0.0100167705364	kosten 0.00977324056351	stromnetz 0.00936158643465	kilowattstunde 0.00902987447738
topic467	natürlich 0.25793943256	aktivität 0.183050727716	künstlich 0.106869084063	allgemeine 0.0682126437881	neutral 0.0595187090965	latein 0.0320517682906	einfließen 0.0299046245238	beleg 0.0238213674973	behandelt 0.0207577429212	klärung 0.0166384273578	förderlich 0.0155205611246	interaktion 0.015427156513	instabil 0.0137413708851	hommage 0.0111913347849	reaktiv 0.0104005146037	zusammenfassend 0.0103172402851	übergreifend 0.0100719090702	zugeschnitten 0.00990668620973	spezielle 0.00799910244405	verschlimmern 0.00788148226542	akzeptiert 0.00681163552478	provisorium 0.00639553083444	oberbegriff 0.00617838789586	alkalisch 0.00601931274072	nennenswert 0.00537189736616
topic468	bitter 0.120985446497	interpretation 0.10504843561	rückblick 0.103542232662	spannen 0.0672823158419	wollen 0.0640231087733	zeigefinger 0.0565136058393	mensa 0.0496677529914	herausgeben 0.0407105782644	stifter 0.0264577514067	geldbetrag 0.0244397623614	verzerrung 0.0241088403171	verhängnis 0.0233867583369	obskur 0.0233093302705	unwahr 0.0204383358334	stereotyp 0.0190509414346	mitspracherecht 0.0159916317696	gecovert 0.0124109702199	akkumulation 0.0113206050675	literaturgeschichte 0.0110907785087	familienministerin 0.0106122294521	abschottung 0.0100634952302	orthographie 0.00931156342608	einbilden 0.00782799935832	totschlagargument 0.00782721748028	verflixt 0.0076840985092
topic469	sitz 0.313353904401	signal 0.17915534882	schlag 0.127841333535	anstehen 0.0502707713665	mineral 0.0501506686584	kurzzeitig 0.0485877737011	festgelegt 0.0287433347579	eintreffen 0.019531413214	spalten 0.0193548589295	aufregend 0.0182744847431	abfallen 0.0170466369577	mittagesse 0.0165473001958	rückenlehne 0.0134459229712	gediegen 0.011508339457	kontern 0.0104846220112	uneben 0.00814277696875	amplitude 0.00761442872013	fälschen 0.00654929184363	blättchen 0.006498174788	erdig 0.00648654151137	ungefiltert 0.00585012440794	modulation 0.00570650639187	armlehne 0.00552658230116	abgestuft 0.00493625602204	lesestoff 0.00420688767058
topic470	zustand 0.157970377616	auflage 0.142863501975	exemplar 0.0926461073252	zahlreich 0.052752388858	tafel 0.0494937068395	gut 0.0470334595481	leicht 0.0469823699397	band 0.0454997103586	abbildung 0.0396086248168	rehabilitation 0.0208769674594	einband 0.018257075447	inhaltsverzeichnis 0.0156889015453	vorwort 0.0139058638808	tab 0.0135420510387	gering 0.012917608631	rücken 0.0123190243065	berieben 0.0113841746537	festschrift 0.00980952559824	seite 0.00975934132734	handbuch 0.00948997743733	enthalten 0.00922995517965	angeordnet 0.00877229889982	klein 0.00839958415933	farbig 0.00799434220651	zeit 0.00774523308135
topic471	wort 0.301083791516	sprache 0.158041649123	begriff 0.12365697031	sprechen 0.0662242091098	verstehen 0.0387433932733	sinn 0.0359403013207	bedeutung 0.0324791071362	bedeuten 0.0304133732185	bezeichnen 0.030377082444	sprachlich 0.0222100527151	englische 0.0135292392541	heißen 0.00974029621821	aussprache 0.00900909941661	gesprochen 0.00866659124098	beschreiben 0.00832015861944	back 0.00821928655156	verständlich 0.00795898115528	lehrreich 0.00728263828543	zusammenhang 0.00695954528431	bezeichnung 0.00582751739212	wahr 0.00580134443446	paste 0.00577352622874	fremdwort 0.00513483306466	häufig 0.00512718813765	fassen 0.00486664295372
topic472	paar 0.202880623735	orientierung 0.0797546347331	schwul 0.0734994576323	partnerin 0.0468642884085	ticken 0.042753261567	homosexuell 0.0399402212914	schwule 0.0358017425984	nationalsozialist 0.0305600777302	lesbe 0.0292254028419	lebenspartnerschaft 0.0278030746078	moderatorin 0.0246692294475	aktionsplan 0.0231138508633	gleichgeschlechtlich 0.0221511133858	lesbisch 0.0198695512417	zuschreiben 0.0164725603202	zeitgeist 0.0163186059683	entgiftung 0.0149635214295	senatorin 0.00868006780613	gleichstellung 0.00827805034233	homophobie 0.0081381079965	zuspitzung 0.00806044602449	biografisch 0.00802262114019	herausgeberin 0.00799504837308	hoffnungslosigkeit 0.00717583784824	rentenanspruch 0.00711637274928
topic473	gehen 0.0585769666209	abend 0.047186227178	kommen 0.040979929396	tag 0.0305202102144	nah 0.0287476351386	geben 0.0241604248559	machen 0.0235763633032	kurz 0.0207226575825	zeit 0.0195221910402	erst 0.0187690802331	letzt 0.0181247014523	gut 0.0174472263008	stehen 0.0160155186472	wochenende 0.0149306274118	spät 0.0141804494349	klein 0.013600894383	schön 0.0114544819411	groß 0.0110754967959	lassen 0.0109839806302	haus 0.0102028328832	los 0.0101324439971	stunde 0.0100437383097	ganz 0.00946126264797	früh 0.00915620885237	ende 0.0090682457361
topic474	energie 0.115892762954	ausbau 0.0652786950925	erneuerbar 0.0459981068757	klimaschutz 0.0324541690861	energetisch 0.0322164605798	energiewende 0.0305686098223	erneuerbare 0.0284246326198	emission 0.026375789556	umwelt 0.0234623019391	energieeffizienz 0.021451223455	regenerativ 0.0190665536594	energieversorgung 0.0168838945516	anreiz 0.016838795741	judentum 0.0165391319643	klima 0.0148011322368	energieverbrauch 0.0147084984412	biomasse 0.0144118164184	vereinbarkeit 0.0132275358699	ausstoß 0.0128796518318	windenergie 0.0127559644881	energieträger 0.0124012636439	energiequelle 0.0114963787969	förderung 0.0108345931197	kurdisch 0.0103414596105	feministisch 0.0101156578775
topic475	katastrophe 0.113570167674	losen 0.0646385248296	dampf 0.0572005012991	versagen 0.0556620173443	fatal 0.0481379887727	schwanken 0.0476867249016	des 0.0411794765597	genie 0.0383003375143	vieh 0.0313317547378	feuern 0.0304219100458	schlechte 0.026138518713	fernhalten 0.0244194061895	sonderlich 0.0222507290534	miserabel 0.0213125038806	schwerlich 0.0199287136164	wertigkeit 0.0185875207241	zeitrahmen 0.0180478541976	geäußert 0.0172301974643	brachial 0.0150219492661	unzweifelhaft 0.0144573787713	übermacht 0.0139658061507	publik 0.0135008462548	hantieren 0.0132255902645	schlachten 0.0124060960237	ligaspiel 0.0108083343212
topic476	prozent 0.275526536254	jahr 0.0399435477506	anteil 0.0376773339822	liegen 0.0309551641856	drittel 0.0252283042356	deutlich 0.0231516166586	hälfte 0.0206208256373	zahl 0.0197955934362	steigen 0.0175762817217	groß 0.0135384087203	knapp 0.0134455594019	geben 0.0121897650126	durchschnittlich 0.0120526483057	stark 0.0120196508797	vergleich 0.0109431311361	zeigen 0.0107515138999	umfrage 0.010507941324	aktuell 0.0101879330174	sagen 0.0101584157124	gehen 0.0101277327739	sinken 0.00979651940466	schweinfurt 0.00938204720543	deutsch 0.00904864833367	vergangen 0.00880348788888	hoch 0.00839508537376
topic477	starten 0.414608239698	start 0.246331132455	beenden 0.0394085571152	pack 0.0338847868968	ausfall 0.0289211673749	administrator 0.025356216125	kreisverband 0.0248006906345	host 0.0166672628273	signalisieren 0.0166636490166	gestartet 0.0162683015938	betrug 0.0141225289383	ausführen 0.0139277474971	absturz 0.0113922645843	gelistet 0.00878290085324	laufwerk 0.00742150018922	simulator 0.0068992261525	hauptspeicher 0.00667462357052	höchststand 0.00562765436652	digitalisiert 0.00556772936651	böswillig 0.00429317175667	zivi 0.00410718545478	qualitätsmerkmal 0.0029387372462	hauptprogramm 0.00292013358849	speicherort 0.00285979974028	absonderlich 0.00270407338511
topic478	zutaten 0.16720290989	creme 0.130407854916	schälen 0.0801391135296	verschweigen 0.0595361168089	psyche 0.0509561097833	quellen 0.0396776791528	hingucker 0.0374950377223	dekade 0.0337725308163	zwinger 0.0315343225429	viral 0.020475684925	genugtuung 0.0151563048603	blogosphäre 0.0147958679668	hauterkrankung 0.0147949253611	antigen 0.0142436429221	türsteher 0.0142033862807	topfit 0.0137715337137	anwaltskosten 0.0135489790221	nebenprodukt 0.0130478604347	nutzungsdauer 0.0130322761593	pute 0.0119729722634	durchleuchten 0.0112206264046	zahngesundheit 0.0108947911686	seitenhieb 0.0103256873182	tumorzelle 0.0100170028741	zeitbombe 0.00948536937811
topic479	sitzen 0.365717661765	tisch 0.27316877325	stuhl 0.0987064892409	pianist 0.0268423572299	sitzplatz 0.0246942431842	ungestört 0.0222899875896	unangemessen 0.021717079889	dolmetscher 0.0168789077511	tischen 0.0114774455801	esstisch 0.0109214322252	mindeste 0.00990629989831	adaption 0.00977487791728	eindecken 0.00976394996706	fixierung 0.00857639918953	operierend 0.00727989641199	sonderanfertigung 0.00704732490234	massiv 0.00674765905336	semesterferien 0.00528409159006	saxophonist 0.00487082081103	beengt 0.00427785739173	bitterlich 0.00393719533113	decken 0.003784916096	bergarbeiter 0.00368444521291	massivholz 0.00350533758629	sizilianisch 0.00345224695083
topic480	experiment 0.138024253262	arbeitsgruppe 0.108901439158	identifizieren 0.0704441679305	rückmeldung 0.0542416292541	erforschen 0.0461349915268	kommunikativ 0.0418507038551	trainerin 0.038950607666	multipel 0.0350239433438	plasma 0.0342686936046	erforschung 0.0339581442289	quark 0.031619398408	geschult 0.0299838074848	identifikation 0.0283772089927	kirchenkreis 0.0257460638345	effektivität 0.0218126773519	erlebt 0.0212889616317	sehne 0.0194985800955	ressort 0.0192216463762	sklerose 0.0181401975845	nachweisbar 0.0165745967689	sozialwissenschaftlich 0.0158878632842	helfend 0.0152300198724	reproduktion 0.0109224451153	demographisch 0.0107646257177	forschungsgruppe 0.0107550098382
topic481	krise 0.281918460982	realität 0.200000939512	ermutigen 0.0415484827796	aufklären 0.0316427145284	positive 0.0301926631603	zusammenbruch 0.0295756819011	arrangieren 0.0287845759857	häufen 0.0247688653761	rational 0.0229743286505	finanzkrise 0.0214218450256	verschärfen 0.0198841615322	aufschwung 0.0194245683007	starke 0.018756079566	astrologie 0.0167448085092	steinzeit 0.0153167395755	schwachsinnig 0.0152455930705	leidend 0.0145069226758	schwache 0.0138031469255	lebenseinstellung 0.0123282228462	hochkultur 0.0117399161985	finanzdienstleistung 0.0105239235636	selbstverwirklichung 0.00974637158809	bedenkzeit 0.00902031235408	trainee 0.00842119932755	weiden 0.00798607575596
topic482	vereinbaren 0.131847247917	besprechen 0.11776715503	pauschal 0.107954622841	abdecken 0.101281621471	anfall 0.0653017126668	kubikmeter 0.0468145741033	freiberufler 0.0425589497218	freiberuflich 0.0330630053899	geschäftsidee 0.0305155917286	epilepsie 0.0272420345883	sandwich 0.0243221914529	entrichten 0.0200756914867	altersgerecht 0.0195665321287	betriebswirt 0.017758640102	vegetativ 0.0168889775064	totalschaden 0.0149977267328	paragraf 0.0143286427566	medikation 0.0130067342135	businessplan 0.0118472356146	anfangsphase 0.0115844148078	epileptisch 0.0112646606933	lebenshaltungskosten 0.0108377707526	ausmessen 0.00973408778859	marktgerecht 0.00789902083232	zielgruppengerecht 0.00761068041127
topic483	fließen 0.108716213945	fluss 0.10321077577	muster 0.0815410068921	bogen 0.079553742265	pfeil 0.0599743072947	strich 0.045539475571	glanz 0.0418484037041	ufer 0.0398180977822	gestalt 0.0376826861318	kristall 0.0369889845067	prächtig 0.0172512811024	hellblau 0.0144267350469	rötlich 0.0142288811069	verwendbar 0.0131037712608	breiten 0.0120644682527	schnabel 0.0111538049964	verhaltensmuster 0.00987311664687	baumstamm 0.00957174385169	dürr 0.00947305976151	anwendungsgebiet 0.00848103888143	auftauchend 0.00803135539324	tageskarte 0.00787919846574	geometrisch 0.0078590990266	ornament 0.00737085235751	amor 0.0072844476055
topic484	reihe 0.267774941327	verlag 0.265237129108	literatur 0.160018521002	literarisch 0.0607182012509	schriftsteller 0.0322149804492	manuskript 0.0257595549291	erscheinen 0.0224445712162	verleger 0.0194950796257	buchhandlung 0.0178859811129	germanistik 0.0164098572447	deutschsprachig 0.0148233941186	bürgerhaus 0.0136748012088	einleitung 0.00660661909197	bestseller 0.00653693273285	verrecken 0.0058793054162	vierfach 0.00548804007948	werk 0.00538230928179	belletristik 0.0047084058465	verlagsgruppe 0.00467184566028	weltliteratur 0.00461909492205	germanist 0.00416006059633	anreicherung 0.00368413940546	literaturpreis 0.00336662670769	belegexemplar 0.00296173148887	deckblatt 0.00270736620159
topic485	spende 0.254817592226	stichwort 0.148706937646	spenden 0.10755821098	rezension 0.104178879042	hall 0.0582878661855	kinderspielplatz 0.0144165530967	anwaltskanzlei 0.0142297067961	schlafplatz 0.0141850927419	klappentext 0.0133941976889	somalisch 0.0133836592577	absenken 0.0132300055913	absetzbar 0.0124670395226	leserinnen 0.0113767426911	besprochen 0.0108470647393	fachinformation 0.0105647887813	kitsch 0.00920721694033	zweck 0.00911935840076	obdachlosen 0.0085988306078	sozialwesen 0.00856181443322	zen 0.00793768336268	teutoburger 0.00767264144402	unternehmensinformation 0.00757696646512	ostteil 0.0065200007576	weit 0.00645049522348	auszubildend 0.00593937432884
