topic0	person 0.627751497261	station 0.101745998057	tisch 0.0710641622775	indisch 0.049798837081	stuhl 0.0336375040878	trauern 0.011898032084	beantragung 0.00856376178643	lauenburg 0.00797185187274	eindecken 0.00577800641002	münster 0.00560455078193	zweistündig 0.00554623197539	inklusiv 0.00536766451862	esstisch 0.00527106974502	freifläche 0.00488931548139	urlaubsreise 0.00467397636838	gesamtleistung 0.00388982302785	backend 0.00384235684505	festplatz 0.00330727778115	darlehensvertrag 0.0026364915709	crewmitglied 0.00262108017865	sondergenehmigung 0.00231921531035	beengt 0.00229594651786	scheibenwischer 0.00219458062479	stiege 0.00208959206841	weserbergland 0.00208942736894
topic355	baustelle 0.131201106384	sturz 0.0973621438641	kontrolliert 0.0800628589912	mithilfe 0.0598186426624	unternehmung 0.0582543997957	webcam 0.0535515453707	gastfamilie 0.0500373004717	kreisen 0.0390704743644	abgang 0.0369438116052	undenkbar 0.0358154554136	unterrichtseinheit 0.0261823253687	hauptziel 0.0248953778998	zeitzeuge 0.0206726238869	einsetzend 0.0178599981004	orten 0.0173058435255	minutenlang 0.0156282603192	spielort 0.0152124932025	demütigung 0.014390045388	ostblock 0.0137710771141	selen 0.0128947334058	erinnert 0.0121322356614	abgehen 0.0116730459721	hehl 0.0108162235279	kocher 0.0106799087629	kontrollgruppe 0.0103451653476
topic356	original 0.73378464509	platine 0.0261344104743	belegung 0.0234602211389	seriell 0.0226467726426	probezeit 0.0199190944764	einstündig 0.0152158346745	pda 0.0148163532097	zange 0.0117551197721	löten 0.0110653801705	schaltplan 0.0109445780571	klemmen 0.0092468509091	verkabelung 0.00922026108948	richtigstellung 0.00630765299202	teilaspekt 0.00622686229967	kabelbaum 0.00589974302578	lötkolben 0.00479925376152	jugendfrei 0.00456135795417	schrumpfschlauch 0.00438766429315	spielanleitung 0.00430508932547	männerherz 0.00383273225001	liaison 0.00377984459278	lieblingssong 0.0035137255421	kundenrezension 0.00332240731359	sozialkunde 0.00302658951878	werkseinstellung 0.00302450038899
topic357	milliarde 0.112543532058	dollar 0.101553751449	schuld 0.0637811608932	steuer 0.0595594782125	staat 0.0322850916078	währung 0.0306017946884	finanzkrise 0.025062395619	inflation 0.0249216616838	pleite 0.0193297851503	zentralbank 0.0188148242795	anleihe 0.0175097767533	blase 0.0148200451681	auslastung 0.01283448308	billion 0.012678839595	rettung 0.0113598807169	krise 0.0112182952432	regierung 0.0109936185472	finanzmarkt 0.0105411515558	finanzminister 0.0101453242078	verschuldung 0.00932284823864	finanz 0.00857983057041	altersheim 0.0084616684741	zusammenbruch 0.00845359346608	wirtschaftswachstum 0.0081516272166	konjunkturpaket 0.00796821254116
topic358	lesen 0.322573017096	lese 0.0484517635285	erscheinen 0.0409963416502	offiziell 0.0329329705085	handbuch 0.02565649575	teil 0.0207178424685	geben 0.0197425432962	screenshot 0.0190438413118	news 0.0160409168555	story 0.0158462213605	release 0.0157101569535	abkürzung 0.0156487371557	erst 0.0154818383511	adventure 0.0154563771139	modus 0.0148049196518	fantasy 0.0145048203601	rechtschreibung 0.0134948877102	playstation 0.0130953110414	textur 0.0121875184748	gta 0.0105510059016	bekannt 0.0104191192563	spielbar 0.00755825787831	insulin 0.00721273680045	veröffentlichen 0.00675152224825	exklusiv 0.00624778007541
topic359	jugendliche 0.394599764334	jugend 0.179110502623	erwachsene 0.0627641733632	jung 0.0561782375315	jugendlich 0.048422228247	jugendarbeit 0.0426051651138	erwachsen 0.0190457772383	alter 0.0145656086252	collage 0.00937666296126	aufarbeiten 0.00875908861896	gartenbau 0.00830655446403	porno 0.00792890814697	freizeit 0.00710313505588	schulbildung 0.00659611399918	schneebedeckt 0.0057469886461	offen 0.00501967815608	belebend 0.00464016968846	prävention 0.00463893708286	pubertät 0.00450195457155	straßenkind 0.00440843333342	unbelastet 0.00432415052855	strahlender 0.00402999634527	zillertal 0.00391685287912	leiterin 0.00368668360221	aufwachsen 0.00363491368639
topic360	kampagne 0.132518171441	steuerung 0.126001512301	steuern 0.110877265265	optimierung 0.0835167717938	klick 0.072643943916	optimieren 0.0484296330477	ermitteln 0.0452603935103	stream 0.0423526715774	leitend 0.0372954030601	phantom 0.0303515953443	stadium 0.0144973896035	lade 0.0144854849756	telefonanlage 0.0140162710732	optimiert 0.0135351575321	telekommunikation 0.0126538727435	voip 0.011840174381	veröffentlichen 0.0113762686212	wochentag 0.0112392712985	mobilisieren 0.0107983962378	rechteck 0.0102880316898	ausschöpfen 0.0102539232041	freien 0.00985676952316	universal 0.00961764129809	datensicherheit 0.00960385748274	generierung 0.00861644706097
topic361	passen 0.114802000399	passend 0.111342219326	perfekt 0.0822295023682	elegant 0.0401971395155	tasche 0.0383881083309	stil 0.0267234023277	angenehm 0.0246405837362	trend 0.0242316975568	schick 0.0235578553324	kleid 0.0235301382751	schlicht 0.020737709324	edel 0.0203490950772	bequem 0.0199753790338	geschmack 0.0137713189828	auswahl 0.0134725297115	perle 0.0132414831962	accessoire 0.0127774304929	fühlen 0.0123870743179	anziehen 0.0118513952718	kombinieren 0.0117394240684	egal 0.0113606082032	unterstreichen 0.011328013394	wunderbar 0.0102942676717	weiterempfehlen 0.0102939458604	genau 0.0100642914531
topic362	personal 0.197966548205	intern 0.154041248568	geboren 0.0507059653752	besprechen 0.0465527023069	erweitert 0.0302441024655	admin 0.0289032246716	dominanz 0.0233104236797	hausfrau 0.0228595184174	schnelligkeit 0.0205612522166	zugriff 0.0193548215982	positionieren 0.0166835602616	weiten 0.0164398362473	rotation 0.0162828689707	unterteilen 0.0155470906863	szenarium 0.0140732348	bereich 0.0139704665829	ausgangslage 0.0134373314951	kanalisation 0.0119009136732	klassifizierung 0.0106397407199	selbstredend 0.00962095067805	geben 0.00882726130484	zurücknehmen 0.0085446267565	ankommend 0.00828029774174	denkanstoß 0.00786311510353	verabredung 0.00778561298779
topic363	merkwürdig 0.0939890047222	uralt 0.0666139501846	faul 0.0631125575776	faq 0.0615655469889	legend 0.0537918161056	verwunderlich 0.0468293065332	vorbeischauen 0.0460989232476	grube 0.0457354398846	missverständnis 0.0427638184985	spoiler 0.0418192993474	erwecken 0.0345567125486	unbeschreiblich 0.0314135319264	unnütz 0.029681728947	vermerk 0.0291648956648	musikrichtung 0.0265307446289	trance 0.0259098369962	verkaufszahl 0.024817470892	rätseln 0.0232930742691	salsa 0.0216740748696	voreilig 0.0193706115683	beantwortet 0.0136669335935	username 0.013283152586	langweilen 0.00982610032883	jackpot 0.00945054065576	baisse 0.00894536576061
topic364	land 0.478692353127	welt 0.0512310787686	bevölkerung 0.0238293132616	afrikanisch 0.0194179505643	armut 0.01811403538	groß 0.0163691758053	vereinigt 0.0157585586694	arm 0.015336779671	kontinent 0.0148859687231	weltweit 0.0128539698523	staat 0.0120037780543	regierung 0.0110235622388	ganz 0.0104299002724	reich 0.00924921897302	leben 0.00783651729452	jahr 0.00701827732029	grenze 0.00605531786826	nachbarland 0.00597016538004	geben 0.0056704660398	tausend 0.00561468204496	ausländisch 0.00559632661254	eigen 0.00520017903781	hilfsorganisation 0.00467703050157	familie 0.00424168303014	bereisen 0.00378421998543
topic365	party 0.254587430272	rätsel 0.0866632658072	rüde 0.0734139627257	losen 0.0622871161949	hinrunde 0.0454345070255	minder 0.0383834780685	rechen 0.0288787932455	taufen 0.02475011986	mittelmäßig 0.0239341666644	zumachen 0.0188724176154	allerhand 0.018074519711	verheiraten 0.0151011315186	spielende 0.0150081512508	derb 0.0145282414407	stolpern 0.014381997019	kopfschütteln 0.0132090638863	baron 0.0131845986329	hinterhand 0.0120683165757	neukirche 0.011884909613	endgegner 0.011337231508	emblem 0.0113333879571	seligkeit 0.0110934046622	lösen 0.0107088206584	vermerken 0.00879236831144	unehelich 0.00873075143615
topic366	standard 0.236436001482	board 0.131786118617	ansehen 0.0943776577161	eisen 0.0672081518438	spule 0.0490317316368	berechtigung 0.0379280570107	draht 0.0345640825955	genehmigen 0.0235284942376	winden 0.0161150194097	dateianhang 0.014677713074	ausreichend 0.0135678343597	orthopäde 0.0124938705236	einstellbar 0.0120639789527	abschreckend 0.0114862244059	entladen 0.011310001031	attest 0.0109832020157	möbelstück 0.0106152418555	hausverwaltung 0.0101361335181	doppelseitig 0.0101144607204	pickup 0.0100603282472	kurzschluss 0.00969322501746	rekrutieren 0.00861754295064	reinschreiben 0.00814955781032	ausgewogenheit 0.00738748326012	ungar 0.00738639835448
topic367	fahrt 0.0790397908893	abend 0.0713568085718	dorf 0.0516323019567	frühstück 0.0474302051617	nachmittag 0.0395829521682	fahren 0.0341510775375	anschließend 0.0338974731269	übernachtung 0.033708593138	ankunft 0.0316472672096	abendessen 0.0306596759858	dusche 0.030606147473	schleuse 0.0264245687583	aufenthalt 0.0252514194146	gehen 0.0167942073388	toilette 0.0163513082096	gruppe 0.0160622524477	gepäck 0.0147560746118	mittag 0.0136156946347	badezimmer 0.0133428550975	rückfahrt 0.0131882871048	gemeinsam 0.011966653217	morgen 0.0119272669638	lodge 0.0112423013544	buffet 0.0111775336945	verpflegung 0.0101642986088
topic368	uhr 0.548465187666	finden 0.0250688377237	eintritt 0.0188444500973	öffnungszeit 0.0149753967897	geben 0.013275918736	beginnen 0.0123646506548	zeit 0.0106455052906	marktplatz 0.010622347739	stehen 0.00913984484158	laden 0.00861277099513	wochenende 0.00827008620407	gehen 0.00777678831199	frei 0.00763868529947	abend 0.00733753746942	kommen 0.00717093084903	starten 0.00680893767994	freuen 0.00674249472682	eintrittskarte 0.00629537060587	kommend 0.00577672494593	nachmittag 0.00570378825082	pater 0.00526797004931	rahmenprogramm 0.0052145618661	anschließend 0.00510358414238	tag 0.00505392851894	beginn 0.00477877196304
topic369	konzept 0.237039210823	umsetzung 0.0820025925504	gestaltung 0.0647506441046	ausschreibung 0.0521396805013	bearbeitung 0.0477926570428	realisieren 0.0380360860346	einzelhandel 0.0271125842924	realisierung 0.0249049838423	vergabe 0.0234248139397	augenmerk 0.0213748103617	funktional 0.0202400080135	quartier 0.0177294508227	teilbereich 0.0169293143378	städtebaulich 0.0165683060225	erarbeitung 0.0155997140165	unverwechselbar 0.014714868616	unumgänglich 0.0134947062746	gestalterisch 0.0127152387723	einbinden 0.0116266107546	bestandsaufnahme 0.0108994053893	medienkompetenz 0.00786409514473	einzelhändler 0.00760638497386	ortsansässig 0.00726275100142	bausubstanz 0.00718063676327	unattraktiv 0.00717842954857
topic370	vereinigung 0.125362713476	angeklagte 0.108408338805	karneval 0.0516635039861	vierbeiner 0.0452029009283	canyon 0.0400619282181	beamer 0.0383975038751	verantworten 0.0380520651975	sprechend 0.035086435485	inserieren 0.0255516924296	mülltonne 0.0223963544656	rüsten 0.02024844314	schulsport 0.0197335872585	umsichtig 0.0193007558417	wortwörtlich 0.0188107104696	verbal 0.0180647760871	festgestellt 0.0146874581286	aufgelegt 0.0130588443312	freispruch 0.0121131416658	flink 0.0120623745588	zeugenaussage 0.0119856260075	belustigung 0.0115233375748	neuankömmling 0.0108293200518	präzisieren 0.0100396284735	weihnachtsfeiertag 0.0100171321697	bandage 0.00975255204596
topic371	saison 0.0943614506734	liga 0.0493018469172	verein 0.0404821219292	spieler 0.0395756581347	spielen 0.0283427499271	spieltag 0.0256855004801	bundesliga 0.0232079810068	aufstieg 0.0147451106714	stehen 0.0136416483611	jahr 0.0129746064402	meister 0.0126078005855	trikot 0.0120404345151	fan 0.0114595685019	eintracht 0.0113286200654	wechseln 0.0110707980354	club 0.0106272126599	sportlich 0.0106033333987	neu 0.00954942663344	nationalmannschaft 0.0086467725451	platz 0.00855649548844	letzt 0.00777943870164	mittelfeld 0.00762832833011	sagen 0.00731160963571	klub 0.00730266158174	kommend 0.00713874948721
topic372	planung 0.243432331319	bestand 0.136290067724	sand 0.118275354833	freie 0.0484733430059	riss 0.0477202389057	sportplatz 0.0293302958874	wattenmeer 0.0292337119472	plane 0.0288615327706	seminarort 0.0229521669701	umgestaltung 0.0210645656907	zusammenhalten 0.0183415409375	erörtern 0.015359613296	planer 0.0145133812631	treff 0.0133855236965	kennung 0.0133830425325	beifügen 0.011015409061	abgesetzt 0.0106276768253	gesamtkonzept 0.0101519791771	niederlegen 0.00917520506292	fantasievoll 0.00889235476256	unbewohnt 0.00714914634738	wirtshaus 0.00676613018919	aufgebracht 0.00672361670278	organisationsform 0.00643720641231	militärdienst 0.00632834975507
topic373	gruppe 0.0684350562889	bereich 0.0189385337319	kompetenz 0.0177163622283	erfahrung 0.0176551236812	ziel 0.0143489898066	kenntnis 0.0143327866649	arbeit 0.0129390085464	fachlich 0.0125594771913	fähigkeit 0.0115159111297	entsprechend 0.0104704624253	aufgabe 0.00980516680199	möglichkeit 0.00893262076206	wichtig 0.00888589278766	einzeln 0.00880512355217	zusammenarbeit 0.00851601702103	stehen 0.00838986283944	durchführung 0.00830100855768	gemeinsam 0.00806925079489	besonder 0.0076577196136	rahmen 0.00735109341385	umgang 0.0073136963618	weit 0.00729347505267	vorbereitung 0.00708617577614	schwerpunkt 0.00701691937176	vermitteln 0.00671262187035
topic374	komplex 0.17560637939	interaktiv 0.0888437437134	etabliert 0.0553181990847	neuartig 0.0434417604037	experimentell 0.04028343144	thermisch 0.0319992507616	dreidimensional 0.0273967217728	skala 0.0230652048176	interaktion 0.0224153401074	kinderwagen 0.0209536212225	beobachtet 0.0203968983654	vervollständigen 0.020389702273	gehörend 0.019979286014	gewonnen 0.0199733499102	erforschen 0.0190001321701	identifizierung 0.0189306619065	vielversprechend 0.0185805695699	problemstellung 0.0171539714634	quiz 0.0169480949533	durchströmen 0.0167135914465	biotechnologie 0.0165173968564	umfasst 0.0149840323269	ausnutzung 0.0137832904386	bestleistung 0.0128072775324	vermessung 0.0120889121542
topic375	freuen 0.100553533807	gut 0.0971943009292	lieb 0.0932145720106	wünschen 0.0870639138766	schön 0.0740921799827	gruß 0.0433098494928	hoffen 0.0399012646212	danken 0.0350414562735	gute 0.0241983792025	dank 0.0206865714646	wunsch 0.0166888603411	bedanken 0.0163788057485	liebe 0.013175613604	froh 0.0130525703966	glück 0.0124846256033	freundlich 0.010833683405	spaß 0.0105176354947	freude 0.010103744886	zeit 0.0100624916823	lieben 0.00987150187794	nah 0.00876463574228	grüßen 0.00859463820833	hallo 0.00826314106297	gehen 0.00694309120426	homepage 0.00684847754874
topic376	zugang 0.138829808722	passwort 0.130242926846	sicherung 0.0844806172606	kiste 0.0646772941517	schlange 0.0626404570589	abonnieren 0.0518975652407	laufende 0.0514693782133	ast 0.0351764388763	idealfall 0.0241679445048	detektiv 0.023925736288	hauptaufgabe 0.0218039797244	begutachten 0.0216345534466	abrufen 0.0207514355578	vertrauenswürdig 0.019995023352	kennwort 0.0183179690461	zugangsdaten 0.0175452138291	erkannt 0.0174437392995	webserver 0.0171318105316	luna 0.0164036044504	vergoldet 0.015496749006	trophäe 0.014986456902	umrüstung 0.0104558358638	regierungskoalition 0.00896031625728	chamäleon 0.00785741753796	sprachenzentrum 0.00757730329716
topic377	hoch 0.082063265904	grad 0.0313562059392	temperatur 0.0313379405741	luft 0.0286940586799	gering 0.0277588795494	warm 0.0215925450134	groß 0.0207934891079	stark 0.0200525044099	kalt 0.0194275777305	niedrig 0.0170141276152	liegen 0.0157408114397	gut 0.014818057418	kommen 0.0113083075685	extrem 0.01123692729	schnell 0.00975358685516	leicht 0.00975275289937	bleiben 0.0092712411071	relativ 0.00914690138494	kühl 0.00889326491909	lang 0.0087854964383	entstehen 0.00780015538249	heiß 0.00733307468584	organisch 0.00704512739558	dicht 0.00675087056002	führen 0.00654217229794
topic378	amt 0.24732565013	eingesetzt 0.0747330512368	graben 0.0631503260638	bedingt 0.0545705279034	auswärtig 0.0484020080293	kennzeichnung 0.0440527437819	abnahme 0.0400697317846	ausschlaggebend 0.0316914032	aufgebaut 0.0281383798162	homo 0.027696077795	dünger 0.0258266560469	vokabel 0.0204331506275	quad 0.0190919506466	beisein 0.0174649418452	naturwissenschaftler 0.0173456667755	verwaltungsakt 0.0167146135595	grosse 0.0148457526755	gerichtsbarkeit 0.0147274194421	bedingen 0.0136739738631	zugewiesen 0.012562722388	gau 0.0123875749548	exekutive 0.0111210447304	ernstlich 0.00969818384769	strafen 0.00827812508212	modifizierung 0.00812421321423
topic379	suchen 0.491897853889	suche 0.279472206842	klicken 0.0439242802655	suchbegriff 0.0200201359064	date 0.017719500042	suchfunktion 0.0152416237319	finden 0.0152012362409	suchergebnis 0.0112315473577	kaufhaus 0.0107664904399	mailen 0.00921547447376	stichtag 0.00731088665706	cop 0.00700665478727	formatierung 0.00591792293012	weltreise 0.00563240911671	dringend 0.00558623573932	komprimieren 0.0053892181542	einfach 0.00533897939443	bandscheibe 0.00441736095693	interesse 0.00414544054058	gelangen 0.00410847578613	senden 0.00395588047287	entdecken 0.00349017888891	kinostart 0.00337724367097	fingerspitze 0.00300049519569	spider 0.0021353619582
topic380	position 0.504382156001	stürmer 0.0851253749061	geschick 0.0346324504133	vermittler 0.0307748283739	spielzug 0.0220511440361	durchblick 0.0218324284612	einschätzen 0.0216106686338	stramm 0.0192415395169	clean 0.0171004049157	bedrängnis 0.0166374127386	durchwachsen 0.0155489299297	fehlentscheidung 0.0154554253453	prallen 0.0138432008421	gestanden 0.0132849083943	spielaufbau 0.0104611818071	entgegensetzen 0.00980540825291	wirbeln 0.00888562140768	gelernte 0.00795557229501	besetzen 0.0077504061225	herhalten 0.00702918811451	lenken 0.00634822472588	hausgerät 0.00627493003526	totalausfall 0.00616803346064	couragiert 0.00612022417748	verdrehen 0.00572641047791
topic381	veranstaltung 0.217226241827	finden 0.0864847691192	rahmen 0.0547524482694	event 0.0518168094949	motto 0.0490827739891	diesjährig 0.0409327058283	stattfinden 0.0340324459289	veranstalten 0.0289254865447	organisieren 0.026447485238	stehen 0.0181757784565	punk 0.0166387375771	zahlreich 0.0154501079901	präsentieren 0.010971049976	teilnehmerzahl 0.00969656451994	offiziell 0.00943409692079	auftakt 0.00869848447841	traditionell 0.00843873324344	stellen 0.00816001645914	vorfeld 0.00784243378505	vertreter 0.00750919650447	räumlichkeit 0.00714629260843	gelungen 0.00709998314571	alljährlich 0.00704270814638	teilnahme 0.00701582424888	mal 0.00674525860562
topic382	geschenk 0.290423463407	garantiert 0.0818991116976	verschenken 0.0742829118237	spielzeug 0.0552637082498	ausgefallen 0.0531240790921	weihnachtsgeschenk 0.0259790452091	erschwinglich 0.0249789627913	rundschau 0.0238442143863	geschenkidee 0.021305689437	passende 0.0208425691373	aufbereitet 0.0181771890839	hinterhof 0.017963620319	kabarett 0.017719670312	finder 0.0163555487109	bauprojekt 0.0155893500215	anlass 0.0143809159032	met 0.0135404135082	berufsstand 0.0127588898433	einspeisevergütung 0.0126228029375	entscheidungsprozess 0.0121026165767	kokain 0.0117459772874	operette 0.0106069468797	hundeforum 0.00896924257671	winterhalbjahr 0.00800893365573	blauäugig 0.00764728423347
topic383	ware 0.0610110999485	verkäufer 0.0351517654062	käufer 0.0227489911679	zahlung 0.0156870982511	mangel 0.0150851352777	vertrag 0.0135441638103	lieferung 0.0134375932156	gelten 0.0132522046982	schriftlich 0.0127706519056	recht 0.0121230856411	klausel 0.0120032778568	vereinbart 0.0111546692301	kaufpreis 0.011004136898	haftung 0.00992635234418	unwirksam 0.00992088284913	sache 0.009182858498	verbraucher 0.00915600218568	geschäftsbedingung 0.00865204659695	lieferzeit 0.00859774810255	tag 0.00854859761942	übergabe 0.00803692865067	bestellt 0.00795076712364	vertraglich 0.00792822717633	kaufvertrag 0.00769087354977	geliefert 0.00757643131472
topic384	bauen 0.277750935267	bau 0.127901016831	plan 0.0618898695156	architekt 0.0551303300942	architektur 0.0551146800854	turm 0.0516575886126	fertig 0.0432430268508	großraum 0.0260935891543	bauwerk 0.0200961309403	gebaut 0.0181512097556	entwurf 0.015052856597	wolle 0.0129691925751	hochhaus 0.0125287540786	bewohnerin 0.0120809807593	energieeffizient 0.0110128068859	wiederaufbau 0.0107733673355	würzburger 0.00993213113667	gelinkt 0.00946847461073	fünfziger 0.00899280313216	schall 0.00898323495188	entstehen 0.00783371737926	landesmeisterschaft 0.00738142114388	beschreiten 0.00714684196017	korrektheit 0.00697830927197	asymmetrisch 0.0064531330136
topic385	mobil 0.133291747317	nutzer 0.0813008099653	app 0.0574222005369	smartphone 0.0453519587271	entwickler 0.0375519272791	feature 0.0331120361442	tablet 0.0239351668507	enterprise 0.020919712946	applikation 0.0186908271765	anwendung 0.0161246802258	nutzen 0.0142004835145	kostenlos 0.0129404171124	neu 0.012767788276	bieten 0.012754293861	geben 0.0124116355266	gerät 0.0119782905311	endgerät 0.0119590443183	erst 0.0117478067519	version 0.0117145197201	web 0.011706036966	verfügbar 0.0105318299072	nutzbar 0.00956271431453	synchronisieren 0.00881855322667	nutzung 0.00873077742351	erhältlich 0.00797010904542
topic386	galerie 0.141566538076	präsenz 0.10039798031	behindern 0.0668357216556	provisorisch 0.0532985113398	abgebildet 0.0469835122759	tragbar 0.0431253693111	aufgeschlossen 0.0343888795159	sitte 0.0334306477292	beat 0.0331955636234	lebenswert 0.0329987823133	votum 0.0295294680527	grat 0.0269662640441	ansporn 0.0256726221219	volksfest 0.0254622697158	navigieren 0.0241546528901	übergeordnet 0.0205384082307	unterbieten 0.0204371515374	behindertengerecht 0.0192186614136	eintretend 0.0183288810282	paderborner 0.0179505861234	eckdatum 0.0176031180647	stadtgrenze 0.0157364429233	freizeiteinrichtung 0.0126186448317	kroate 0.00985548683286	unterhaltungswert 0.00945884811318
topic387	katze 0.188266947407	riechen 0.0395456599205	duft 0.0343608427237	nase 0.0343099889988	tierheim 0.0328665750762	kater 0.0269188369371	geruch 0.0260457462383	fell 0.0252562152964	tierarzt 0.020876595402	frauchen 0.0169243806244	pfote 0.0159527771765	kissen 0.0139006361156	herrchen 0.010678066655	spazieren 0.0101853086408	zuhause 0.00938019658713	süß 0.00874246785204	kätzchen 0.00822335250214	kralle 0.0079800917779	lieb 0.00793078212053	verträglich 0.00768153246331	swing 0.00754112346704	schnuppern 0.00753649055861	hundebesitzer 0.00753546392651	kitten 0.00729013970248	ohr 0.0070810910925
topic388	international 0.541988577026	national 0.129077393373	konferenz 0.0635662695287	kongress 0.0489293830656	weltweit 0.0425114415985	welt 0.0179165531955	sperrung 0.0165149379502	organisation 0.0142345532357	vizepräsident 0.0120348461543	konvention 0.0116709041629	unterrichtsstunde 0.0108309967403	atomwaffe 0.00855296201644	diskriminierend 0.0059469153452	vorschlagen 0.00546151672619	ostseeküste 0.00428827088977	vulkanausbruch 0.00412828572982	einbettung 0.00369246595186	atomar 0.00342513717172	friedensnobelpreis 0.00311631692061	entscheidungsträger 0.00292445093361	nichtregierungsorganisation 0.00287077084613	wiki 0.00282390447071	eröffnungsrede 0.0026152331542	nuklear 0.00251435059749	expandieren 0.00250186439417
topic389	schweizer 0.22249238079	veröffentlichung 0.162697633487	herausgeber 0.100629450735	publikation 0.0943819658133	leipziger 0.0581439816531	journal 0.0354458767031	leitfaden 0.0346596158341	fachzeitschrift 0.0295196767412	veröffentlicht 0.0270267891497	detaillieren 0.019341755067	prestige 0.0164702524967	unternehmensberater 0.0120749431357	wiedergutmachung 0.0119261147	französische 0.0114486442248	kundig 0.0095542338686	kommunikationstechnik 0.0092934990863	internationalisierung 0.00851724052599	publiziert 0.00826615947212	bildungsabschluss 0.00757696481524	sonderheft 0.0074871649679	directory 0.00701708546795	angeführt 0.00700046276936	plädoyer 0.00677795064855	islamistisch 0.00672426828441	aufgreifen 0.00623564721868
topic390	broschüre 0.0860093705197	ofen 0.0595360224673	zucker 0.0462305806523	saft 0.0420880202107	formen 0.0406071511323	schälen 0.0363602674682	streichen 0.0324505630158	portugiesisch 0.0298181969698	würzen 0.0293153352688	hybrid 0.0287181512927	backe 0.0263217194023	topf 0.0263107332429	zerlegen 0.0238286579879	kakao 0.0183758011778	vermischen 0.0164228576519	substrat 0.0152287729859	abziehen 0.0149274111004	mandel 0.0146783186996	glut 0.0143815305039	zimt 0.014175230307	deftig 0.0141394643799	quellen 0.0140960798431	falke 0.0128695146257	gehackt 0.0119610154242	spieldauer 0.0107147676326
topic391	alt 0.643409989113	alter 0.0892255489759	generation 0.0552121029937	senior 0.0386486156723	alte 0.018132772617	diakonie 0.01201725144	progressiv 0.0116084967641	ältere 0.010779965742	lebenserwartung 0.00893205923321	diakonisch 0.00888726731467	jung 0.00766123157956	altersgruppe 0.00750157800835	altenheim 0.00691479209921	jüngere 0.0065356777229	nennung 0.00651510837132	jahr 0.00602112420396	vermittelnd 0.00573136238299	seniorin 0.00541730664474	wohnheim 0.00404548013243	steckbrief 0.00397295324625	pflegekraft 0.00375602594398	tagesablauf 0.00331608113893	zeitweise 0.00271224469313	gewohnt 0.00223559198106	augenmaß 0.00209068890365
topic392	erfolgen 0.0914658044242	erhalten 0.0870575733198	möglich 0.0332659484381	rechnung 0.0300501110204	beachten 0.0226028792201	gültig 0.0218907560081	gelten 0.0214715255555	zusätzlich 0.0202869903512	direkt 0.0194181402314	ablauf 0.0172340180688	entsprechend 0.016727604951	jeweilig 0.0164638901683	weit 0.0145408699375	kosten 0.0129605919661	angegeben 0.0122606166583	möglichkeit 0.0109003419945	erforderlich 0.0103520186892	automatisch 0.0102344048431	bestehen 0.0101581634013	betragen 0.00995437101531	benötigen 0.00987027763133	angabe 0.00873217741758	verfügbarkeit 0.00844501050946	maximal 0.00836314055464	zeitraum 0.00790340625987
topic393	medium 0.351194477091	fernsehen 0.0626318138273	presse 0.0590757894906	redakteur 0.0288586330558	berichterstattung 0.0288112387329	kommunikation 0.0272803896192	tageszeitung 0.0243625581568	öffentlichkeit 0.0229234504905	rundfunk 0.0213207528142	journalistisch 0.015686767325	medial 0.0148710361705	journalist 0.0137589416163	chefredakteur 0.0134096697795	recherche 0.0104964407985	öffentlichkeitsarbeit 0.0102172684785	spiegel 0.0101847949799	schlagzeile 0.0094711409551	kompanie 0.00911091018341	berichten 0.00866915534598	saarländisch 0.00759605904464	geisel 0.00696684401096	massenmedium 0.00666271531709	öffentlich 0.00616576938053	informationsangebot 0.00491873052166	titelseite 0.00455510535225
topic394	gebühr 0.152073413208	schnee 0.145705547287	richtlinie 0.131660842996	amtlich 0.0607689204092	sachverständige 0.0524533745558	piste 0.0469623858288	ski 0.036803597926	skigebiet 0.0273161464733	kundin 0.0212224872915	begutachtung 0.0200463208111	auslage 0.0199615065139	schlitten 0.0185690923368	dieselmotor 0.0143390183165	bekanntmachung 0.0134837435503	einkehr 0.0108941044533	tagestour 0.0107984116059	südseite 0.00948816203495	angefangen 0.00936458215922	bemessung 0.00934992766192	nordseite 0.00914312530128	hotelier 0.00886709985068	caravan 0.007859745554	beiderseitig 0.00768771747486	beleuchtet 0.0075273382178	erleichtert 0.00722050940133
topic395	video 0.327701035143	game 0.094995661181	demo 0.054700994387	xbox 0.0374879403344	grafik 0.0291896414567	zocken 0.0259741214911	trailer 0.022260136499	version 0.0210655117864	live 0.0199999998902	online 0.0190816816124	release 0.0133581635689	anschauen 0.01288931007	entwickler 0.0125190779287	nintendo 0.0107905304592	gamer 0.0105763964	tube 0.00929043853701	videoclip 0.00927504438988	sound 0.0085367216962	multiplayer 0.00791043195065	loslegen 0.00781477268788	teil 0.00769666259301	level 0.00751714383406	zeigen 0.00658859847277	erscheinen 0.0063454393095	hauptspeicher 0.00594230257193
