topic0	intern 0.239484975317	sperren 0.0527377663754	klinikum 0.0406459347849	sperre 0.0385961572507	freigeben 0.0337921961521	heidelberger 0.0260115725237	touchscreen 0.0242914141708	memory 0.0240189468173	nokia 0.0237664681216	verlegen 0.0229396612029	kies 0.0205938734228	editorial 0.0180266538965	dicke 0.0177676099026	speicherkarte 0.0167245921903	mitbewerber 0.0159649408145	anfangszeit 0.0143081743988	schreibend 0.0136930558746	eingabefeld 0.0133623884308	lesend 0.0120979203411	privatleute 0.0110862821355	sortiert 0.0103372261536	ambulanz 0.0102915120182	verfuegung 0.00995531732395	überprüft 0.0097918772061	gemeinschaftsprojekt 0.00963115893689
topic150	laufen 0.0856455031947	training 0.0520905094662	schnell 0.0322124041932	zeit 0.0307138059938	minimal 0.0295165010636	lauf 0.0286399323672	trainieren 0.0254051475588	ziel 0.0237063268907	lang 0.0218118323877	minute 0.0213082758232	gut 0.0181984793029	woche 0.0181865567171	stunde 0.0158347996333	machen 0.014250086816	schwimmen 0.0134604125023	fit 0.0123632319172	strecke 0.0121291466306	tempo 0.00954989714099	kurz 0.0093123245869	langsam 0.00930298889581	fitness 0.00918878922913	gehen 0.00894239600028	sport 0.00835882417408	kilometer 0.00790359671771	spaß 0.00749072611122
topic151	sozial 0.029105228619	entwicklung 0.0236571986963	bereich 0.0156114531865	projekt 0.0147792194205	ziel 0.0146949597922	förderung 0.0137561850649	rahmen 0.010892888999	bildung 0.0103891230579	konzept 0.00913936798785	thema 0.00772307926335	kompetenz 0.00763429703592	fördern 0.00751322376486	schwerpunkt 0.00710524999746	integration 0.00699284907494	zentral 0.00667628989687	unterschiedlich 0.00664020108125	verschieden 0.00609393416727	grundlage 0.00600034556412	ansatz 0.00550324877915	institution 0.00542649094717	angebot 0.00542573879354	perspektive 0.00513430934444	beitrag 0.00509513629594	öffentlich 0.0050535530753	gesellschaftlich 0.00498998418746
topic152	polizei 0.0677212369313	opfer 0.0296854618375	täter 0.0258140204883	fall 0.0237687768404	polizist 0.0176214156011	mord 0.0136824094313	zeuge 0.0133616502708	schwer 0.013129609442	tat 0.0126153033639	angeklagte 0.0119587657862	beamter 0.0118038784866	ermittlung 0.0111092872489	jahr 0.0106903644512	staatsanwaltschaft 0.0102242096244	kommen 0.00997739948131	gefängnis 0.00951628531507	weit 0.009418539465	strafe 0.00860017271289	mann 0.0083634710272	straftat 0.00820696713972	verbrechen 0.00813224248112	verdacht 0.00744687688357	vorfall 0.00701029219	unbekannt 0.00696601514773	hinweis 0.00623526502553
topic153	motor 0.0584308303999	fahren 0.0492013263471	rad 0.0348062716644	liter 0.0241209639885	schnell 0.0181937531758	geschwindigkeit 0.0172998690847	kurve 0.0169777545392	gang 0.0160493159637	bremse 0.0134356012163	tank 0.0130375601787	diesel 0.0117851953984	fahrer 0.011343921199	getriebe 0.0111892144895	benzin 0.0109527150453	reifen 0.0104605998862	strecke 0.0104367526493	kommen 0.00966229192534	kilometer 0.00962728464865	rennen 0.00887962595124	bremsen 0.00809328960684	antrieb 0.00790440305032	verbrauch 0.00783148269994	hoch 0.00768480523401	navi 0.00748442299574	autofahrer 0.00735707921126
topic154	kanal 0.131764818126	sendung 0.110973897579	sender 0.0942690261366	mini 0.0722581468745	waschmaschine 0.0392721449586	spot 0.0391332474714	receiver 0.0305465222075	kassette 0.0153574515486	senden 0.0147124799774	baubeginn 0.0144238624061	vermittelnd 0.0140634016515	partnerstadt 0.0123878916133	kabeln 0.0123340230104	kunstverein 0.0112904604837	mülltonne 0.0108287819941	eingeschaltet 0.0101775017816	dachgeschoss 0.0101241418738	dienstagabend 0.00994352782582	unfallstelle 0.0094804192885	städtepartnerschaft 0.00914231818881	einschalten 0.00908164637996	bestücken 0.00855180065838	dämpfen 0.00802069278705	parzelle 0.00796501006493	trockner 0.00751862458662
topic155	teil 0.0277869574068	ventil 0.0179031404454	neu 0.0177670644192	lassen 0.0138963900715	passen 0.0127563307179	bauen 0.0124980509113	loch 0.0101903947373	klein 0.0101585184151	schraube 0.00996045643613	sehen 0.00981507028171	scheibe 0.00965053347581	komplett 0.00835047202054	groß 0.0071362871803	einfach 0.00700194625383	feder 0.00697781164525	fertig 0.00688297618748	rahmen 0.00683178142942	dichtung 0.0065933678134	hinter 0.00608187666715	modell 0.00600612280927	umbau 0.00583619108243	original 0.00582989320029	gut 0.00567599129769	lack 0.00562699398173	nehmen 0.00557351148488
topic156	türkisch 0.0185345861468	politisch 0.0175134835382	kultur 0.0143481460763	islam 0.0121186472335	deutsch 0.0117953123884	nazi 0.011597921677	ausländer 0.010931989722	islamisch 0.0101989465857	land 0.0101770584041	deutsche 0.00998511744355	gruppe 0.00994512140629	flüchtling 0.00974778087638	recht 0.00945131154856	geschichte 0.00887375667447	volk 0.00843961755723	menschenrecht 0.00794384744159	geben 0.00778409994182	mensch 0.00727294020185	religiös 0.00723072405887	türke 0.00708094417227	bundesrepublik 0.00705238413611	minderheit 0.00701339041896	rassismus 0.00691022098448	gesellschaft 0.00680290724286	kulturell 0.00648351013007
topic157	klicken 0.0526041717544	suchen 0.0439580006147	suche 0.0417736306569	adresse 0.031374641528	mail 0.030304615321	finden 0.0286844329771	melden 0.0268965829146	bitten 0.0265256306069	liste 0.0240654387458	erhalten 0.0237055255176	nachricht 0.0234206545949	senden 0.0231266231972	einfach 0.0221690689664	info 0.0206502558466	schicken 0.0198614303148	formular 0.0179792338625	button 0.0163757540059	weit 0.0148602451436	anfrage 0.014496544344	direkt 0.0123589578419	meldung 0.0100164837691	telefonnummer 0.009155301524	gewünscht 0.00889640924062	hinweis 0.00883279009669	entsprechend 0.00765180979054
topic158	zeichen 0.23724811357	methode 0.136330216371	symbol 0.0923223028347	buchstabe 0.0859122884746	aufruf 0.0561040378473	base 0.0288741673912	string 0.0244423628928	ziffer 0.02205964445	prozedur 0.0140157750711	alphabet 0.0124903256256	gebräuchlich 0.0106603920902	altersheim 0.0106393250884	zusammenfassen 0.0105193792668	symbolik 0.00892673045953	hautkrankheit 0.00782219170774	ökumene 0.00708883370261	schriftzeichen 0.00701984073328	voreingestellt 0.0068463409607	hauskatze 0.00673364445985	angefangen 0.00649900173314	bereinigen 0.00626466753806	kirchengeschichte 0.00622496849091	lokalisieren 0.00620935956647	konvertierung 0.00610139069026	assoziiert 0.00591856943091
topic159	gut 0.0313052351033	lassen 0.0162495136436	bleiben 0.0158534130528	scheinen 0.0151770650147	schlecht 0.0132942715711	schnell 0.0111407769038	recht 0.0106381061283	kommen 0.00914566194914	hart 0.00910946446295	völlig 0.00908306334254	machen 0.00875936202687	letzt 0.00871927814733	langsam 0.00763983355104	gehen 0.00757172928915	schwer 0.00596840403182	stark 0.00574815429923	richtig 0.00564823869961	fallen 0.00536979157426	deutlich 0.00531439009215	klar 0.00514655241434	wirklich 0.00506984167321	leicht 0.00488317470866	einzig 0.00484021839078	fehlen 0.00474420333133	schwach 0.00466422516672
topic160	wasser 0.121337750729	boden 0.0185852694044	becken 0.0150704183017	luft 0.0117161689991	liter 0.0108866738736	gut 0.0105414423959	groß 0.0102831793328	hoch 0.00920479007942	lassen 0.0089866296279	sand 0.00893592921309	filter 0.00807990931355	oberfläche 0.00796809890431	schnell 0.00795096885718	aquarium 0.0075470924265	kommen 0.00738997537823	stark 0.00703745101689	trinkwasser 0.00668299448299	staub 0.00658148600969	entstehen 0.00652476431634	flüssigkeit 0.0064369325517	klein 0.00574136250867	sauber 0.00553707453345	mineral 0.00553302358579	menge 0.00551686071283	bilden 0.00519161373484
topic161	team 0.0524830439218	gewinnen 0.0353408409241	runde 0.0253183861128	sieg 0.0195849222832	gut 0.0175129838055	turnier 0.0146168113461	punkt 0.0145231325702	gehen 0.0121163480356	geben 0.0121089081145	finale 0.0116792838711	jahr 0.0111272556521	groß 0.0108579016748	junior 0.00963187275662	letzt 0.00942016914669	stehen 0.00930851807911	sieger 0.00894074676207	zeigen 0.00751905432297	spieltag 0.00719925823032	kampf 0.00689715660059	erfolg 0.00685496624417	kommen 0.00681219154139	knapp 0.00643446794169	siegen 0.00607038273892	stark 0.00588151581877	holen 0.00579630721511
topic162	bus 0.225132903144	überschaubar 0.0477992140705	begleiter 0.0432106848233	hengst 0.0380994082525	angemeldet 0.0299581236385	abonnent 0.0238060038621	abflug 0.0202554635511	lippe 0.0202516913412	abonnement 0.0193238838035	vielfach 0.0169755838669	stylisch 0.016331845702	lebensgefühl 0.0147386570053	verarbeitend 0.0140792829541	schwungvoll 0.0132513336466	trab 0.0127477740709	ausläufer 0.0126706007575	schenke 0.0125082364125	mühevoll 0.0124833125886	fachkenntnis 0.012173047012	wetterbedingung 0.0117447874046	windmühle 0.0117304798525	einfinden 0.0116408644245	hochinteressant 0.0114687871924	zugfahrt 0.0108766188886	chilenisch 0.0107937719459
topic163	euro 0.252423451027	kosten 0.0928444996355	monat 0.0399031313859	zahlen 0.0331067219253	preis 0.0209672642013	bezahlen 0.0192511781701	geld 0.0171709791519	jahr 0.0165114990207	gebühr 0.0162357599673	monatlich 0.0158376283984	cent 0.015105009081	höhe 0.0146739310059	erhalten 0.0138148786956	teuer 0.0120640182073	betragen 0.0113663108785	geben 0.0106286054207	zusätzlich 0.0104362576841	betrag 0.0104100135384	gelten 0.0094331837594	bekommen 0.00820739702621	maximal 0.0081727430033	weit 0.00671784431321	kosen 0.00632765638137	prämie 0.00614125440005	fallen 0.00548605121284
topic164	wert 0.0297390890479	geben 0.0288420263331	beispiel 0.0237797785792	gleich 0.0171098212611	bestimmt 0.0163504970002	genau 0.0137663997708	groß 0.0130718594976	verschieden 0.0130694256868	fall 0.0130491395337	unterschiedlich 0.0125348471356	liegen 0.0104701865516	unterschied 0.0103800459386	einzeln 0.010140103049	anzahl 0.00996140718411	bedeuten 0.00964468533398	punkt 0.00918931461698	heißen 0.00882565008292	gelten 0.00847605971754	handeln 0.00787710011516	unterscheiden 0.00780515322757	bestehen 0.00739589198169	folgend 0.00736084640968	entsprechen 0.00706342256478	regel 0.00682793066733	entsprechend 0.00676782096583
topic165	leben 0.0220032597204	mensch 0.019646113853	welt 0.0169525702298	kraft 0.0155834296052	zeit 0.0129715991462	geist 0.0126545108402	seele 0.0118473079023	weg 0.0108914707942	geben 0.0105449337223	gedanke 0.0101613936402	inner 0.00982342401454	wissen 0.00944737111388	körper 0.00871712850851	eigen 0.00856072602845	ding 0.00827013300888	gefühl 0.00742100123573	wesen 0.007409413405	natur 0.00667037775045	erde 0.00657227731045	neu 0.00618129501266	geistig 0.00608613120297	tief 0.00577103593816	licht 0.00561845988467	erkennen 0.00556672337271	energie 0.00555006239569
topic166	platz 0.223387444355	start 0.0461359937672	rennen 0.040762194811	belegen 0.0258170273626	meter 0.0246676609284	rang 0.0244681736759	jahr 0.0234267327189	läufer 0.0232803813161	gut 0.020354482966	erreichen 0.0182636686687	sportler 0.0171465099214	olympisch 0.0162257170426	wettkampf 0.0158505502072	starten 0.0135829693387	erfolgreich 0.0135433711873	sportart 0.013488805975	sportlich 0.0112128215711	altersklasse 0.0111080206412	sekunde 0.0106802703843	leistung 0.0104252738261	ziel 0.0101541992274	plazierung 0.00965449493976	medaille 0.00915371162062	disziplin 0.00914992627246	deutsch 0.00909406519761
topic167	ostsee 0.0805264531284	sicherung 0.07982538955	dänisch 0.0555339299884	trauung 0.0410603614163	kürzen 0.0374935540192	kai 0.0309949827539	freizeitpark 0.0197336791341	zitronensaft 0.0195933760379	skandinavisch 0.0192921720657	heilpraktiker 0.0190756876686	schaufel 0.0184385081475	nordsee 0.0174334617022	klassifikation 0.0169499825764	vollendet 0.0156266333557	hauptaugenmerk 0.0155815366741	geschirrspüler 0.0154513819312	wrack 0.0146538727731	spezialgebiet 0.0136846262166	auslieferung 0.0134842984392	nachtleben 0.0126757293946	pfahl 0.0119586743737	bannen 0.0119459360892	bauanleitung 0.0117771792838	höchstpersönlich 0.0115122752999	wasserstand 0.0114552691266
topic168	kunstwerk 0.0645736099437	malerei 0.0539041814742	skulptur 0.0400243956821	maler 0.0375780688158	premiere 0.0350403638886	bonner 0.0307855760748	leinwand 0.0280623743533	trunk 0.0247127444454	salon 0.0246285292449	faszinieren 0.0231147832355	fünf 0.0226663154029	gemalt 0.0203199208891	diskret 0.0193807010826	kunstgeschichte 0.0191734413185	malen 0.0159906601974	gesandt 0.0154299126968	detektiv 0.015373481747	persisch 0.0135540301499	zollen 0.0134689766703	volkswagen 0.013276547805	esoterisch 0.01325415977	pflegestelle 0.0125433651881	tribut 0.0119408624585	funk 0.0115109209735	enthüllen 0.0113816674036
topic169	stadt 0.506611286129	rathaus 0.0341768598768	stadtteil 0.028621594383	städtisch 0.0246075067533	innenstadt 0.0212019780442	einwohner 0.0211718127276	bürgermeister 0.0210360068957	bürger 0.0207374213748	straße 0.018982501707	oberbürgermeister 0.0182305597326	stadtrat 0.0161714133107	öffentlich 0.01343422476	großstadt 0.0125189278215	zentrum 0.0101073766756	ruine 0.0100202551805	hauptstadt 0.00845227171247	metropole 0.00789975469911	australisch 0.00765799136269	marktplatz 0.00764056742008	verkehrsmittel 0.00756895220832	rat 0.0072818137947	freiburger 0.00690228145524	viertel 0.00684461093846	wohnen 0.00684201045611	city 0.00650055338824
topic170	stoff 0.0465876181458	verbraucher 0.0408292208272	produkt 0.0394454292558	enthalten 0.038855355424	lebensmittel 0.0351734701438	menge 0.0305982660631	natürlich 0.0280958229414	chemisch 0.0260796997103	biologisch 0.0227904649766	verpackung 0.0199968576258	handel 0.0188106496089	creme 0.0161335164373	substanz 0.0142775290655	konsument 0.0135814467036	bestandteil 0.0133983649149	wirkstoff 0.0113465935113	etikett 0.0104858032471	vitamin 0.00951718822107	supermarkt 0.00811327978874	qigong 0.00767839795523	verwendung 0.00760807702568	essentiell 0.00757794861394	inhaltsstoff 0.0075200177036	produktion 0.0075085829693	chemikalie 0.00739982850022
topic171	bundesamt 0.0783875754665	anhang 0.0728739615851	wohnort 0.067110478326	stockwerk 0.0427178894654	schein 0.034509745965	bulle 0.0337085743971	spital 0.0331725336855	gebot 0.0316233593105	roh 0.023735309664	skyline 0.0209580890489	elft 0.0200281466276	einstufung 0.0183763828338	ausgelegt 0.0178841575415	freistehend 0.0171059958452	kaktus 0.0164071175932	wartend 0.0153822173382	führungstreffer 0.0141759546237	finish 0.0137856955628	erfolgsaussicht 0.013082872649	ungefährdet 0.0127930439589	rune 0.0126515841878	lausitz 0.011972449155	einwechslung 0.0112936587883	bestatten 0.0111980735306	peripherie 0.0109270037231
topic172	knoten 0.0562623346519	achtziger 0.0245526792403	siebziger 0.0235519119289	nebel 0.0224259505566	riff 0.0221756993107	gespür 0.0172046451342	neunziger 0.0159356854488	prise 0.015728057852	ikone 0.0149847311969	erkannt 0.0147141205809	lauern 0.0146164051341	vorführen 0.0144930348521	ausgestellt 0.014334381647	bündel 0.0138638588383	sense 0.0134848089295	mentor 0.0133436963089	familienname 0.01297234707	kenner 0.0128764956043	stiften 0.0115725859046	rundschreiben 0.0111019030182	belebt 0.0104632362039	erlebt 0.0100604181331	sternenhimmel 0.00984746748101	arg 0.00925208378556	redner 0.00868089384668
topic173	möglich 0.0323542700594	entsprechend 0.0292630426264	erfolgen 0.0236945592808	verfügung 0.0224840464387	regel 0.0211785709054	notwendig 0.0208077067304	möglichkeit 0.0194893288501	vorhanden 0.0184309792151	erforderlich 0.0172325124717	bestehen 0.0145264131676	bereich 0.013663972652	zusätzlich 0.0135646987796	stellen 0.0125804565221	einzeln 0.0123185480165	stehen 0.0122670983147	weit 0.0119201681546	anforderung 0.0115030292899	jeweilig 0.00921413968177	rahmen 0.00892267124072	wichtig 0.00834514866106	ausreichend 0.0081478075607	sinnvoll 0.00774661453368	besonder 0.00765854286407	grundsätzlich 0.00765228446489	geeignet 0.0076147959147
topic174	zutaten 0.0945974939868	süd 0.0619102548506	matrix 0.0425666178615	mahnung 0.035637507314	abkühlen 0.031366145754	drink 0.0294527404765	gans 0.0290680714975	unproblematisch 0.02783069394	resolution 0.0271795340852	kontingent 0.0247542517921	steig 0.0230920798495	auffüllen 0.0211517767983	straff 0.0195241376485	lateinamerikanisch 0.0188668585284	unkraut 0.0173986234738	besen 0.017058383136	falte 0.0152471473208	neuron 0.0134979141323	heterosexuell 0.0134018596424	bonbon 0.0132357287245	multinational 0.012675434505	stachel 0.0126331835662	vermengen 0.0121648444204	baldig 0.0121585532316	mähen 0.0120653406311
topic175	haus 0.202975811555	wohnung 0.0943300424037	wohnen 0.0589069774357	mieter 0.0350007169702	vermieter 0.026158526102	bewohner 0.0248173430093	nachbar 0.0199768845856	immobilie 0.019414941709	sanierung 0.0160164988027	umzug 0.0159863559281	miete 0.0156113949329	grundstück 0.0145316409398	keller 0.0132345648693	eigentümer 0.0125879906627	bauherr 0.0125235742383	mietvertrag 0.0090793338065	wand 0.0089132451806	baulich 0.00826673735535	jahr 0.0071660370738	eigen 0.0069219436758	objekt 0.00636495353154	umbau 0.00625394228417	gehören 0.00517698394952	zuhause 0.00517392390008	nachbarschaft 0.00515137878027
topic176	stück 0.590364766159	verkehr 0.0392779535887	alp 0.0273161120709	symposium 0.0198551480196	tourismus 0.0183549598261	idyllisch 0.0163087380153	galle 0.0162507784254	fahrplan 0.0151297676467	mobilität 0.0139358950704	kurzarbeit 0.0110636727345	pharma 0.00973915611437	güterverkehr 0.00845941926861	echo 0.00777102049782	schifffahrt 0.00773971088181	destination 0.00743906277251	privathaushalt 0.00705316140381	regierungsbezirk 0.00644928981992	laben 0.00589262937908	landesgrenze 0.00582435752546	redakteurin 0.00581403183828	personennahverkehr 0.00579714009714	länderübergreifend 0.00557762154308	verkehrsweg 0.00522418387849	anbindung 0.00498391589677	personenverkehr 0.00495696604851
topic177	energie 0.13342797534	nachhaltig 0.0419104599597	umwelt 0.0394433301923	ökologisch 0.0389931652123	erneuerbar 0.0223777561673	strom 0.0208794232857	nachhaltigkeit 0.0190871565505	rohstoff 0.0190640077954	energiewende 0.0150768309934	kraftwerk 0.0149248076721	erneuerbare 0.0138236215633	nutzung 0.0129906291152	umweltfreundlich 0.0128990717709	ressource 0.012337883435	stadtwerk 0.0116738494834	ausbau 0.0107547943677	energieversorgung 0.0104454794677	energieeffizienz 0.0100555177436	energetisch 0.00982401927907	regenerativ 0.00927255068167	zukunft 0.00924869905158	kohle 0.00802476769209	netz 0.00793394480017	alternativ 0.0076043760796	biomasse 0.00700883468861
topic178	abfall 0.0766621554297	transport 0.0749671583998	behälter 0.0456627758229	handwerklich 0.0450139304761	quartier 0.0440682648504	übernahme 0.0348578591181	schacht 0.0330666207825	zerlegen 0.0270943912682	grube 0.024042459721	abbau 0.0225855877496	lagerung 0.0219147411396	kessel 0.0212063349422	bergwerk 0.0202260058525	vorig 0.0199036575039	aussprache 0.0193092911144	lagern 0.0187155010068	aufschrift 0.017420677206	bürgermeisterin 0.0166107777418	kabinett 0.0160684653366	äther 0.0156062324141	rosengarten 0.0154733402609	geschick 0.015221871585	eingestellt 0.0115345229231	fortführung 0.0110499212763	justizminister 0.0105586004188
topic179	artikel 0.123295090968	blog 0.062708649925	video 0.0380097422237	kommentar 0.0329175910161	schreiben 0.0207864013064	neu 0.0203445643024	thema 0.0199557794157	geben 0.0185469745602	interessant 0.0162002812079	beitrag 0.0157075520039	finden 0.0146093712671	lesen 0.0138587980107	leser 0.0123713860625	eigen 0.011841809159	blogger 0.010526617473	tag 0.010206683832	inhalt 0.00808454596731	meinung 0.00748940849019	veröffentlichen 0.00735584148131	kommentieren 0.00710725482359	link 0.0065133904934	bloggen 0.00636793960188	site 0.00608288164345	aktuell 0.00596276229781	kurz 0.00539183886395
topic180	musikalisch 0.0322750089238	chor 0.0274064129102	instrument 0.0255095591432	note 0.0211340914314	komponist 0.0178214780679	orgel 0.0168861678331	klavier 0.0142247580777	orchester 0.0140325759989	komposition 0.0134348978674	zuhörer 0.0130683539802	stück 0.0128188097952	konzert 0.0113518429863	ensemble 0.0108387642829	groß 0.0107140914497	programm 0.00959279393448	takt 0.00938986442712	sänger 0.00881129779863	leitung 0.008335603686	repertoire 0.00815299687496	nürnberger 0.00741660043102	musiker 0.00725428648486	publikum 0.00715143872335	rhythmus 0.00682889443533	trio 0.00651251599851	ton 0.00645083749443
topic181	band 0.0738506623774	auflage 0.0647864298687	abbildung 0.0524288433925	gut 0.0455804681064	verlag 0.0385378784372	exemplar 0.0362287558187	isbn 0.0287303834528	herausgeber 0.0258585419491	zustand 0.0245721722846	zahlreich 0.0225242742551	leicht 0.0218481656918	tafel 0.0171687931543	gebunden 0.0161128525905	herausgegeben 0.0139424981532	farbig 0.0131998344302	neu 0.0111938411298	reihe 0.0107933260169	gewerbegebiet 0.00958381021278	heft 0.00939842864453	einband 0.00879759811623	text 0.00857930694938	lexikon 0.00838128335129	geschichte 0.00823560447943	original 0.00809098892833	beitrag 0.00802237909749
topic182	meinung 0.0161641547942	aussage 0.0142995116543	frage 0.0141641164051	punkt 0.0140345592465	diskussion 0.013062238508	kritik 0.0116559706233	grund 0.0108655504982	sehen 0.010829597038	klar 0.0106933265224	geben 0.0106030860373	problem 0.0103707539792	argument 0.00923365426269	positiv 0.0090135794189	sicht 0.00849689439397	deutlich 0.00834580322848	bleiben 0.00831719267637	weit 0.00829107583027	lassen 0.0082278172348	kritisch 0.00764814618597	negativ 0.00742218353479	gehen 0.00675309944563	stellen 0.0060691787306	halten 0.0058521331722	situation 0.00579033186316	entscheidung 0.00575989813606
topic183	hand 0.320519049405	kopf 0.0759426795357	finger 0.039036383383	helm 0.0334246353206	ohr 0.0283313887631	bogen 0.0248003529508	tuch 0.0222919687533	hals 0.0200617482229	flecken 0.0124064066674	haarausfall 0.012104295501	spitzname 0.0103890526686	berühren 0.0100410923596	tragen 0.00969683723881	glanz 0.0091098948785	visier 0.00904642872793	ruhrgebiet 0.00799687583277	geladen 0.00753256557681	magnetfeld 0.00730608609367	filigran 0.00711973839432	zeigefinger 0.00709391832407	stoß 0.00696853111143	tracht 0.00651729008612	wachs 0.00627913531677	geübt 0.00620159281988	polieren 0.0061084652518
topic184	schwarz 0.311616949351	weiß 0.246243733375	schuh 0.0793743284858	grau 0.0441708888867	leder 0.0254671866069	schwarze 0.0169971869733	textil 0.0154107876202	tragen 0.0145010187337	stiefel 0.0113196611531	rennstrecke 0.0101055143764	blau 0.00999520929246	sohle 0.0095710476258	schaf 0.00864941195729	wissen 0.00729174867445	geschlagen 0.00720985076331	dunkelblau 0.00633632198363	weiße 0.00613226721589	rot 0.00579839203879	camper 0.00527472810246	avenue 0.00512227867563	eden 0.00503179138399	größe 0.0049610062515	zweiteilig 0.00431015068511	nachbildung 0.00423177818459	unrat 0.00400310604618
topic185	partei 0.0319323061322	grüne 0.0187080779299	politisch 0.0140643565013	sagen 0.0139296223362	bürger 0.0135052875684	bundestag 0.0117356858933	linke 0.0109157462197	politik 0.00997824389452	fraktion 0.00905039811589	bündnis 0.0089577910717	geben 0.00849595203183	abgeordnete 0.00750095674195	thema 0.00747165762487	landtag 0.00741973429492	koalition 0.00718706589453	politiker 0.00716905761483	parlament 0.00693482793126	neu 0.00688052861337	ministerpräsident 0.00680806038531	gehen 0.00672200006473	stehen 0.00645581418348	fordern 0.0063150090651	erklären 0.00619817212786	groß 0.00608559251887	machen 0.00595774699397
topic186	hotel 0.0500829918648	bieten 0.0177694021286	urlaub 0.0170607599311	park 0.0157694307613	ferienwohnung 0.0133658591287	schön 0.0124166487986	ort 0.0122290574356	unterkunft 0.0105189746686	genießen 0.0102578766542	gut 0.00965136320532	ferienhaus 0.00936121231623	finden 0.00929996755754	besuch 0.00871357384701	liegen 0.00829758427025	strand 0.00736752310188	erleben 0.00733488961508	buchen 0.00724026606151	restaurant 0.00701666097849	übernachtung 0.00657692359452	direkt 0.00648049109854	region 0.00629430812267	besuchen 0.00625288364411	pension 0.00624860932258	ausflug 0.00621326013642	geben 0.00574577696084
topic187	stellung 0.115500788567	spiegeln 0.0934135664746	musikvideo 0.0280037203348	verdeckt 0.027082357857	crack 0.0268750185937	mikro 0.0245138137804	respektiv 0.0224501031016	ficken 0.0223850563333	tönen 0.0212410204076	manifest 0.0206759019244	abgrenzen 0.0205521414142	mikrofon 0.0203287718969	vertrauenswürdig 0.0199359231424	vereinzeln 0.0194995214883	genehmigung 0.0191560028425	entzug 0.0182834437508	mimen 0.0159215432118	siegerin 0.0153093147443	untermauern 0.0147227754319	buchse 0.0143182449034	melken 0.0123475299195	gemocht 0.0121132307438	leim 0.0118487447586	reproduzieren 0.011563218558	textlich 0.0115570795652
topic188	typ 0.322901755564	verleihung 0.0370020631599	grille 0.0267055426841	fichte 0.0233498198496	gestört 0.0227164590837	garant 0.021547138204	volleyball 0.0185668513368	grat 0.0153054301843	wiesbadener 0.0151991924887	ansporn 0.0145711895701	gesundheitsförderung 0.0145164600652	regisseurin 0.0137322535688	schaukeln 0.0126789366337	wegweiser 0.0125946699241	infusion 0.0123905096718	vernissage 0.0122873130688	lungenentzündung 0.0122803914783	umschreibung 0.0120317527341	betäubung 0.0115938130324	vene 0.0112752902587	gedenkstein 0.0108336698682	blähung 0.010195094826	gattin 0.00959019893178	sachverstand 0.00955512191361	reserviert 0.00952815297965
topic189	flyer 0.0851659455795	visitenkarte 0.0390294979978	urban 0.0386114257554	ökologie 0.0376908100995	fachgerecht 0.0330888174616	farbgebung 0.0211514309422	gebaut 0.0199935749711	windrad 0.0198324261649	unterrichtseinheit 0.018838094007	hochtour 0.0172870557754	vertieft 0.0170759771175	kernkompetenz 0.0164609775497	markant 0.0163753698388	hauptteil 0.01548793483	gerätschaft 0.0154419501829	parcours 0.0154193796047	unklarheit 0.0141845982216	solarzelle 0.0134970770352	griffig 0.0134669175962	elektrizität 0.013412123002	zeitgrund 0.0131717028887	vogtland 0.0127943142944	vertiefend 0.0125746371618	rationell 0.0124534310506	autark 0.0121492161825
topic190	spiel 0.0826126963136	mannschaft 0.0647869906948	spielen 0.0330048410074	spieler 0.0323993963583	gut 0.0254871206674	punkt 0.0170617408978	gegner 0.0163107958097	sieg 0.0156981671861	trainer 0.0142881608409	platz 0.0127130351585	tor 0.0125752752349	leistung 0.0122192446786	stehen 0.0113764152427	niederlage 0.0111280047141	letzt 0.0106026998697	saison 0.0101485677087	stark 0.00841004356359	team 0.00702731838539	partie 0.00677219808746	mittelfeld 0.00618090289776	sehen 0.00615856010533	klar 0.00586763546158	gehen 0.00572321965263	geben 0.00548778459204	kommen 0.00544101082441
topic191	holz 0.198200099732	profil 0.147257371631	bibliothek 0.115975556806	bestand 0.051878090726	öffnungszeit 0.042364408919	stahl 0.0258152684505	abrufbar 0.0238573248399	gesucht 0.0211087259688	kamin 0.0204449162983	bundesbürger 0.0142627498172	fingerabdruck 0.0134479699113	blinde 0.0126174928066	erschließen 0.0123686037404	herzstück 0.0120374691947	deko 0.00991803809224	gehören 0.00934830638579	vorhanden 0.00933517412327	grundfläche 0.00884750929901	indonesisch 0.00863831179149	eckig 0.00826309323652	dokumentieren 0.00815044710613	diele 0.00810205988821	informationsportal 0.00760918400499	neptun 0.00700818415745	freifläche 0.00681216976013
topic192	wahl 0.20886347576	stimme 0.105674479996	wählen 0.0896402031203	kandidat 0.0584767705721	vorschlag 0.0407368018333	abstimmung 0.0355779139734	entscheiden 0.0302110524789	mehrheit 0.0241947184848	abstimmen 0.0222436425754	gewählt 0.0182208367799	bundespräsident 0.0159786852822	bundestagswahl 0.0151669681858	stimmen 0.014405639518	amtszeit 0.0106135211601	wahlergebnis 0.00987379059355	landtagsabgeordnete 0.00950942715821	anonymität 0.00920967303415	geheim 0.00853346008611	ergebnis 0.00852948313183	legislaturperiode 0.00840062839085	vorschlagen 0.00798967498802	europawahl 0.00743791979916	wähler 0.00722827999199	verunsicherung 0.00675323202079	abgegeben 0.00633728032521
