topic0	bett 0.100058856879	schlafen 0.0923069672002	ruhe 0.0602465872641	nacht 0.0372001159224	schlaf 0.03333987657	müde 0.0310142498956	gehen 0.0278442308282	tag 0.0264900110146	wach 0.0234875767985	liegen 0.0218075256723	zeit 0.0203830926352	aufstehen 0.0184930443816	anstrengend 0.0160589608582	ruhig 0.0132679003693	couch 0.0130350542358	stunde 0.0127428562927	machen 0.0127281454125	gut 0.0126800156207	morgen 0.0118020413706	alptraum 0.0117054067959	abend 0.0115950985782	früh 0.0113036832205	einschlafen 0.0111259196861	legen 0.0110835397802	aufwachen 0.0101826988442
topic398	studieren 0.2507487504	keller 0.212379435859	surfen 0.109806030121	wassern 0.0636820627531	teilnehmerzahl 0.056099072454	klauen 0.0473582157473	weilen 0.0394062187437	gans 0.0379574792097	wellen 0.0317773454332	vorherrschen 0.0164665900597	schenkel 0.0155320685549	erstmal 0.0151276717217	vorgelagert 0.0135514096386	hotspot 0.0135043993475	sandbank 0.0117640174504	unkostenbeitrag 0.00878677568118	anstecker 0.00870654502203	racker 0.00716522714354	zusammenschneiden 0.00471860287247	miauen 0.00466068823947	keilriemen 0.00408666993457	speedport 0.00371357413362	kontaktierbar 0.00368238323771	stegreif 0.00292002449709	essend 0.00270230586164
topic399	stoßen 0.198616407399	ehefrau 0.0998510276065	ehemann 0.0952329313883	elite 0.0745711885776	unbekannte 0.0530822146352	einbruch 0.0522577989285	laufbahn 0.0448985745278	verdrängen 0.0411403429426	minderjährige 0.0250834166382	polizeilich 0.0242590487143	sachschaden 0.0235975730808	leserschaft 0.0196631017159	wohnhaft 0.014833474589	polo 0.0132098346644	prozentig 0.0128651735297	fahrerin 0.0113578796422	getötet 0.0105871732442	allgemeinmedizin 0.0100453677648	sachdienlich 0.00915498281772	entstehen 0.00827518228799	bargeld 0.00798149231288	bronchitis 0.00796227546223	abgestellt 0.00789185992888	galoppieren 0.00771659580464	polizeirevier 0.00752697292614
topic400	boy 0.112318092827	altersvorsorge 0.0998033740129	sprichwörtlich 0.0602329405777	osteuropäisch 0.0598557332569	restlos 0.0567324477641	bewähren 0.051717921603	rächen 0.0500378375935	neidisch 0.0461498252867	veranstaltungsreihe 0.0439502801089	gerüst 0.0437693524639	scout 0.0347625314241	prenzlauer 0.0318199651909	beschimpfung 0.0300995732435	fußballmannschaft 0.0221674345593	kobold 0.0213250644236	addieren 0.0207388382788	stalingrad 0.018478018224	medienhaus 0.0172432052205	ungerade 0.016363371005	nachsetzen 0.0130535547709	gauner 0.0126819279494	entledigen 0.0123667609268	fußballverband 0.0122264964397	gewissenlos 0.011288748585	streber 0.00950978671951
topic401	einschränkung 0.257903492717	eingeschränkt 0.114379947755	bestmöglich 0.101288803487	komplexität 0.0732106302075	lebenssituation 0.0645266692361	aufbrechen 0.0424443288557	dateisystem 0.0414611083265	unvermeidbar 0.0256692373058	rudimentär 0.0229580180177	oberarzt 0.0200390216046	ausgangssituation 0.0197599216188	voting 0.0186825500052	betagt 0.0177376509124	workstation 0.0174380082831	festgottesdienst 0.0150516217232	lebensgestaltung 0.0133532779943	wohnortnah 0.0129396485976	assessment 0.0123443274656	therapieren 0.0103377068567	entwicklungszeit 0.00989832094642	altersstruktur 0.00987234549281	unbeobachtet 0.00892992793513	guideline 0.00801436934911	grundfunktion 0.00719321912896	kurzzeitpflege 0.00647532858569
topic402	brille 0.212407672648	kontaktlinse 0.0577194694676	schlagzeuger 0.0441706767552	anlaufen 0.0399314916735	inspektor 0.0390652028594	holzhaus 0.0373812715897	bürgerschaft 0.0350531411162	paritätisch 0.0326310980945	wohlfahrtsverband 0.0302094588006	friedensbewegung 0.028968628032	optiker 0.0258395774209	sympathisant 0.0234001574082	illuster 0.023229576344	ladengeschäft 0.0224951977296	forschend 0.0206651039857	arbeitslosenversicherung 0.0199627394799	genossenschaftlich 0.0177337970821	eigenleben 0.0166075773872	scharia 0.0163453686923	anfangsjahr 0.0159875521884	nahestehend 0.0157662338415	unerschrocken 0.0156438607683	mähne 0.0147778789232	widersetzen 0.0125867596156	schulgeld 0.0123978282589
topic403	kaffee 0.193930759848	tee 0.109022129916	lecker 0.107445080438	kuchen 0.105785941627	milch 0.0650125224947	tasse 0.0599371137061	trinken 0.0306618615848	mikrowelle 0.0286509212232	becher 0.0270052395276	schmecken 0.0176889224433	läuten 0.0159373147595	tüchtig 0.015397420653	espresso 0.0138207326431	anraten 0.0135948794798	kaffeemaschine 0.0129026313471	kanne 0.0123428058592	geben 0.00974489101065	arbeitslohn 0.00781993772334	genießen 0.00700577638387	schwiegervater 0.00698025376953	heiß 0.00690722449484	frisch 0.00677255549216	packung 0.00643072368385	cappuccino 0.00632619642439	muffin 0.0062636255449
topic404	lernen 0.488673849418	kennen 0.340133529937	kreisverband 0.0171886725149	zusammenfassen 0.0165962168151	begabung 0.0132294318633	lehrplan 0.0106197002365	erfahren 0.00898545509357	schulabschluss 0.00816325158568	wissen 0.00750988578548	teamarbeit 0.0058205206894	berufswahl 0.00556254452782	drehbuchautor 0.0052077572929	verstehen 0.00461675253485	hauptschulabschluss 0.00444199655814	schulart 0.00362014210561	lerninhalt 0.00358169062107	hauptschüler 0.0032410377721	praxisbezogen 0.00297841163108	induktiv 0.00292777066076	geburtsstunde 0.00291396311028	vereinheitlichung 0.00287549929824	pute 0.00263172154702	berufsbezogen 0.00258766421527	lebensnah 0.00238192746458	versicherungsbeitrag 0.00218197676432
topic405	dienst 0.485645891926	kreuz 0.137339107549	mitarbeit 0.056603123754	gewerblich 0.0479121381298	ausbildungsplatz 0.0320890988081	weiterentwickeln 0.0236227838876	heidelberger 0.0232113570885	ausgereift 0.020881272658	liquid 0.0191371820344	einsatzgebiet 0.0174152464238	leisten 0.0149143197409	notruf 0.0141484387869	beschreibend 0.0110630931993	festhalle 0.00917807099802	untermenü 0.00881842784609	bamberger 0.0084144801457	bereitschaftsdienst 0.0081025948421	dienstleistungsangebot 0.00774992275973	forschungsprogramm 0.00736614262846	einsatzfall 0.00592841774626	diensthabend 0.0038171121471	servicestelle 0.003665042041	nickerchen 0.00341700164445	entgegennahme 0.00326288733144	urwüchsig 0.00305967013359
topic406	spanisch 0.285487212683	decke 0.152938850558	gedächtnis 0.0987106274522	nähern 0.0614329534288	porträt 0.0532169525207	mitarbeiten 0.0409776523404	kanone 0.0392685155419	kunstgeschichte 0.0325993821579	ressort 0.0312663129871	karren 0.0303910768201	fahrend 0.0182206824758	verkleiden 0.0176566398657	pfahl 0.0169894642983	zügel 0.0165349819344	hilfsangebot 0.0160987322726	abstatten 0.0137457685758	jugendstil 0.0120567833858	schleuder 0.00990356299906	bezaubern 0.009064403455	heldentat 0.00686301146588	erniedrigen 0.00548117366488	farbenspiel 0.00496748393779	kutscher 0.00434132788894	schmucke 0.00369056716805	barbier 0.00362037985092
topic407	bayerisch 0.273946351283	förderung 0.273330100918	lehrkraft 0.0852436356191	freistaat 0.05508903056	konventionell 0.0515861126635	streik 0.0233936181291	kultusministerium 0.02333017714	schulleitung 0.0229283671483	staatsregierung 0.0222385777868	schulalltag 0.0139524767626	solarenergie 0.0136825658957	bildungswesen 0.0127490860041	fördern 0.0106006422646	benachteiligt 0.00948333076304	trocknung 0.0090128286601	mittelstufe 0.00716872066475	hochsommer 0.00705835621351	schülerzahl 0.0063498038882	qualitätsentwicklung 0.00583158973887	sicherheitspolitisch 0.00561115172266	schülerschaft 0.00520670802874	unumkehrbar 0.00470568658713	klärschlamm 0.00410130245574	schuleigen 0.00352771617071	anwendungstechnik 0.00345037512146
topic408	regel 0.593588468274	ausnahme 0.115020794051	regeln 0.0410165236378	australisch 0.0367830937377	variieren 0.0350288622905	gelten 0.03247279757	überschreiten 0.0195700715725	stadtplan 0.0181724207939	sprichwort 0.016071697164	minderjährig 0.0142345926632	ergiebig 0.00948257486443	australier 0.00755579914035	liegeplatz 0.00662149009623	häufig 0.00586027003331	sprengsatz 0.00407973040798	grundsätzlich 0.00386564917243	ungeschrieben 0.00382486219378	zählen 0.00377280972984	outback 0.00367983440873	streng 0.00305893169017	achten 0.0029631230195	luxusgut 0.00269104026407	selten 0.0024972784266	lungenkrebs 0.00227009644875	vermeiden 0.00194032613974
topic409	folgende 0.153517844793	definiert 0.152079301872	eingebaut 0.130445770055	fliegend 0.0909668144533	hubschrauber 0.0808760115978	übertragbar 0.0549671311797	kennzahl 0.0527720045037	geschäftsleute 0.0431029985745	drohn 0.0323502372326	zustandekommen 0.0318198711587	eigenbau 0.0311175898331	abgeleitet 0.0294879023558	fernsteuerung 0.0237294570661	wegpunkt 0.0142014078032	drollig 0.0119013372759	identifiziert 0.011022035291	drohne 0.0103075777979	unbemannt 0.00896386827954	goldrausch 0.00859151260521	potenzialanalyse 0.00678809288202	rauchgas 0.00396693752846	traineeprogramm 0.00346952339115	waagerechte 0.00322216243512	steuersoftware 0.00274787961933	weltmännisch 0.0022682991709
topic410	hoch 0.173565424281	druck 0.0464586008304	gering 0.0400386098557	niedrig 0.036872225305	temperatur 0.0299296562753	messen 0.025765564766	groß 0.0231719851342	liegen 0.0199445510544	messung 0.0189955231404	extrem 0.0173335327768	mechanisch 0.0173294693012	schicht 0.0167127774513	relativ 0.0146494323082	konstant 0.0125990334204	volumen 0.0109059231105	lassen 0.0108318830825	tief 0.00936702547113	entstehen 0.008904523681	direkt 0.00879559637332	erreichen 0.00844462143213	gemessen 0.00831046558922	bleiben 0.00778234308146	gut 0.00771864113551	eigenschaft 0.0074595543686	führen 0.0073304560608
topic411	vorgehensweise 0.199282105031	aufpreis 0.080910160231	verwechseln 0.0749660703129	quadrat 0.0570127837685	cousine 0.043046660928	anschlagen 0.0356060681647	heranziehen 0.0303625618312	werbekampagne 0.0269459423658	hochglanz 0.0245310716626	pagerank 0.0209152934167	dampfer 0.02057382759	nachprüfen 0.0182567227871	schnüren 0.0181235640201	entbehrung 0.0156929697531	sozialhilfeempfänger 0.0155299955767	dreieckig 0.0153010310216	dienstwagen 0.0125465648211	schönheitsoperation 0.0122554988387	hausaufgabenbetreuung 0.011801396379	qualitätsverlust 0.0107887376945	skaliert 0.0106512245744	verdingen 0.0106133074307	brustvergrößerung 0.0106007817529	seraph 0.0101224742073	beweisbar 0.00944141524234
topic412	natur 0.159106585122	nachhaltig 0.139499855698	ökologisch 0.0854670266193	umwelt 0.0532513291692	ressource 0.0479956753403	biologisch 0.0462017330369	nachhaltigkeit 0.0428107975447	umweltschutz 0.0308309631709	agenda 0.0177334785204	handeln 0.0149287236926	natürlich 0.0143473165913	ökonomisch 0.0108475257074	ziel 0.0101729014246	erhaltung 0.00994964833182	entwicklung 0.00966148449452	ökologischer 0.00853269926962	bedeutung 0.00802174987302	setzen 0.00743444485003	verminderung 0.00730830774082	umgang 0.0067614682082	langfristig 0.00664329039495	naturkatastrophe 0.0066066347759	beispiel 0.00652593241426	gemeinwohl 0.00572123318757	stehen 0.00565713485213
topic413	berechtigung 0.149996276578	biegen 0.129822041913	revier 0.126964750334	zuschauen 0.105740665599	autonom 0.0894100800542	sandwich 0.0381416301501	orten 0.0300861332074	bulletin 0.0258484135456	lobbyist 0.0255452738307	schürze 0.0240161001311	grenzübergang 0.0221056373638	verifizieren 0.0219063237371	umgehungsstraße 0.0190348440074	antirassistisch 0.0154648818037	selbstbefriedigung 0.0136993853693	stelldichein 0.0133573568754	zahnpasta 0.0124002894574	asymmetrie 0.0119762731987	blutsauger 0.0111804909289	herzlos 0.011021543527	nervensäge 0.0102051889774	bequemen 0.00847687992642	entrüstet 0.00802777921198	alltagsgeschäft 0.00745747069094	duzend 0.00668557363189
topic414	depression 0.135900845162	gigantisch 0.0941158698632	erwartet 0.0819077030954	konkurrent 0.0747581373003	zugreifen 0.0486069785721	absturz 0.0473105627774	häufen 0.0311602150317	notenbank 0.0276505285794	geldpolitik 0.0247965129685	bevorstehen 0.0243994099944	höchstgeschwindigkeit 0.0222233663147	kapitalmarkt 0.021117905016	gelistet 0.0204860825524	monetär 0.0199370788853	wechselkurs 0.0157529933788	geldmenge 0.0153529198639	geldpolitisch 0.0135456604713	leitzins 0.0126638219698	getarnt 0.0123929674919	expansiv 0.0122193280275	lesegerät 0.0115241753104	abschwächung 0.00859026337852	nutzlast 0.00775361464476	risikolos 0.00756303551458	andersartig 0.00746135959722
topic415	prozess 0.319524802607	angeklagte 0.0704424549196	vorwurf 0.0561916840248	unrecht 0.0492240483587	kriminell 0.0488890743766	manipulation 0.0318593790558	beleidigung 0.0306791086588	bundesgerichtshof 0.0281421496006	versagen 0.027182581334	dominanz 0.0257032527917	urteil 0.025209645117	verantworten 0.0231214933952	einverständnis 0.0213953072541	bestreiten 0.0179082980091	sturm 0.0157690293615	landgericht 0.0149487119829	verteidigung 0.0130821818183	erpressung 0.0114835510234	vorsätzlich 0.0111321610748	unrechtmäßig 0.00946543004706	bröckeln 0.00820958597326	nötigung 0.00820417405512	freispruch 0.00787097054933	unbekümmert 0.00735777996541	skandalös 0.00669869929618
topic416	böse 0.260722756031	held 0.176848233682	abenteuer 0.175742458484	überraschung 0.131225376145	kennwort 0.0195599557338	erleben 0.0176324315679	type 0.0171383588098	finster 0.0167627117133	spielleiter 0.0137286584033	merkzettel 0.0128838238752	bösewicht 0.0124787922771	allergroß 0.0119779849737	bote 0.0116623440881	schurke 0.0113952506621	menschenleer 0.00949045154603	obsolet 0.0090087023604	lover 0.00801122351677	dazukommen 0.00737449945323	mailänder 0.00730186844646	mannequin 0.00673534816673	herausbekommen 0.00670541945956	spannend 0.00558965648935	retten 0.0053431022613	textseite 0.00429404163946	mittelmeerküste 0.00368742757614
topic417	favorit 0.176528513438	zwerg 0.156253910147	liebling 0.113356269766	elfe 0.0603747062932	widmung 0.0405469814033	automotiv 0.0358579116338	parodie 0.0347419624887	auslöschen 0.0308051033523	wimmeln 0.028491340519	arbeitsaufwand 0.0258253086873	kunstmuseum 0.0240918855259	jahresumsatz 0.0239516000303	spielort 0.0237186641382	invasion 0.0233253112486	auftragseingang 0.0223261661657	koks 0.0177620117582	reminiszenz 0.0142756732785	kruzifix 0.0134851833678	automobilbranche 0.012853703597	druide 0.0119154930241	avantgardistisch 0.0118225474927	vierzig 0.0109507614898	alkoholeinfluss 0.0102425555907	amboss 0.00988461872264	filament 0.00814624576158
topic418	enden 0.620694703836	adjektiv 0.0375346923979	umgestaltung 0.0333732585632	podest 0.0238467576558	volksfest 0.0212390837409	superlativ 0.0211594418736	kleinste 0.0194428471497	größte 0.018428864553	substantiv 0.0173643662686	hörgerät 0.0169271592249	plural 0.0159556152281	bauchgefühl 0.0156157004337	vormerken 0.0140724160062	genitiv 0.0120343021749	adverb 0.0112979770795	verzögert 0.0106483654653	zuziehen 0.00997924777449	manifestieren 0.00788599352003	fotografiert 0.00701801950599	frühlingsfest 0.00637175896812	glaubenslehre 0.00604001180343	mobilheim 0.00568313752269	komparativ 0.00507547079175	arabische 0.00506046953155	singular 0.00498054721765
topic419	flasche 0.165054948165	membrane 0.113043380063	kraut 0.0974932141665	orange 0.0914571115775	suppe 0.0696424161351	roh 0.0662203240327	schale 0.0553276248824	nuss 0.0468861373938	zitrone 0.0343477997269	vegetarisch 0.0316785074209	konsistenz 0.018945198332	gefärbt 0.0186159609517	kanzler 0.0153000491272	spinat 0.0142504629928	faltblatt 0.0122165747998	rohkost 0.0110354005606	diskussionsbeitrag 0.0109106563164	preisniveau 0.0108938955846	vegane 0.0103551250953	haselnuss 0.0095153893803	wissenswert 0.00895252735621	anrichten 0.00874391086813	selbstversorgung 0.00762821720072	nachfüllen 0.00627687409295	umformen 0.00524182529584
topic420	hübsch 0.154885049155	reiz 0.114637318617	palette 0.0925066152946	prächtig 0.0867217457299	eiche 0.0504986659472	dialekt 0.0437680049842	einkaufszentrum 0.0429120297425	witterung 0.0408616808246	verweilen 0.0389958518934	abstecher 0.0309547491212	kreation 0.0293048786681	trist 0.0243181716374	ladezeit 0.0182261045122	menu 0.0181076489122	grabung 0.0178415697995	gemächlich 0.0169660581402	regenzeit 0.01569156782	durstig 0.0144322770765	känguruh 0.0141195634846	nachbildung 0.0134168341676	prozession 0.0129598321253	laufband 0.0129512479848	wandmalerei 0.0108823761404	kassiererin 0.010453310738	nationalmuseum 0.0103725670586
topic421	rücksicht 0.126458775585	begreifen 0.105078443945	zusammenhängen 0.0713393354675	tuning 0.0595585186645	buchhandlung 0.0556706358183	baldig 0.0508980829924	weltbild 0.0501616344735	besinnen 0.0360005526839	vorverkauf 0.0358743090927	sichtung 0.0323842516253	ausdehnen 0.0313431304173	schützling 0.0272082055146	unaufhaltsam 0.026791376217	ekel 0.0259556663548	trösten 0.0249819300658	zusammenschließen 0.0211486081355	nichtssagend 0.0188001786108	wahrheitsgehalt 0.0171632046598	fundamentalist 0.0142238797812	ellipse 0.0141265037956	erfolgsquote 0.0138429525157	schlecken 0.013829590576	eingeweihte 0.0116715989849	ausgebrannt 0.0109075725628	gutmachen 0.0107680089346
topic422	korrekt 0.352046586795	königin 0.110161753408	penis 0.0449546886448	unzufrieden 0.043689776175	fingern 0.041109169742	ungewiss 0.0386564220815	kundenservice 0.0344550270762	vorhaut 0.0317630303859	tönen 0.0310661745496	derb 0.0287264659108	bewegungsablauf 0.0252923338229	ruhend 0.0219449154562	bekanntermessen 0.0213456765775	gatte 0.0200753744149	verlobte 0.0194437636045	bezüglich 0.018044415525	verharren 0.0159009411626	ortsüblich 0.0120213890936	filmchen 0.010753638256	harnröhre 0.0102008289528	durchgangsverkehr 0.00979251366306	erfolgskurs 0.00965973584805	gemahl 0.00700813621036	internetanbieter 0.00688353326414	wasserlassen 0.00629814156172
topic423	berliner 0.390331554358	bundesministerien 0.0803098305303	bundesamt 0.0800238139886	energieeffizienz 0.0373274601736	bundesfinanzhof 0.0280668561348	potsdamer 0.0242124088124	brandenburger 0.0239556247012	geschäftsführerin 0.0234266257308	brandenburgisch 0.0195803051443	photovoltaikanlage 0.0193802440086	bürokratie 0.0146758784876	universitätsklinika 0.0140526459153	produktionsprozess 0.0139307444948	bundesminister 0.0132740813499	unternehmerin 0.013072651608	solarmodul 0.0122663212635	solarstrom 0.011409627015	herausragender 0.0110709685911	gesundheitspolitik 0.0101428538071	einspeisevergütung 0.00943456183101	mitte 0.0087356880337	gruppenleiter 0.00861111465838	grenzbereich 0.00794111397633	energiekonzept 0.00697389309986	wirtschaft 0.00613173464365
topic424	ordnung 0.472639062695	chaos 0.110894507781	sehnsucht 0.100149840944	beugen 0.0387056558701	nächste 0.0364598075614	schmerzhaft 0.0251381095548	pushen 0.0213480398159	mobilisieren 0.0184046541584	eingefügt 0.0134241344359	liebende 0.0127427881609	unordnung 0.0122512736118	rausschmeißen 0.0116198903578	spezialeinheit 0.00879695025626	augenlid 0.00851117453101	brustkorb 0.00816943523681	sanitäter 0.0077508618549	hausgerät 0.00769794810116	bronzezeit 0.0066886611132	abhang 0.00654820568926	hinarbeiten 0.00641328562664	achtlos 0.00632380907299	hochgehen 0.00596658850938	leblos 0.00565995853735	türmen 0.00495135745464	erschallen 0.00485622330089
topic425	flughafen 0.308784687266	tourist 0.110562889376	reisende 0.0998160930263	taxi 0.0717033421635	verkehren 0.0326282066529	abflug 0.0257481747827	taxifahrer 0.0183354851135	hertz 0.0180337071961	ausläufer 0.0161065005068	asphalt 0.0140249017906	zugfahrt 0.0138260388458	entlegen 0.0135113645061	eckdatum 0.0127984931214	terminal 0.0111999585156	täglich 0.0109843257564	reisend 0.0106845123663	befestigt 0.00987376218734	hochsaison 0.00853227843021	krebserregend 0.00807066860631	pazifisch 0.00756261573799	geben 0.00718376008898	eisenbahnstrecke 0.00715753065071	verdampfen 0.00688387291347	lichtfarbe 0.0068060389947	flugpreis 0.00654587786126
topic426	sehen 0.0336896755814	auge 0.0168717617534	gehen 0.0162558995975	stehen 0.0158323640763	sagen 0.0148777873265	hand 0.0145705939562	fragen 0.0141641760734	lächeln 0.0121726108552	kommen 0.0111540540534	schauen 0.0104898570347	gesicht 0.0102781449291	arm 0.0102444766149	kopf 0.00960665247294	nehmen 0.00930345190877	hören 0.00875573991979	türe 0.00874787694549	blick 0.00853347561856	rufen 0.00778903638135	lassen 0.00765038505388	legen 0.00753017544946	wissen 0.00686122366981	drehen 0.00648753773719	halten 0.00641542980397	setzen 0.0062417557266	schreien 0.00618451404842
topic427	alt 0.811991346384	alter 0.0977345705582	jahr 0.0323512727074	alte 0.0201862888188	tinnitus 0.00536105864493	fachmännisch 0.00447427104417	krawatte 0.00398208797812	jung 0.00333370907182	jetzig 0.00187070883564	glöckchen 0.00165552544841	suchtprävention 0.0015650624024	vergleichsmöglichkeit 0.00143765612076	druckpunkt 0.00133141311745	ersetzen 0.00132923077	lang 0.000804268683859	aufwiegen 0.000757569603379	antasten 0.00071008291746	haarteil 0.000492507341053	schätzen 0.000451115006225	früh 0.000415450600225	erstaunlich 0.000357175149383	selten 0.000325760184652	konsummuster 0.000317743974519	sehen 0.000316115227623	mehrfach 0.000286231459194
topic428	ventil 0.201183615056	eingabe 0.106590367146	eingeben 0.0981671863527	report 0.0864709098419	optional 0.0822193309207	anschliessend 0.0592166574359	initiator 0.0501788649544	vorstandsvorsitzende 0.046076958428	identifizierung 0.0275683678013	nachdruck 0.0262374247338	output 0.0230528843226	mitreden 0.0179167678014	informationstechnik 0.0172845906556	leidig 0.0163701842716	eingebunden 0.0155845384784	anbauen 0.0153749371054	konstrukt 0.0129359189992	strukturwandel 0.0124907918778	kundendatum 0.0105090308218	lohndumping 0.0075817068064	kundennummer 0.00736147817484	übriggeblieben 0.00720517497279	symbolleiste 0.00684668820497	politikfeld 0.00674340330777	einbehalten 0.00642672057311
topic429	überdurchschnittlich 0.12494073918	niederschlag 0.108096574505	barcode 0.0819558570146	schwankend 0.0449522321357	nötigen 0.0446764483389	rechtswissenschaft 0.0440972367253	wasserstand 0.0420969370601	piken 0.0369587093521	staatsexamen 0.0357161995821	deutlichkeit 0.0316584686852	drängend 0.0304341779234	strafen 0.0275748725177	etablierung 0.0273502359982	freischaltung 0.0270081348293	rechtsanwaltskanzlei 0.0262450694079	inka 0.0227371595554	impressumspflicht 0.019769978784	kundenstamm 0.0160224322064	flachs 0.014295877716	stadtstaat 0.0130597948521	arglos 0.0130471041729	rechtsstreitigkeit 0.0129996800291	strafbarkeit 0.0125049501877	entlastend 0.00983325686123	abverkauf 0.00946104478144
topic430	änderung 0.0697171537189	erforderlich 0.0682242902205	absatz 0.0403913586787	entsprechend 0.034812199909	genehmigung 0.0267630165078	vorlage 0.0238957377695	unterlage 0.0168741832943	protokoll 0.0159816909028	gelten 0.0158252906768	betreffend 0.0148183654378	erfolgen 0.0129038973882	schriftlich 0.0111698870202	vorlegen 0.0104302848593	besonder 0.0103974501094	zuständig 0.0103851275447	notwendig 0.00999186930002	jeweilig 0.00916692822756	genannt 0.00822788633709	grund 0.00796444157212	anforderung 0.00788595934356	verordnung 0.00777658701305	geeignet 0.00767947798659	kraft 0.00752887810315	einzeln 0.00749799047204	bedürfen 0.00705164998962
topic431	stark 0.590406112154	luft 0.120654653814	schwach 0.10648160195	kräftig 0.054624051076	ost 0.0207563229073	leuchtturm 0.0130463480689	strömen 0.010404670034	koppeln 0.00597247642452	meerwasser 0.00588554091813	vormarsch 0.00579854125874	spätsommer 0.00576754792796	höherwertig 0.00550422610227	ausgegeben 0.00442990190956	spiegelreflexkamera 0.00433769993475	durchzug 0.00366642049255	streuung 0.00316282126257	temperaturunterschied 0.00263688122104	luftfeuchte 0.00239578711236	neigen 0.00215823203148	filterpapier 0.00191099540321	meteorologe 0.00177441224715	landfläche 0.00171820405051	zwischenstufe 0.00168647920631	aussenbereich 0.00164189103373	treten 0.00152750534009
topic432	schmal 0.191128584659	streifen 0.182318051911	hässlich 0.141463521977	eimer 0.0733046682384	verschiebung 0.0548644826155	fliese 0.0524095934301	liebesgeschichte 0.0366874225205	vorhersehbar 0.0329761599493	fesseln 0.0273124719312	breit 0.0199781434543	entsetzlich 0.0193641198601	streuobstwiese 0.0178292510362	irrweg 0.0165206702906	einschaltquote 0.014904971637	unreflektiert 0.0146110706836	altbacken 0.0134565332818	kniebeuge 0.013037998667	dharma 0.012178505825	verkleinert 0.0119782706709	sitcom 0.00740042636589	blutdruckwert 0.00521804666519	diskussionsstoff 0.00507306779219	reaktionsfähigkeit 0.00434243588717	muschelkalk 0.00407872912239	grünfutter 0.00348309377962
topic433	trauen 0.19342115361	gebaut 0.0830083522479	englische 0.081154615909	stadthalle 0.0555722750238	kreuzen 0.0509793274114	muttersprache 0.0493078991092	ausweg 0.0433290634209	augenblicklich 0.0388724937048	entsprechung 0.0280786282304	heldin 0.0279514699525	krug 0.025456504794	ermuntern 0.0238594903856	brillieren 0.0191973969587	elfenbeinküste 0.0189881540115	nuklearwaffe 0.018670695707	verärgern 0.0172228195704	freihandelsabkommen 0.0153558125024	wählerstimme 0.0147283292534	erstkontakt 0.0137164805224	weltgut 0.0133525725062	zaubertrank 0.0110193691811	anglizismus 0.0105718531846	energiemenge 0.0100015918198	kaverne 0.00992966359553	kleinkunst 0.00975908325634
topic434	familie 0.266253638142	freund 0.215075210492	leben 0.0508421916869	bekannte 0.0265462756466	verwandte 0.0201612294227	gemeinsam 0.017080414095	besuchen 0.0149887799847	tante 0.0139460364988	schwester 0.0125770987147	zeit 0.012339045399	verbringen 0.0104994134092	tochter 0.0103253024911	eigen 0.00911791387222	besuch 0.00894910509465	mexikanisch 0.00803776535899	geschwister 0.00696712422745	familienmitglied 0.00694879005159	kommen 0.00674465567728	freundin 0.00638676321756	gehen 0.00615470745605	verlieben 0.00606441672934	ganz 0.00589622226781	gut 0.00521612589248	bleiben 0.00518081878207	oma 0.00516572901339
topic435	letzte 0.0966086230887	gesteigert 0.0765266591691	andeuten 0.0668065230639	wählbar 0.0653455243203	verwerten 0.0585222489904	abfangen 0.0492338432507	irritieren 0.0453134476454	grundidee 0.0420897773335	bindeglied 0.0320390157572	wissentlich 0.0316448831932	respektabel 0.0293895876604	pensionierung 0.0228876862893	notleidend 0.0211653825127	verkrampft 0.0210406428462	punktgleich 0.0203206497198	ungestraft 0.0190458334848	neige 0.0186487760889	subventionieren 0.0162579845481	unflexibel 0.0149386381447	schiedsgericht 0.0130105481406	amortisieren 0.0127137641263	leistungspaket 0.0123682062068	werfer 0.0123631836097	kingston 0.0121605219592	gleichstand 0.0120795640233
topic436	preis 0.702505952577	mehrwertsteuer 0.0436762635708	verfügbarkeit 0.0259342409192	informativ 0.0247817853465	angegeben 0.0232509725313	versandkosten 0.0211534093937	verstehen 0.0175128819837	versandkostenfrei 0.0151702709516	inland 0.0116126525459	jeweilig 0.00865638910157	gelten 0.00846769732088	bestellwert 0.00800890753902	hoch 0.00712926296768	verfügbar 0.00480671546501	championship 0.00468120165034	abhören 0.00422121262078	angeboten 0.00416655893044	grundpreis 0.00408106209146	erhalten 0.00399881030446	fragen 0.00386833905521	anfallen 0.00278156995928	aspirin 0.00261280844025	apotheker 0.00259913632593	voll 0.00249678319421	approbation 0.0024905341569
topic437	löwe 0.126441605708	neuigkeit 0.118487220634	schulung 0.103467891367	arena 0.101149566873	dresdner 0.084653648774	anstehen 0.0740683230585	gästebuch 0.0629406783144	professional 0.0491311485377	porto 0.040780515725	wegnehmen 0.0382413051362	versäumen 0.0301864015349	verunsichern 0.0245359045914	rote 0.0237913164761	programmheft 0.0208458475337	dreckig 0.0166058388264	quittieren 0.0129208490742	bevormundung 0.0119335635783	groschen 0.0117004922305	erübrigen 0.00833258090138	gesehener 0.00659886120347	ausbremsen 0.00599353602902	deaktiviert 0.00584109043654	bayernliga 0.00461316934532	schweinestall 0.00420377318836	sparzwang 0.00413077026976
