topic0	frau 0.265286647808	mann 0.122120015916	mutter 0.0219431625578	tochter 0.0188717313176	männlich 0.0183892196825	weiblich 0.0152737269302	jung 0.0136912557694	vater 0.0116644559943	ehe 0.011466601439	partner 0.0109419878956	paar 0.00999875781504	geschlecht 0.00968632991511	hochzeit 0.00963446080174	schwester 0.00798204770617	beziehung 0.00780456792763	heiraten 0.00687088118227	familie 0.00673151684137	freundin 0.00628056060558	sohn 0.00596677693482	schwanger 0.00595164710278	ehemann 0.00511843833502	kind 0.00482888560324	leben 0.00433905229206	verheiratet 0.00431622485507	haus 0.00391157382512
topic86	zeichen 0.249256886051	umzug 0.0602832446971	engel 0.040726453245	pilger 0.0202910308841	brauch 0.0165477004991	plane 0.0113907561086	heiland 0.0113771085675	mütterlich 0.0096953552424	verwarnung 0.00792063583253	himmelfahrt 0.00711558629044	vorangehen 0.00701744871225	sorglos 0.00692182090513	wehrlos 0.00684926322502	geselle 0.00680760498961	husky 0.00664752667149	duett 0.00619369788231	gerede 0.00594457906755	aussenden 0.00579224082537	arge 0.00557879615744	gespenst 0.0055557049696	erzengel 0.00554735078139	beamtin 0.00542239306042	pommer 0.00538588083243	kleintier 0.00526613154863	romantiker 0.00513617148499
topic87	video 0.306437675873	telefonbuch 0.0205219554966	look 0.0194357900192	clip 0.0184291841588	musikvideo 0.0120531865034	ami 0.0108186981262	verführerisch 0.0107505809946	step 0.0105189826263	truck 0.00985871145038	dollar 0.0097287070962	anschauen 0.00956410705162	frisur 0.00930681346266	limitiert 0.00870833497472	stylisch 0.00858450523923	promi 0.00851390531015	clean 0.0084246270993	videoclip 0.00786072827839	tube 0.00659336811924	eingabefeld 0.00644354258234	wimper 0.00638957024401	sexy 0.00630246026903	ungemütlich 0.00609466032625	stop 0.00607886102755	ansehen 0.00582513437295	zeigen 0.00569407354501
topic88	gott 0.0289018869672	mensch 0.0245784719202	leben 0.0167703675076	geist 0.0151812657897	wort 0.0109100492558	geben 0.0100561671157	welt 0.00886209499933	sagen 0.00882897286626	liebe 0.00782659099908	seele 0.0077684416467	kommen 0.00741103059051	herz 0.00738379841621	sprechen 0.00735973985138	heilig 0.0071034763203	kraft 0.00624687658934	sehen 0.00621859159384	weg 0.00603878359656	vater 0.00597387036548	groß 0.00595141577916	zeit 0.00566635113197	lassen 0.00550962362427	wahrheit 0.00541733452334	tod 0.00531932671747	ganz 0.00510766819763	sohn 0.00489211859909
topic89	kunst 0.138542198013	werk 0.0851267118476	künstler 0.0831503642394	künstlerisch 0.031039058346	bild 0.0273682038648	arbeit 0.0240146423757	zeichnung 0.0201556065954	maler 0.0200055287856	kunstwerk 0.0168543402959	malerei 0.0168419264306	ausstellung 0.0143286068842	künstlerin 0.0133876219626	skulptur 0.0120692324376	register 0.011364040537	gemälde 0.0113526822698	patent 0.0112140503026	malen 0.0104940682585	bildend 0.0100568506174	gewerbegebiet 0.00956862340509	zeichnen 0.00907074993045	schaffen 0.0082183695487	yacht 0.00808819636077	segler 0.00754252414337	fotografie 0.0074072233314	kreativ 0.00709506843909
topic90	hochschule 0.0456202843833	studierende 0.0387074908576	universität 0.0337133470957	student 0.0299520547079	studium 0.0275200884168	semester 0.0196442925063	studiengang 0.0171659085294	diplom 0.0152126290446	fachbereich 0.0138086221556	vorlesung 0.0129865300037	ingenieur 0.010892413234	bereich 0.0103446012331	informatik 0.00984794705392	lehre 0.00963971523239	stipendium 0.00886335622594	akademisch 0.00720541835365	fach 0.00708059294517	dozent 0.00695111061094	diplomarbeit 0.00662007490452	lehrstuhl 0.0064353658683	finden 0.00634236645492	erst 0.0063165512279	studiengebühr 0.00620279289072	dual 0.00617761578653	technisch 0.00578227490139
topic91	prinzessin 0.0299391464161	bonner 0.023099507181	diät 0.0158996373431	initiativ 0.0154633144495	brandenburger 0.0153259380626	greifswald 0.0141387246995	bürgerhaus 0.013546595037	schwede 0.0128354313019	südafrikanisch 0.0127292987755	preisgeld 0.0125761705628	parade 0.0125359133857	unbeschreiblich 0.012439002199	moderatorin 0.0122888815289	schwedisch 0.0115775292426	rumänisch 0.0115188887334	prominente 0.0115133370646	tibeter 0.0111106947601	leichte 0.0110539907886	tiergarten 0.0108682832154	botschafter 0.0106369084965	gala 0.0103619622763	anstalt 0.0100790187912	trainingsplan 0.00995867587809	schlusslicht 0.00988556024596	überbringen 0.0095861568981
topic92	wasser 0.119515580693	temperatur 0.0185748736553	warm 0.0146237557747	kalt 0.0138380747062	grad 0.0122255645991	liter 0.0118619540319	luft 0.0115715062696	heiß 0.010850036208	stoff 0.00927582931482	tee 0.00849848450846	trocken 0.00821763046542	reinigung 0.00806268851986	reinigen 0.00759218178515	behälter 0.00720064870404	flüssigkeit 0.0071823683207	menge 0.00715672115826	geruch 0.00639566773552	tropfen 0.00633154379637	mineral 0.00595601114967	alge 0.00576156382673	flüssig 0.00572400770609	sauber 0.00562911554998	verwenden 0.00552444200525	kühl 0.00541134481718	gut 0.00538638757861
topic93	jahr 0.0666279905066	platz 0.0590168843082	erst 0.0392504260816	zweit 0.0283310196944	mal 0.0254881720836	deutsch 0.0232251629572	dritt 0.0216801891905	preis 0.0171616244255	erhalten 0.0156375533272	auszeichnung 0.0151051604022	kategorie 0.0145985540308	jugend 0.012810311679	west 0.0126329306395	wettbewerb 0.0121362181992	junior 0.0114583705103	jury 0.0113598594273	jung 0.0109789206729	viert 0.00986426067258	fünft 0.00935777592518	erfolgreich 0.00890627554078	groß 0.00832131012756	vergeben 0.00751448512364	golden 0.0074232205283	darlehen 0.00691277170471	diesjährig 0.00595200946569
topic94	senat 0.095734213086	zutaten 0.0577144537308	sachverständige 0.0329297496776	prospekt 0.0195098434078	erdgas 0.0177110427775	gutachter 0.0166936092784	anbraten 0.012905608824	unzumutbar 0.0124209879125	blaue 0.0119718891496	kaution 0.0116243299474	versteigerung 0.0115451675913	frontal 0.0112859725836	fiktiv 0.011082145737	beigefügt 0.0107279971859	gleichbehandlung 0.00969222597986	tagesaktuell 0.00959257930306	schriftsatz 0.00949922672782	gelagert 0.00929089825065	nachbesserung 0.00917586040026	unternehmenskultur 0.00912652634014	plz 0.00879490160927	hintergrundwissen 0.00854275662454	zumuten 0.00847543710432	isolierung 0.00836449231044	weitergehend 0.00794973017833
topic95	prozent 0.280707729054	studie 0.0790699260513	umfrage 0.0384595809486	drittel 0.0242348492334	hälfte 0.0169268239144	befragte 0.0165348018907	viertel 0.0159638860889	schweizerisch 0.0150727645051	befragung 0.0135251433598	zeigen 0.0130621948987	deutsche 0.0117618405216	altersvorsorge 0.0116525545234	anteil 0.0105890801667	befragt 0.00968534141245	ergebnis 0.00952571455806	moschee 0.00947796531673	jährig 0.00859962301454	repräsentativ 0.00852231104787	riff 0.00836403292836	reportage 0.0081507817888	ergebniss 0.00814305254455	knapp 0.00755575097153	resolution 0.00708053386737	institut 0.00637285270392	auftrag 0.00634883976134
topic96	kurs 0.140590655265	gold 0.128952095752	silber 0.0603119833344	brett 0.0410412767766	aktie 0.0394563351742	münze 0.039220956181	börse 0.0258206542986	index 0.0242753540138	stellung 0.0155214738581	wert 0.0136856940157	remis 0.0136731407875	krone 0.0136615314239	landesliga 0.0114570889715	mine 0.0108953292357	saarland 0.0100714246787	saarländisch 0.00852122019763	schein 0.0085053086769	bauer 0.00842465427718	transistor 0.00746624055066	fallend 0.00743130464682	landesvorsitzende 0.00717123148416	goldpreis 0.00683973080331	korrektur 0.00655962003488	notieren 0.00618322893267	atombombe 0.00612246632584
topic97	anwalt 0.0481375528848	frage 0.0305154398539	kreis 0.0303328201874	wenden 0.0297783718378	mandant 0.0234910627798	rechtsanwalt 0.0210092797467	thema 0.0184842281115	ratsuchende 0.0182385261246	helfen 0.0145730746619	beraten 0.0141078354391	entsprechend 0.0136064311369	beratung 0.0121930104902	weiter 0.010135618294	stehen 0.00884865106657	spezialisiert 0.00804448634234	unterstützen 0.00759904591083	gerichtlich 0.00668383785112	ärztin 0.00666319319226	sorgen 0.00632728302551	hilfe 0.00603809480623	beratungsstelle 0.00573611396154	seite 0.00565503471254	psychiatrie 0.00541096816998	außergerichtlich 0.00537757896678	vertrag 0.00516853820422
topic98	ventil 0.0151369279089	teil 0.0146228694918	problem 0.0125849658824	lassen 0.00876090312429	schraube 0.00842146754311	scheibe 0.00794417219218	neu 0.00752351839368	druck 0.00718824743709	öffnen 0.00696906543881	passen 0.0069308307656	liegen 0.00688780081663	funktionieren 0.00658185229299	rohr 0.00650578905537	komplett 0.00627161146137	dichtung 0.00555569768403	loch 0.00548173336891	laufen 0.0054177858009	groß 0.00539915757289	bauen 0.00529029751386	defekt 0.00527382350058	ventilsitz 0.00520143972955	bar 0.00509409583098	normal 0.00508817356288	klein 0.00494180624444	einbau 0.0048630196159
topic99	klicken 0.0298461690735	link 0.028722260568	neu 0.0168227592795	liste 0.0158448505803	einfach 0.01437809195	eintrag 0.0136495060565	seite 0.0117670736869	geben 0.0109070040898	button 0.00959024777678	pdf 0.00929918858947	finden 0.00924926727624	direkt 0.00924632378738	erstellen 0.0090523836175	suche 0.00876845574608	datenbank 0.00834635757387	lassen 0.00787041546575	klick 0.00784680026391	webseite 0.00779019338476	adresse 0.00765955011604	mail 0.00748653077914	möglichkeit 0.0070839409331	eigen 0.00697664669063	speichern 0.00653179361709	verzeichnis 0.0064281975534	profil 0.00641890599008
topic100	tod 0.0441781471443	opfer 0.0289661608651	tot 0.0204740834462	sterben 0.0197534979748	sexuell 0.0148629857139	mord 0.0144685196515	fall 0.0133398622477	töten 0.0095353722415	leiche 0.00888171807609	schwul 0.00847687763507	gewalt 0.00770896877766	tote 0.00761000708678	handlung 0.00725341590625	mörder 0.00724567515718	verbrechen 0.00703075452779	tödlich 0.00581797000323	spur 0.00570006142014	täter 0.0053771726139	missbrauch 0.00537260049654	brutal 0.0050521691693	homosexuell 0.00460640882767	pistole 0.004586596184	selbstmord 0.00456245020425	schuld 0.00422127818369	wendung 0.00413003150339
topic101	türkisch 0.0941551771033	kita 0.0407022471049	kindertagesstätte 0.0343114574838	integrativ 0.0203298752472	rechtsanspruch 0.0156263562833	gedenkstätte 0.0144116108169	schulsystem 0.0124968071799	gesundheitsamt 0.0107920112492	bücherei 0.0104942718453	sprachförderung 0.00994289158617	einschulung 0.00901405040442	zentralrat 0.00886315993294	mahnmal 0.00821752327509	bildungspolitik 0.00820047545587	teilbereich 0.00818146381775	sinto 0.00817558730293	schwerbehindert 0.00804137026165	wiederwahl 0.0077907726941	originalgetreu 0.00728077094823	dauerausstellung 0.0071181362425	blähung 0.00680176644079	zukunftsperspektive 0.00649748478135	freien 0.00626782012556	schulbesuch 0.00620308075426	betreuungsangebot 0.00617636801172
topic102	licht 0.040874247418	erde 0.0396859261129	welt 0.0286353333412	sonne 0.0239821287319	himmel 0.0187247321605	planet 0.0162606953622	chinesisch 0.0139754814468	mond 0.0132807032183	dunkel 0.0123736779329	schatten 0.0104244758007	stern 0.0101508332764	mensch 0.00794943205081	groß 0.0075021737219	wolke 0.00749484507199	sehen 0.00747541831586	nacht 0.00656846965275	zeit 0.00593046451648	geben 0.0055922443004	hell 0.00539866642838	wissen 0.00490254188964	scheinen 0.00477470128201	menschheit 0.00449056245329	reise 0.00447398818119	dunkelheit 0.00445081348572	nebel 0.00443592040422
topic103	raum 0.10660913962	blick 0.0187299441866	ort 0.0170085151613	bild 0.0157750422447	motiv 0.0131743881435	arbeit 0.0118188722552	erinnerung 0.00994114975172	ästhetisch 0.00972831326354	zeigen 0.00931338408909	visuell 0.00882938945036	perspektive 0.00782622243426	eigen 0.00726342104609	betrachter 0.00722130107916	idee 0.00677520570316	entstehen 0.00663297869448	medium 0.00623285706912	vision 0.00561052861905	stammtisch 0.00525758082719	gestaltung 0.00515792197993	entwurf 0.0050182814371	wirklichkeit 0.00500976354534	darstellung 0.00486846844558	grenze 0.00481146254161	bewegung 0.0047049328592	entwerfen 0.00459126882541
topic104	preis 0.138130142197	bestellen 0.0677642644198	bestellung 0.0550592672461	artikel 0.0474047823126	gutschein 0.0373913626019	ware 0.0365609314522	lieferung 0.0334801226361	versandkosten 0.0292606561748	mehrwertsteuer 0.0213979543333	post 0.0210315396583	warenkorb 0.0164191959907	verpackung 0.0145545826942	rabatt 0.0143533992572	tag 0.0126512949282	lager 0.0122004728944	rechnung 0.0120014178116	händler 0.0118916829672	zoll 0.0114494438297	liefern 0.00908834969151	erfolgen 0.00814943306987	auktion 0.007960560394	verstehen 0.00709549316559	porto 0.00704624447924	angegeben 0.00674286103396	lieferbar 0.00657102168103
topic105	berg 0.053886526646	tour 0.0421967013405	wanderung 0.0316322434795	schnee 0.0251527042108	tal 0.0250547090123	wandern 0.0228708795158	hoch 0.0200507086282	hütte 0.0192589249066	steil 0.0189164473429	weg 0.0167590934618	gipfel 0.0165221014615	wald 0.013047493393	wanderer 0.0118502957387	aussicht 0.011780807024	pfad 0.0116832719675	helm 0.0116135772977	klettern 0.0113614409988	aufstieg 0.0111302047947	piste 0.00982012813337	felsen 0.00943397319341	schwarzwald 0.00904943206325	höhe 0.00901637927551	eis 0.00897433329608	abstieg 0.00856153678262	urlauber 0.00843471749455
topic106	einheit 0.143764711049	fohlen 0.026535387499	elite 0.0255005663729	chaos 0.0237650499536	rollenspiel 0.0230656196334	bremer 0.0215918565801	attacke 0.0201839285463	freiburger 0.0195488905127	spezial 0.0173264210826	verstärkung 0.0170928907304	bunker 0.0148250141249	aufstellung 0.01452679914	spielweise 0.0145048255841	durchblick 0.0127240628755	regelwerk 0.0121804058463	gelöst 0.0116203190675	gilde 0.00942796132453	formation 0.00922797623255	pose 0.00874205048376	anpacken 0.00844502084827	fußen 0.00831311046569	scout 0.00818544235521	ziellinie 0.00815337637411	zirkel 0.00811267167117	samurai 0.00780949091166
topic107	geld 0.0339221129428	staat 0.0143771226338	hoch 0.0131972859375	milliarde 0.012894449625	krise 0.0125376487043	gewinn 0.00922531132261	groß 0.00906307897831	fonds 0.00900414694093	steuer 0.0087881493662	anleger 0.00875732420906	dollar 0.00853450158726	kapital 0.00840780868259	gut 0.00790528364359	million 0.00789334552106	deutsch 0.00785364810637	schuld 0.00758585984706	wirtschaft 0.00719668664622	investition 0.007110902654	gehen 0.00704126616492	investor 0.00676085293413	staatlich 0.00650243055674	investieren 0.00590471513346	jahr 0.00548599337739	risiko 0.00535068648768	verlust 0.00489879364137
topic108	apfel 0.054458657185	chip 0.0274951505633	honig 0.0254144375382	birne 0.0246761255526	beutel 0.0229729984729	sahne 0.0221307907464	biene 0.0202460974398	antragstellerin 0.0188037565557	orange 0.0163404238561	zitrone 0.0162734466178	tüte 0.015194581838	nuss 0.0142834837153	schale 0.0140730449836	gans 0.0133154791558	quark 0.0130736333801	fingerabdruck 0.0127687534654	kohlenhydrat 0.0123109752502	saft 0.0121642321536	talk 0.0120773826989	vegetarisch 0.0110886460099	collage 0.00880858841122	rum 0.00834324528785	tele 0.00826122635154	drink 0.00809578484894	pestizid 0.00805205448306
topic109	band 0.067671114806	album 0.0540118953558	song 0.0499831575418	neu 0.0217962253023	musik 0.0196362663269	hören 0.0176921151537	rock 0.0169198232098	live 0.0165695286736	lied 0.013324881943	fan 0.0128130924812	gut 0.0126662150139	single 0.0112446764747	erst 0.0111442193723	platte 0.0101677248196	geben 0.00993546363231	tour 0.00974873201152	sound 0.00920417915083	klingen 0.00909870712978	label 0.00904710532389	kommen 0.00824708529643	gitarre 0.00780002626034	text 0.00729670641995	titel 0.00661350255414	hit 0.00644576887278	jahr 0.00629024633999
topic110	tiger 0.0233224333107	panda 0.0165667651328	romantik 0.0144334956072	narr 0.0131559409068	traktor 0.0127258930471	skurril 0.0126724197705	bassist 0.0122814093622	aachener 0.0112696987859	freundeskreis 0.0111821593668	clown 0.0102965885716	kreation 0.00991837168853	kinderbuch 0.0095239661865	gesamteindruck 0.00950305593749	dürftig 0.00945129923555	schulleiterin 0.00934940191519	selbstzeugnis 0.00929216024934	schlagzeuger 0.00891433356682	akkord 0.00883178547275	londoner 0.00870227168561	lebensfreude 0.00848659159058	zieren 0.00840034043034	kraftvoll 0.00830918485391	verdichten 0.00655285118812	knifflig 0.00639552023721	regenschirm 0.00621742849775
topic111	schiff 0.0776319763068	boot 0.0662958695711	hafen 0.0316086876402	bord 0.0257687211227	wind 0.0188117696742	schleuse 0.0172625649623	mission 0.0168164550673	segel 0.0161799387386	knoten 0.0127538931745	crew 0.010693551805	rakete 0.00973160412282	mast 0.00968804931591	kapitän 0.00777888960274	ruder 0.00745709315437	kabine 0.00729966312453	lord 0.00717432226597	marine 0.00706044527817	flotte 0.00702278045742	meile 0.00694999986537	raumschiff 0.00693997963174	besatzung 0.00645048882211	explosion 0.00643691086584	enterprise 0.00613578157462	flagge 0.00577952497287	welle 0.00550461233803
topic112	regie 0.0473229959511	feuerwerk 0.0242517717568	agentur 0.0235781950161	rundfunk 0.0233140536539	ungarisch 0.022872763426	progressiv 0.01779571932	silvester 0.0152410647958	verb 0.0137473572652	dokumentarfilm 0.01345689174	pavillon 0.0133433654276	arrangement 0.0129300771043	methodik 0.0119065677111	abteil 0.0109926642231	zuschlag 0.00999062041212	kuschelig 0.00982817626174	jahreswechsel 0.00910899234142	partnerstadt 0.00905006591382	bildband 0.00835928729355	majestät 0.00832042972016	countdown 0.00818132553687	filmmusik 0.0081580336065	beschuß 0.00809856466133	vereinsleben 0.00809127035078	fotogalerie 0.00786657108064	modenschau 0.00785123639363
topic113	datum 0.0713931856066	inhalt 0.0627752637496	seite 0.0329421560343	ausdrücklich 0.0190130869119	information 0.0163855529504	dritte 0.0152725854263	angabe 0.0146447184222	link 0.0142067346481	betreiber 0.0142021836418	nutzung 0.0139180329579	übernehmen 0.0125458533674	jeweilig 0.0120558135206	möglich 0.0118099252174	dokument 0.0117136606369	autor 0.010877863526	gewähr 0.00935435720401	webseite 0.00931463597447	verantwortlich 0.00913457936055	haftung 0.00906832905674	verlinkt 0.00900316409946	website 0.00739835415105	nutzer 0.00734921286605	zeitpunkt 0.00733129098728	personenbezogen 0.00703635552256	datenschutz 0.00699472027135
topic114	thema 0.0693787246263	veranstaltung 0.0550308138875	finden 0.0341726015529	teilnehmer 0.0334120893698	vortrag 0.0283541289129	rahmen 0.0193732425823	workshop 0.0183579059311	seminar 0.0183089961142	aktuell 0.0177362622235	bieten 0.0123300539451	stehen 0.0110665887209	teilnahme 0.010333894458	informieren 0.0102911203634	programm 0.00995835070699	information 0.0098714459711	stellen 0.00924212248323	verschieden 0.00916482913292	tagung 0.00845909179929	diskussion 0.00836360093336	geben 0.00814169984643	stattfinden 0.00758285144883	referent 0.00755410419526	weit 0.00752099152193	möglichkeit 0.007386358587	jahr 0.00704660957529
topic115	natur 0.032849713383	umwelt 0.0325390173093	ökologisch 0.024873508631	wald 0.0244036706953	landwirtschaft 0.0219198961454	nachhaltig 0.018094722614	fläche 0.0146806353995	natürlich 0.0145567619091	landwirtschaftlich 0.0142304364967	boden 0.0132446632006	naturschutz 0.0125275228287	mensch 0.012527114124	biologisch 0.0116066879289	landwirt 0.0110473383294	schutz 0.0101652060978	rohstoff 0.0100463391718	holz 0.00998273723041	bauer 0.00950669656851	anbau 0.00870372796931	umweltschutz 0.00864827609549	lebensraum 0.00862832022397	nutzung 0.00852604576171	nachhaltigkeit 0.00751981012886	pflanze 0.00672788614579	ernte 0.00614050761312
topic116	mark 0.0811848037878	schiedsrichter 0.0261587187336	nationalmannschaft 0.0216224303543	schütze 0.018934648367	sperre 0.0188409190085	aufsteiger 0.0155160854621	elf 0.0140055009972	turnen 0.0129867063937	kai 0.012528137932	spitzenreiter 0.0123928021331	basketball 0.00956394656667	überspringen 0.00921141023175	schützenfest 0.00904178462259	niedersachse 0.00900153986253	zacken 0.00886248174315	saisonende 0.00851573153893	göttinger 0.00807058204534	verunsicherung 0.00801099178868	rostocker 0.00789887323925	erfolgserlebnis 0.00747363813579	stauraum 0.00729172120309	festzelt 0.00710108926242	prestige 0.00696061302845	saisonstart 0.00686063831691	schützenverein 0.00682460436522
topic117	land 0.371107407487	ausland 0.0321740863887	region 0.0259282390904	ausländisch 0.0200853251122	afrikanisch 0.0152978068705	bevölkerung 0.0139319197467	arm 0.0128391871821	armut 0.0108453838041	provinz 0.0095802796076	kontinent 0.00878112815488	einzugsgebiet 0.00797602815663	klausur 0.00754419034108	wintersemester 0.00703463421044	botschaft 0.0065063538069	ländlich 0.0061156686951	staat 0.00601667945366	spambot 0.00572631819305	abiturient 0.00541711331336	republik 0.00521975879848	nachbarland 0.00519877776757	bilateral 0.0051813786327	leben 0.00510197607168	geografisch 0.00490402686055	landesweit 0.00480923672994	fachschaft 0.00464942462706
topic118	pflanze 0.0453288242663	garten 0.0398474254247	baum 0.0343959203079	winter 0.0282797053084	blatt 0.0236933292002	sommer 0.0166578089346	blüte 0.0159397189639	wachsen 0.01579032558	blume 0.0133170077233	herbst 0.0132207113044	boden 0.013137821322	gut 0.0113821605584	frühling 0.00974723628267	frucht 0.00960601900032	sorte 0.00896159140012	duft 0.00877535069837	jahr 0.00861230625193	groß 0.00813924064295	rose 0.00808082797978	stehen 0.0080754457955	frühjahr 0.00787125244608	wiese 0.00772284382403	blühen 0.00754550407986	wurzel 0.00686110024974	klein 0.00684311348539
topic119	punkt 0.333952719982	bewertung 0.0964082381804	bewerten 0.0368402990975	magnet 0.0252799266205	weiterempfehlen 0.0155698315382	tourismusportal 0.0115286441459	wertung 0.00905498830622	kommen 0.00772524416573	steg 0.00706540506324	mainzer 0.00690459843015	punkten 0.00648246075381	system 0.0062355689288	bekommen 0.00584193940559	automation 0.00555368641743	fenster 0.0055339084328	empfehlung 0.00501670332078	eckig 0.00490378248458	zusammenfassen 0.00482939404497	arbeit 0.00472797911026	zufrieden 0.0046672304272	erscheinen 0.00458180400137	einzig 0.0044563201325	verteilen 0.00443921062692	wählen 0.00440007985181	bestatter 0.00432940688915
topic120	arzt 0.0421612896461	patient 0.0389141428256	behandlung 0.0214111560039	medizinisch 0.0182333207788	therapie 0.0154627244774	klinik 0.013834936604	krankheit 0.0128387410959	medikament 0.0127500549284	erkrankung 0.0102312162391	medizin 0.0101693659177	gesundheit 0.00977638653529	krankenhaus 0.0089501991395	ärztlich 0.00772132987191	risiko 0.00729328831622	untersuchung 0.00702951300662	studie 0.00696184826314	klinisch 0.00627353135854	jahr 0.00611065157095	operation 0.00551524718897	praxis 0.00529764981567	diagnose 0.00517963921963	diabetes 0.00493325752169	doktor 0.00485882159373	geben 0.00478544386276	gesund 0.00457451391855
topic121	antrag 0.0117044183427	gelten 0.0114293196898	erforderlich 0.010509291075	entsprechend 0.0104830714762	zuständig 0.0090925510616	person 0.00829372365886	fall 0.00757245419332	bestehen 0.00724912038256	grund 0.00688999013784	absatz 0.00657894587674	voraussetzung 0.00615250807747	erfolgen 0.00607422785639	besonder 0.0058678469847	grundsätzlich 0.00582223603553	behörde 0.00564417361403	vorschrift 0.0055417171788	verfügung 0.00501599187257	absender 0.00474707981234	prüfung 0.00463757864032	sinn 0.00461508597359	allgemein 0.00440740910076	bestimmt 0.00440462951538	regel 0.00437421729621	maßnahme 0.00436739578622	möglich 0.00436194011051
topic122	design 0.0275110698184	klassisch 0.0177307114786	perfekt 0.0176715177296	bieten 0.0131098623888	lassen 0.0128459090806	qualität 0.012461276363	elegant 0.0124110396776	hoch 0.011887092323	machen 0.0111674247001	hochwertig 0.010098792254	besonder 0.00978484251105	einzigartig 0.00910586340386	modern 0.00892725656268	edel 0.00827114863079	auswahl 0.00812125732869	sorgen 0.00756051892756	angenehm 0.00754902092126	außergewöhnlich 0.00731966169736	attraktiv 0.00710981708635	farbe 0.00691463568037	exklusiv 0.00690289967707	designer 0.00666908540704	wunderbar 0.00633374508549	geben 0.00589622559578	kombination 0.00572017294024
topic123	schreiben 0.0483845869689	forum 0.0418989616193	beitrag 0.0400460617577	thema 0.0284268865004	meinung 0.0242377537168	lesen 0.0222864967361	geben 0.0166159376915	finden 0.0160421876971	leute 0.0132746208227	tun 0.0088605889958	verstehen 0.00830973757563	recht 0.00810160281787	thread 0.00786058467189	diskussion 0.00739244450316	einfach 0.00729600708504	wissen 0.00728635889851	machen 0.00706757006415	bitten 0.00692262919421	persönlich 0.00662174494278	wort 0.00651999590776	kommentar 0.00620503941062	sagen 0.00619161538479	user 0.00598776282555	gehen 0.0051469400533	denken 0.00470058603073
topic124	fan 0.0805409511246	block 0.0548479753983	stadion 0.0463644938665	arena 0.0318085597088	anhänger 0.0307516318863	löwe 0.0283978138582	wehr 0.0265948416963	verein 0.0259971816465	fahne 0.0250765075793	allianz 0.0181367968447	familienfreundlich 0.0113267359589	finne 0.0108784279437	kommandant 0.0102496517849	zuschauer 0.009875033947	schornsteinfeger 0.00950388851594	aue 0.00943662756773	erzgebirge 0.00941333253745	einsatzort 0.00870819275983	feuerwehrmann 0.00868178970246	vereinsmitglied 0.00855496082603	kameradschaft 0.0083767137609	feuerwehrleute 0.00817060365654	bezirksamt 0.00798652823758	hilfeleistung 0.00790332576019	eigenleistung 0.00696850114862
topic125	körper 0.0355203883436	schmerz 0.0121691267237	stark 0.0103053507276	zahn 0.0100941953286	gut 0.00798697879387	lassen 0.00650744753781	wirken 0.00649541362324	helfen 0.00642001109254	leicht 0.00613111771483	bewegung 0.00580007449195	bein 0.00578173961357	zahnarzt 0.00573789532701	wichtig 0.00501982597186	kommen 0.00472122608577	fuß 0.00471199663866	gelenk 0.0046468225443	knochen 0.00443809452775	gesund 0.00433237222031	normal 0.0042941729133	körperlich 0.00428289161752	gewebe 0.00417363633345	natürlich 0.00414456751957	lang 0.00404518033074	druck 0.00389261261467	führen 0.00380016525848
topic126	film 0.220659961409	dvd 0.039089983117	kino 0.0301112932356	szene 0.021768770126	rolle 0.019001720684	regisseur 0.0170013191177	spielen 0.0147888215966	zuschauer 0.0143243209615	filmen 0.0109919647465	verleih 0.0106688433713	geschichte 0.0104619737006	darsteller 0.00917561559344	sehen 0.00771657383724	drehen 0.00764833062053	drehbuch 0.00704406699239	minute 0.00649070053721	fernsehen 0.00617457839483	hauptrolle 0.00609987920607	leinwand 0.00543074052514	komödie 0.00542770652681	produktion 0.00539225391075	kamera 0.00523583872575	genre 0.00518329376451	figur 0.00504413732225	erzählen 0.00495715013852
topic127	einsatz 0.07335806463	feuerwehr 0.0607354755633	feuer 0.0298604771918	freiwillig 0.0279457250739	unfall 0.0243132510779	helfer 0.0241003813238	brand 0.0189653992976	schwer 0.0162976627507	kamerad 0.0154792730357	person 0.0144118101176	brennen 0.013104908616	hilfe 0.0117853288904	fahrzeug 0.011417795905	kommen 0.0109549130058	flamme 0.009986622858	verkehrsunfall 0.00901480094778	technisch 0.00890430952314	rettungsdienst 0.00866979872847	alarm 0.00802569750177	weit 0.00792811504708	einsatzkraft 0.00779377942054	schnell 0.00776154779046	erst 0.00743544603723	ort 0.00729074696933	stunde 0.00717966177395
topic128	halbzeit 0.0802643743496	stürmer 0.0411134342045	konter 0.022620730017	strafraum 0.0224927053319	mexikanisch 0.016480124665	eck 0.0138065338285	sturm 0.0136996317293	verwerten 0.0118644211972	spielzug 0.0106501647201	austragen 0.0102888938317	oberschenkel 0.0094018427796	stramm 0.00929319634218	agil 0.00890307631516	seitenwechsel 0.0086866137948	spritzig 0.00830692498094	clever 0.00805453684915	rechen 0.00802781892178	unhaltbar 0.00785859856856	zollen 0.00782643830128	nervenzelle 0.00782189193771	pfiffig 0.00739526370504	bedrängnis 0.00733743184864	protestantisch 0.00731762385796	letter 0.00726525903919	aufgelegt 0.00678073578244
