topic0	knallen 0.358314687133	move 0.179445133302	vermeidbar 0.142048562438	krähen 0.0724785779894	veranstaltungstermin 0.0449965811246	hardrock 0.0424434002469	lausig 0.0407662577773	schönheitschirurg 0.0317447592709	jagdgrund 0.0282156842357	bluesig 0.0249133560959	ohnegleichen 0.0153246942337	altenteil 0.0121628541168	rollin 0.00541923322978	lassen 3.91896033876e-08	liegen 1.73912509516e-08	deutlich 1.73512437898e-08	früh 1.73297600403e-08	kommen 1.73148576763e-08	einzig 1.73028444249e-08	alt 1.7282421764e-08	hart 1.7268456986e-08	egal 1.7265980681e-08	bleiben 1.72659694157e-08	gut 1.72652067697e-08	sehen 1.72649766254e-08
topic2360	ipad 0.649419764019	bluetooth 0.141881179969	hochauflösend 0.0607876291763	möglich 0.0143171943951	klein 0.013080478619	videotelefonie 0.0127588809841	schnell 0.0111716611826	webinhalt 0.0102101643152	groß 0.0101382745355	speziell 0.00853344154006	bieten 0.008202413055	ermöglichen 0.00565943388189	zweit 0.00508240748605	deutlich 0.004825634154	gemindert 0.00462597290449	demontiert 0.00413082999814	lassen 0.00327591886048	erst 0.00312330242738	ende 0.00288962030272	neu 0.00278592683111	recht 0.00274580922155	geben 0.00236078128055	klar 0.001809316344	tag 0.00166678245988	kommen 0.0015180458531
topic2361	scharf 0.540554796799	kritisieren 0.351434531485	stirn 0.0916047503608	weisen 0.00741141941511	nasse 0.00501268514353	deutlich 0.000635529649302	sehen 0.000626016474867	fühlen 0.000594463883613	drohen 0.000525814432396	klar 0.00041415817996	sagen 0.000221692055399	einzig 0.000185904173231	setzen 6.39901386622e-05	treten 5.73606993224e-05	reichen 5.26450284085e-05	bringen 5.17011471026e-05	gehen 1.9602498155e-05	gut 1.86857161997e-05	lassen 6.49100779503e-06	heißen 9.69069613645e-07	zeigen 6.23826592215e-07	geben 6.03868734997e-07	ziehen 4.68676633059e-07	scheinen 4.02098502058e-07	stehen 1.33849688121e-07
topic2362	allianz 0.4227089389	gebirge 0.232416529455	theologe 0.152249735532	besiedlung 0.0614593116978	lagerraum 0.038567488687	langgezogen 0.0340814010645	eingeschnitten 0.0183280127888	gebirgskette 0.0139344212168	landschaftsform 0.0109255711687	bilden 0.00723165027811	schalentier 0.00345967356907	bestehen 0.00133469558529	groß 0.00110958300552	finden 0.000842803203127	hoch 7.96410894364e-05	ende 7.40655247471e-05	jahr 2.29059016655e-05	treten 5.75617959241e-06	sehen 8.93106811445e-07	zeit 7.86304008643e-07	früh 2.10324716358e-07	beginnen 1.27789074637e-07	liegen 7.39688202734e-08	erst 5.03273679052e-08	gelten 2.17454631334e-08
topic2363	herstellung 0.398048007493	prägen 0.254068086117	werkstoff 0.0910728660343	pfeife 0.0758681906142	bohrung 0.0520464667051	spalt 0.0361143974546	entweichen 0.03383210383	firmengründer 0.0256977628769	dörfchen 0.0136118473543	widerstandsfähigkeit 0.0111579137901	speziell 0.00342885737188	beginnen 0.00253400400257	bestehen 0.000689401096236	spät 0.000605346495185	notwendig 0.000480690360193	groß 0.000176622387899	dienen 5.33130847816e-05	zeit 3.54513155979e-05	eigentlich 3.17250933983e-05	lassen 1.57507456757e-06	lang 9.33608939419e-07	klein 4.74915097883e-07	kommen 3.91576734565e-08	ende 5.11995650108e-09	kurz 4.81976550178e-09
topic2364	känguruh 0.396551531369	gemeindeleben 0.222711096617	übergangsphase 0.188973139481	stahlkonstruktion 0.148729019281	ziegelbau 0.0352198696657	jahr 7.82037388822e-08	mensch 7.81823291133e-08	neu 7.8171323872e-08	finden 7.81622948756e-08	hoch 7.81588322621e-08	letzt 7.81583341623e-08	weg 7.81577476263e-08	erst 7.81577119081e-08	leben 7.81575953383e-08	kommen 7.81574258147e-08	groß 7.81573576898e-08	gut 7.81573457252e-08	zeit 7.81573454181e-08	stadt 7.81573443639e-08	bestehen 7.81573439753e-08	klein 7.81573436314e-08	gehen 7.8157343203e-08	schön 7.81573431248e-08	entwickeln 7.81573429786e-08	stehen 7.81573429403e-08
topic2365	haut 0.658701867724	beruhigend 0.0582705695649	ordern 0.0389868082604	gut 0.0276291291349	peeling 0.0236430153832	fühlen 0.0168654901285	klein 0.0166908721392	speziell 0.0163392654697	antidepressivum 0.0156472980251	bilden 0.0110721933455	schnell 0.0106889414941	lassen 0.0100585107043	kommen 0.00678795991269	machen 0.00581054838007	fältchen 0.00555803724016	gesichtshaut 0.00555636250901	schönheitschirurgie 0.0053518450533	zeit 0.00530682924598	fettig 0.00529776657158	abgestorben 0.00529119153934	stark 0.0048427639251	nehmen 0.00446198143555	hautoberfläche 0.00425941108265	lang 0.00405072574078	gehören 0.00372351179251
topic2366	genau 0.823782317443	exakt 0.0737776840656	möglich 0.0207267896011	nötig 0.0137813038732	genauigkeit 0.0130297925684	tatsächlich 0.00935864715132	entsprechen 0.00863751521766	ergeben 0.0048130788311	annähern 0.00460854414606	unbedingt 0.00442770023887	bilanzierung 0.00332490706427	direkt 0.00264056914105	prüfungsamt 0.00240559678075	entsprechend 0.00226086310892	beginnen 0.00157298866504	deutlich 0.00146534716596	zeitgewinn 0.00134759040597	einzig 0.00125937448577	hochprofessionell 0.000884522920739	gelten 0.000851229685308	hoch 0.000796145514889	mutterunternehmen 0.000694066658986	reichen 0.000652653370496	notwendig 0.000612678496039	eröffnungsbilanz 0.000530096243753
topic2367	offiziell 0.819289278218	zuschuss 0.118816307615	jahrzehnte 0.0264693449516	leutnant 0.0135076392017	schriftführerin 0.00997650488175	königspaar 0.00890500848619	weisen 0.00144013865773	direkt 0.000494451062673	sorgen 0.000319680381873	erst 0.000244117616332	geben 0.000198910087182	stehen 2.18838561361e-05	heißen 6.3221576255e-06	jahr 3.71925238379e-06	richten 2.29250477048e-07	früh 1.84807457181e-07	teil 1.63292147337e-08	groß 5.57010558972e-09	hoch 5.55768506809e-09	heutig 4.17484376013e-09	neu 3.64382257533e-09	umfassend 3.4177819126e-09	eigen 3.29585020453e-09	zusammenhang 3.21410050218e-09	lassen 3.17790477111e-09
topic2368	selbsthilfegruppe 0.425646191004	nebeneffekt 0.179911457996	verträglich 0.174160719876	allergiker 0.171944245354	unkastriert 0.0187123088683	finden 0.0175701492005	geeignet 0.00456845817764	liegen 0.00395825539381	richtig 0.00226013425662	direkt 0.000192511245706	unterstützen 0.000114006646529	wissen 5.54622765578e-06	medizinisch 2.52090802998e-06	leben 3.67711328953e-07	tag 7.85299761641e-08	tatsächlich 2.85706688745e-08	genau 2.44884544245e-08	gesund 1.32644803431e-08	gehen 1.28729793431e-08	deutsch 1.19794455051e-08	gut 1.18086380085e-08	geben 1.1273803208e-08	machen 1.06638481766e-08	kommen 1.05936309812e-08	speziell 9.95771805216e-09
topic2369	drache 0.433765268042	vorführung 0.233071367118	fetzig 0.0688850774486	farbenprächtig 0.0612594534381	badeort 0.0458455333526	modetrend 0.0318580521667	fluggerät 0.0307439483493	bienchen 0.0262644567787	flugshow 0.0135689584927	pinkfarben 0.0124146866011	reiberei 0.0120718515933	groß 0.0098165342788	truppführer 0.00534253251311	klein 0.00388782867232	sorgen 0.0036594160525	forschergeist 0.0030399739978	voll 0.00181166168169	lassen 0.000956449044217	weit 0.000310436837448	alt 0.000106617557112	geben 5.99074963003e-05	bringen 1.55855368422e-05	lang 9.29564935165e-06	bilden 8.65728174614e-06	schön 5.11940178226e-06
topic2370	bewältigen 0.869049589856	rückenlehne 0.100775816431	schläfchen 0.014761717791	holzsteg 0.012655980813	unterschiedlich 0.00109706051234	täglich 1.7108661935e-08	lassen 1.66873819204e-08	weisen 1.66048685619e-08	lang 1.66002327579e-08	gut 1.65993184586e-08	groß 1.65992628204e-08	darstellen 1.6599255728e-08	stellen 1.65992527688e-08	nötig 1.65991928774e-08	geben 1.65991890708e-08	ermöglichen 1.65991886746e-08	bleiben 1.65991825711e-08	stark 1.65991801699e-08	aufgabe 1.65991795518e-08	bieten 1.65991763503e-08	unterstützung 1.65991751724e-08	mensch 1.65991731677e-08	zusätzlich 1.65991723876e-08	möglich 1.65991712342e-08	entwickeln 1.65991712231e-08
topic2371	zusammenwirken 0.28148043681	austreten 0.269737961406	verfassungsmäßig 0.107817820779	sujet 0.0809326555629	höhere 0.0668290325458	gesamtzusammenhang 0.0602232679281	verfassungsrecht 0.0598313826	bedürfte 0.0314977411238	ausgehungert 0.0221102991017	aufgliederung 0.0170482495607	darstellen 1.18883831072e-07	zweck 6.04924826108e-08	kommen 2.4912751372e-08	gehen 2.49127501272e-08	aufgabe 2.49127482901e-08	teil 2.49127417014e-08	treten 2.49127387934e-08	bleiben 2.4912731622e-08	äußern 2.49127288941e-08	gelten 2.49127276396e-08	hart 2.49127258535e-08	recht 2.49127254641e-08	liegen 2.49127253336e-08	eigen 2.49127233621e-08	bilden 2.49127226349e-08
topic2372	weinberg 0.263181207505	steinig 0.141454636805	tiefgründig 0.109212570844	gemarkung 0.100384886949	nahe 0.0790423280638	zweigeteilt 0.0671617581345	pfirsich 0.0566490296112	flusstal 0.0416786452023	fruchtaroma 0.035216596675	hochfläche 0.027997281132	dornfeld 0.0193306554909	weinlage 0.0127091769978	liegen 0.0126351411012	bodenstruktur 0.00967683775507	springbock 0.00880186011084	kreuznacher 0.006475304641	weinbergslage 0.00345021561576	bilden 0.00217621618686	reichen 0.000924681683851	führen 0.000251562861857	alt 2.11297593963e-06	jahr 2.31404033621e-08	zeigen 1.78259658015e-08	groß 1.61713374133e-08	weit 1.61578583936e-08
topic2373	cup 0.413358384923	quartett 0.166323518477	ergebnisliste 0.0745854041679	cello 0.0729539868873	serviceangebot 0.0649680931557	reithalle 0.0645818404677	unübertroffen 0.0373327129516	jungzüchter 0.031480421535	groll 0.0282094520551	symphoniker 0.00995753789136	freispringen 0.0069130603079	jungpferd 0.00655431076001	zweckgemeinschaft 0.00634312927093	abschiedskonzert 0.00386141415161	jahr 0.0027838150718	weit 0.00268367955654	pferdezüchter 0.00249687910789	finden 0.00192001515312	bieten 0.00123594623393	groß 0.000120093598086	zweit 8.92559993719e-05	zeit 1.34601011069e-05	hoch 9.20958557372e-06	erst 7.7392350783e-07	neu 7.30925789191e-07
topic2374	märchen 0.560271614722	sukzessiv 0.10241494291	kakadu 0.0935100670608	schmökern 0.0823104033695	fabel 0.0666546003282	lava 0.0418409339994	aufgeblasen 0.0291699463414	zugriffszahl 0.0198383984033	weise 0.00151234412436	verschieden 0.00126033308262	ende 8.79189176031e-05	kennen 1.38505013703e-06	geben 3.60489992142e-08	interessieren 1.67532166367e-08	finden 1.19006883954e-08	weit 1.16247537182e-08	kommen 1.15304173715e-08	mensch 1.14124619784e-08	führen 1.13882473014e-08	einzig 1.13773776492e-08	beginnen 1.13265996353e-08	alt 1.13080129593e-08	stehen 1.13053281835e-08	gut 1.1300145055e-08	bild 1.12971084175e-08
topic2375	traum 0.628712100453	gewohnt 0.223770858502	bezahlbar 0.0640960179731	serviceleistung 0.0331504063947	wohnaccessoire 0.0165967475082	gärtnerei 0.0152513800962	landhausstil 0.0101325205226	feinkost 0.00444913559193	fühlen 0.0020976626919	hydrokultur 0.00109793083504	bieten 0.000117511906473	stehen 5.31325288369e-05	lassen 4.61262434267e-05	eigen 3.9862096366e-05	lang 1.68835892585e-05	schnell 1.32563570515e-05	geeignet 5.83188744781e-06	geben 1.0769835246e-06	zweit 3.57049351936e-08	klein 3.19542457046e-08	groß 1.54916743128e-08	schön 6.23155388288e-09	mal 3.8787276105e-09	einfach 3.6925339677e-09	tag 3.54640484418e-09
topic2376	turnier 0.306148704924	finale 0.262345428679	halbfinale 0.0895745560996	besiegen 0.0552017196101	belgisch 0.0499162913697	jahr 0.0417498564096	viertelfinale 0.0342400346402	erst 0.0313808666589	gewinnbringend 0.025504916214	belgier 0.0158648174459	gut 0.0134356074245	endkampf 0.0104501964958	mal 0.00985516731174	stehen 0.00974040695003	pauke 0.00915322308107	amsterdamer 0.00732236421599	kämpferin 0.00634662229184	setzen 0.0058546375381	kurz 0.00410554693598	verlieren 0.00327404716898	auftaktsieg 0.00239326477624	nah 0.00203435674788	letzt 0.00150241996567	belgierin 0.00129298777194	bringen 0.000440912225503
topic2377	schild 0.473202767592	heilen 0.309975874816	aufstand 0.129569847059	vinyl 0.069728348567	versteifen 0.0102407108706	herunterziehen 0.00232263404905	stehen 0.00191971404378	schnell 0.000950368327885	weise 0.000552180651043	sehen 0.000503904849755	gelten 8.98534529316e-05	kommen 7.67125259866e-05	geben 5.8646316059e-05	finden 4.05753281529e-05	fallen 4.03660907079e-05	folgend 2.82399355802e-05	kurz 4.16753222277e-06	verlieren 4.13378900299e-06	gehen 3.04519957053e-06	groß 2.90551027488e-06	teil 3.3963499459e-07	recht 2.79547769396e-07	richten 2.12621290562e-07	mal 1.74915955772e-07	nehmen 4.57262054463e-08
topic2378	tip 0.380121817423	geben 0.129793227246	gut 0.12852084873	einfach 0.0475913585966	richtig 0.0433884677703	finden 0.0356053498462	machen 0.0276484985144	lassen 0.018549251136	gehen 0.0164400048645	schnell 0.0141872600569	neu 0.0124520521677	kommen 0.00993972232642	sicher 0.00990460707008	direkt 0.00895423019079	versuchen 0.00887195300891	kennen 0.00860288823979	nehmen 0.00828259653415	klein 0.00790614942027	erst 0.00763032811796	bringen 0.00716481631284	weit 0.00712236020599	recht 0.00641441005994	kurz 0.00593924785999	speziell 0.00581032148643	zeit 0.00372794126776
topic2379	generalsekretär 0.361213203201	reggae 0.22438351286	medienarbeit 0.071837571778	syndikat 0.0519061984418	risikoarm 0.0468914795948	mediengesellschaft 0.0454430391216	ordensgemeinschaft 0.0451512836939	besetzer 0.0449915513466	gewaltszene 0.0400551950892	reitschule 0.0375837641041	drogenhilfe 0.0270229469908	erst 4.70748689917e-08	jahr 3.99997763596e-08	früh 3.64777491439e-08	sorgen 3.52286588519e-08	legen 3.52175664766e-08	eigen 3.52107709427e-08	neu 3.52086179414e-08	mitglied 3.52076284928e-08	stehen 3.52065241456e-08	treffen 3.52063428541e-08	deutsch 3.52062938291e-08	gehören 3.52062688692e-08	gut 3.52062450023e-08	geben 3.52062353334e-08
topic2380	treiben 0.713560220781	verb 0.067362461484	unfreiwillig 0.0640349580939	sagenhaft 0.0622338998719	verzerrt 0.0382393062013	schulbildung 0.0297323626745	kartei 0.013250861831	hammerhart 0.0110932057558	heißen 8.90789926263e-08	wirken 5.43173112416e-09	lassen 5.42788864763e-09	klein 5.17110154887e-09	zeigen 4.99563735979e-09	hauptsächlich 4.96984175659e-09	bestimmt 4.95351014497e-09	sache 4.93607235695e-09	machen 4.93250287602e-09	geben 4.93163369748e-09	hart 4.92969884722e-09	gehen 4.92954021856e-09	gelten 4.92810257463e-09	erfüllen 4.92764410802e-09	direkt 4.92723280583e-09	ähnlich 4.92700191091e-09	eigen 4.9269165058e-09
topic2381	lieferung 0.517562283939	bestellt 0.131053985496	lieferzeit 0.130395744075	geliefert 0.096008935624	zahlungseingang 0.0555675453218	voll 0.0217414811925	schnell 0.0183091101588	datenschutzbestimmung 0.0180206720668	lieferbarkeit 0.00446361698002	sicher 0.0041366868383	zusätzlich 0.000588999535306	bestehen 0.00051818462268	tag 0.000504078562339	möglich 0.00022809184579	einfach 8.98824006954e-05	möglichkeit 8.24903129384e-05	gehen 7.65600468482e-05	jeweilig 2.83604072329e-05	kommen 2.53422447234e-06	fälligkeit 1.62054730186e-06	bleiben 8.72276390434e-07	komplett 7.53373700219e-07	zweck 6.57852421527e-07	sache 1.34605752307e-07	fall 1.09087412938e-07
topic2382	atomkraftwerk 0.133860489724	erdbeben 0.12723095371	jahr 0.0729370970395	raumfahrt 0.059223235184	reaktor 0.0487216165519	tsunami 0.0389955666094	geben 0.0350860916629	groß 0.0331960258079	uran 0.0314633170881	weit 0.0299026578383	umweltverschmutzung 0.0273134503552	beherrschbar 0.025660877897	kommen 0.0202056711405	endlagerung 0.0157119259861	sicher 0.0153376631124	hoch 0.0140007287284	gehen 0.0131406853041	neu 0.0130465556544	radioaktiv 0.0128664816755	möglich 0.0126660763947	erst 0.0126618361955	brennelement 0.0125376142355	deutsch 0.0122652965124	atomkraft 0.0120532509585	plutonium 0.00999473711519
topic2383	infizieren 0.511409998972	lieblingsfilm 0.295461162707	körperflüssigkeit 0.124950757959	haarwuchs 0.0607346584008	bestimmt 7.810611614e-08	versuchen 7.44373754168e-08	neu 7.4437364028e-08	groß 7.44372552366e-08	tatsächlich 7.44372228301e-08	offen 7.44371805584e-08	geben 7.44371656403e-08	gut 7.44371639137e-08	finden 7.44371614228e-08	bilden 7.44371610802e-08	niveau 7.44371610212e-08	früh 7.44371609973e-08	mensch 7.44371608695e-08	spät 7.44371607651e-08	teil 7.44371607255e-08	wissen 7.44371606913e-08	kommen 7.44371606858e-08	fallen 7.44371606503e-08	weit 7.4437160625e-08	erkennen 7.44371605959e-08	leben 7.44371605684e-08
topic2384	initiieren 0.585842980393	kehrseite 0.203448598062	eichenholz 0.106597136897	pioniergeist 0.058390312757	bibliothekarisch 0.0411939930893	offen 4.52723772378e-08	weg 4.52720652999e-08	nah 4.52720597552e-08	neu 4.52720561658e-08	entwicklung 4.52720549075e-08	bleiben 4.52720545338e-08	verschieden 4.52720530268e-08	form 4.5272052901e-08	wissen 4.52720527051e-08	letzt 4.52720523064e-08	weit 4.52720522526e-08	möglichkeit 4.52720522084e-08	handeln 4.52720519892e-08	inhaltlich 4.52720518725e-08	zeigen 4.52720517609e-08	frage 4.52720517544e-08	gut 4.52720517391e-08	unbekannt 4.52720517252e-08	thema 4.52720517242e-08	interessant 4.52720516854e-08
topic2385	zurückblicken 0.430984043075	nickname 0.138016965956	schriftstellerisch 0.111282949888	nut 0.107472758017	lesestoff 0.0866710440476	sicherheitsproblem 0.0562004597921	ergötzen 0.0540563949332	virenschutzprogramm 0.0127224501993	jahr 2.3751919067e-07	erst 2.63176530325e-08	lang 2.59829796369e-08	gelten 2.59434149027e-08	neu 2.59317456801e-08	freuen 2.59312545858e-08	finden 2.59304730812e-08	eigentlich 2.59299149547e-08	geben 2.59295108876e-08	unterschiedlich 2.59294754471e-08	tag 2.59294454699e-08	groß 2.59293745935e-08	stehen 2.59293562978e-08	letzt 2.5929342313e-08	bild 2.59293243935e-08	bekannt 2.59293198253e-08	nehmen 2.59293061871e-08
topic2386	linie 0.528979363936	erst 0.323608075578	nachlass 0.0542311547821	graphik 0.0179256380663	staatsbürgerschaft 0.0148010880363	venezolanisch 0.0073170296165	zweit 0.00704286068109	wasserstrahl 0.00683888153827	klar 0.00643340219443	retrospektiv 0.00618611828227	schwerelos 0.0053392658951	bestehen 0.00359318455643	durchfallen 0.00346134942623	gleichzeitig 0.00280318753352	ermöglichen 0.00204561099702	spät 0.00177318474493	unterschiedlich 0.00140612497374	herumgehen 0.00129626823847	möglich 0.001184835616	jeweilig 0.000967504557638	beginnen 0.000760733193047	neu 0.000652415661816	führen 0.000635058630994	weit 0.000281964361554	stark 0.000155364794667
topic2387	elektroauto 0.376281333456	elektrofahrzeug 0.223292043179	anschaffungspreis 0.0667943476713	erst 0.0621806229024	hirnrissig 0.0604724853702	nunmehrig 0.046062485925	zehnfach 0.0435877199379	jahr 0.031312692143	bringen 0.0195569690262	kommen 0.0188942395801	stalinist 0.0143754457781	ende 0.0128230799092	ladesäule 0.0123054943564	deutsch 0.00522359113983	machen 0.00176955967192	setzen 0.00142332311985	stehen 0.000733008670234	groß 0.000119285787619	stellen 6.03447226709e-07	geben 1.13956365375e-07	sagen 3.54967460829e-08	teuer 2.9661002009e-08	entsprechend 2.82053790098e-08	deutlich 2.81961413713e-08	hoch 2.80386113124e-08
topic2388	umwandeln 0.558631319395	weißrußland 0.15985373893	ferienzeit 0.122173235099	abklingen 0.0982581267781	glaubensfrage 0.0587553952731	bestehen 2.35118848615e-08	lassen 2.32840984154e-08	weit 2.32835490526e-08	möglichkeit 2.32831453585e-08	kommen 2.32831142979e-08	weg 2.32830678259e-08	grund 2.3283053317e-08	mensch 2.32830400892e-08	geben 2.32830297774e-08	gelangen 2.32830191827e-08	heißen 2.32830165179e-08	völlig 2.32830147978e-08	sicher 2.32830147101e-08	deutsch 2.3283012702e-08	hoffen 2.32830113194e-08	erst 2.32830090673e-08	bleiben 2.32830085029e-08	brauchen 2.32830085005e-08	jahr 2.32830076466e-08	frage 2.32830074743e-08
topic2389	gleichsam 0.319732329156	überwältigend 0.243971623184	anmutend 0.162326878191	auditorium 0.0630670019059	erzählerisch 0.0567589983154	aufhorchen 0.0546742356165	segensreich 0.0482476494407	kontrastieren 0.025253208444	ausdrucksstärke 0.0122600011466	sprechender 0.00687618284083	weise 0.00528783471083	voll 9.30756772308e-05	lassen 7.64664054398e-05	gelingen 6.6348896617e-06	bilden 1.45894742873e-07	zweck 1.58125776392e-08	schwierigkeit 1.41302801208e-08	ende 1.37773642414e-08	wahr 1.37444496606e-08	groß 1.37157899096e-08	erst 1.37155260109e-08	jahr 1.37060162052e-08	erfüllen 1.3684564497e-08	neu 1.36813974258e-08	beginnen 1.36811765791e-08
topic2390	schlecht 0.463228405892	gut 0.38892398539	gewissen 0.0333257767095	lassen 0.0186834672037	narbe 0.0107816478571	unbedingt 0.00846189914171	entscheiden 0.00815235415756	machen 0.00754028199334	finden 0.00496989432703	groß 0.00457080291656	gehen 0.00418792914624	einzig 0.0041199638843	richtig 0.00384813209835	geben 0.00301713854723	wissen 0.00285455542174	sicher 0.00264943525485	reichen 0.00245448095583	absaugen 0.0022495105528	klein 0.00185252530368	lang 0.00178708842805	klar 0.00168758742111	jahr 0.00151665956088	gehören 0.00142469244064	kommen 0.00140959914103	sehen 0.00139132521386
topic2391	zentral 0.96355858776	funktionsbereich 0.00960299081811	papierlos 0.0065468142839	unternehmensweit 0.00578498800393	kauz 0.00414887869478	unternehmensspezifisch 0.00394253949513	himmelschreiend 0.0019067888145	trotzkist 0.00155977460572	gestaltungsform 0.00143384149079	feindin 0.00116514799062	sicht 8.31226627668e-06	unterstützen 1.89378250755e-07	neu 8.9467230593e-09	liegen 5.15328223603e-09	möglich 3.94123500037e-09	greifen 3.63984829533e-09	weit 3.58288380395e-09	teil 3.50706693367e-09	nötig 3.50477542006e-09	führen 3.42887980358e-09	gehören 3.41454980904e-09	gut 3.4138729272e-09	lösung 3.4137957527e-09	kommen 3.41253455641e-09	möglichkeit 3.41244686408e-09
topic2392	gepäck 0.904581610301	kreischend 0.0551117248283	brandy 0.0209296531129	geschmort 0.0170558386505	bleiben 2.34372878088e-08	gehen 2.32137927578e-08	setzen 2.32134157161e-08	geben 2.32129026808e-08	bringen 2.3212718119e-08	gut 2.32126880167e-08	recht 2.32126702722e-08	bekommen 2.32126630408e-08	kommen 2.32126602157e-08	schön 2.32126585895e-08	groß 2.32126585206e-08	stunde 2.3212658193e-08	spät 2.32126579197e-08	lassen 2.32126578082e-08	wissen 2.32126577853e-08	rest 2.32126577524e-08	gleich 2.32126575732e-08	kennen 2.3212657559e-08	fallen 2.32126575301e-08	tag 2.32126574675e-08	jahr 2.32126574615e-08
topic2393	auflösung 0.875908814856	hoch 0.0778983664199	verdoppelung 0.0404008386808	wesentlich 0.00360398717954	möglich 0.00062842373456	groß 0.000395927768707	klein 0.000178690214459	deutlich 5.31543646865e-05	stark 8.49030920946e-06	stellen 7.139083779e-08	entscheiden 3.92103583746e-08	bestehen 1.98781601854e-08	betragen 1.74443404118e-08	genau 1.45199830796e-08	bild 9.92181485962e-09	finden 9.7347790623e-09	geben 9.36918824869e-09	lassen 9.28914398521e-09	bleiben 9.27853635477e-09	gleich 9.27746265664e-09	hauptsächlich 9.27566742434e-09	weit 9.26661834532e-09	bringen 9.23727258989e-09	gut 9.2365113345e-09	sehen 9.23504190374e-09
topic2394	planung 0.644035321396	vorgestellt 0.107403146612	fertigstellung 0.103988936118	ersehnt 0.0477771936596	heizkosten 0.0305682968306	bauphase 0.0203599811431	kaminofen 0.0135964399789	unannehmlichkeit 0.0134492888209	sanierungsarbeit 0.0106220614572	altbausanierung 0.00468649433885	spät 0.00222176361756	sicher 0.000457856656005	bieten 0.000277314202436	knapp 0.000166406975796	weise 1.14161970315e-05	schnell 8.29084328979e-08	jahr 4.40264918581e-09	damalig 4.19227571795e-09	fall 4.09749172469e-09	geben 3.81293240438e-09	tag 3.78406665013e-09	thema 3.7809183858e-09	gleich 3.78088108627e-09	machen 3.78074729319e-09	kommen 3.78066719556e-09
topic2395	praktiziert 0.187367862985	vermietet 0.0901717633857	abschleppen 0.0852717667918	luftpumpe 0.0842283454299	zurückbekommen 0.0622431574867	unklug 0.054778317084	heimkommen 0.050102323174	parkgebühr 0.0482759560576	umhören 0.0447567634432	parkfläche 0.0440809962707	zettelchen 0.0376185654712	unterlassungsaufforderung 0.0356545083148	leerfahrt 0.0270114852983	gehandhabt 0.0239165803189	wasserpistole 0.0232330539932	beweissicherung 0.022314329511	halteverbot 0.0211343373728	wiederbekommen 0.0190311774562	falschparker 0.0176992343605	korinthenkacker 0.00833519812404	getränkekiste 0.00765024884661	reservierter 0.00261625941514	grundsätzlich 2.50986697514e-08	stehen 2.50866109363e-08	bestimmt 2.50839458696e-08
topic2396	dvd 0.709043856513	trailer 0.161123314538	geben 0.0357335805254	adrenalin 0.0221937293397	unsterblichkeit 0.0203095903863	abwandlung 0.0147960227241	sehen 0.00590453464238	seeschlacht 0.00585821186627	gut 0.00577483936005	neu 0.00340882247449	weit 0.00302854177095	erst 0.00274130073255	bringen 0.00228184737868	verschieden 0.00120181506879	direkt 0.00095175385976	führen 0.000615388555491	alt 0.000559879255772	ende 0.000555375439179	fallen 0.000487411174115	gehören 0.000448934158119	deutsch 0.000444584428549	kommen 0.000366173663937	eigentlich 0.000363674810332	finden 0.000326942902222	lassen 0.000323866948299
topic2397	phase 0.833346546524	zehntel 0.062841805351	erst 0.0318486298211	zweit 0.0233272384501	kirchheim 0.0182361419074	eigengewächs 0.00815020005006	spät 0.0077976650083	ende 0.00374516962165	bilden 0.00278097654491	deutlich 0.0026708204427	bestehen 0.000881081218287	führen 0.000863710093609	kurz 0.000803020538715	stark 0.000647133120553	klar 0.000484617485834	möglich 0.000366181008013	gleichzeitig 0.000260858202461	zeit 0.000150534258297	grundsätzlich 8.64599692491e-05	verschieden 7.25317449606e-05	weit 3.24736965104e-05	zeigen 1.17993963478e-05	lang 1.17625815174e-05	fallen 3.66233881595e-06	gelingen 1.02494931395e-06
topic2398	beraten 0.932348079207	frage 0.0130798936421	sorgen 0.0081510977514	entsprechend 0.00797642682321	unterstützen 0.0071459365233	faktische 0.006562067227	verschieden 0.00578892174316	groß 0.00290875131413	ratsuchende 0.00252994446365	nehmen 0.00236678627776	gut 0.00189255038138	klein 0.00178527985022	stehen 0.00171422512454	sitzbereich 0.00171038093521	machen 0.000909538156409	wunsch 0.000643635187681	jahr 0.000545810926154	entwicklung 0.000459257316889	gehören 0.000384445412745	kommen 0.000234989802617	möglich 2.72522339896e-05	erst 2.28188047378e-05	hoch 2.0272108351e-05	thema 1.70727574522e-05	lösung 5.81060688522e-06
topic2399	unmenschlich 0.132394973935	ermorden 0.114172665245	buckel 0.100713723991	raffen 0.0759914307175	greis 0.073170873901	drilling 0.0623079477743	hehr 0.0598781089525	geißel 0.0379231191753	iris 0.0314029506025	friedfertig 0.0296226087595	schandfleck 0.0259049679403	bräunen 0.0235295018796	angstvoll 0.0200272416696	flehend 0.0187004915533	sättigen 0.0176366634307	tränken 0.0168547760672	vorspringend 0.0165509234705	eilend 0.0133283649716	trümmerhaufe 0.0126822420297	zicklein 0.0124234527818	ausnahmestellung 0.0116918670052	schaffnerin 0.0092904545434	laichzeit 0.00893578088742	enteilen 0.00832856412921	dreimal 0.00783700187409
